"its","яго"
"Disdains decorum","Ганьбуе прыстойнасць"
"Disdains tradition","Зневажае традыцыі"
"Disdains artwork","Зневажае мастацтва"
"Disdains cooperation","Зневажае супрацоўніцтва"
"Disdains independence","Зневажае незалежнасць"
"Disdains stoicism","Ганьбуе стаіцызм"
"Disdains introspection","Ганьбуе самааналіз"
"Disdains self-control","Зневажае стрыманасць"
"Disdains tranquility","Зневажае спакой"
"Disdains harmony","Ганьбуе гармонію"
"Disdains merriment","Ганьбуе весялосць"
"Disdains craftwork","Зневажае рамяство"
"Disdains martial prowess","Зневажае баявое майстэрства"
"Disdains skill","Ганьбуе уменні"
"Disdains hard work","Ганьбуе працавітасць"
"Disdains sacrifice","Ганьбуе ахвярнасць"
"Disdains competition","Зневажае саперніцтва"
"Disdains perseverance","Зневажае настойлівасць"
"Disdains leisure time","Ганьбуе няспешнасць"
"Disdains commerce","Зневажае гандлярства"
"Disdains romance","Ганьбуе рамантыку"
"Disdains nature","Зневажае прыроду"
"Disdains peace","Зневажае дабрабыт"
"Disdains knowledge","Ганьбуе веды"
"Harrowed","Знясілены"
"Haggard","Змарнелы"
"Stressed","Напружаннасць"
"Starving","Змардаванне"
"Hungry","Голад"
"Dehydrated","Абязводжанне"
"Thirsty","Смага"
"Very drowsy","Вельмі дрымотны"
"Drowsy","Дрымотнасць"
"Unconscious","Непрытомнасць"
"Paralyzed","Паралізаваны"
"Partially paralyzed","Часткова паралізаваны"
"Sluggish","Млявы"
"Stunned","Ашаломлены"
"Dizzy","Галавакружэнне"
"Exhausted","Знемажэнне"
"Over-exerted","Перанапружанасць"
"Tired","Стомленасць"
"Drowning","Тоне"
"Winded","Засапціўся"
"Nauseous","Млосць"
"Extreme pain","Надзвычайная боль"
"Pain","Боль"
"Numb","Зняменне"
"Pale","Бледны"
"Faint","Знямога"
"Fever","Ліхаманка"
"Heavy bleeding","Моцны крывацёк"
"Bleeding","Крывацёк"
"Webbed","Апутаны павуцінай"
"Partially webbed","Часткова апутаны павуцінай"
"Seriously injured","Сур'ёзна паранены"
"Injured","Паранены"
"Healthy","Здаровы"
"Needs ","Патрэбы "
"No official position","Няма афіцыйнай пасады"
"Haul: ","Перанесці: "
"Squad: ","Атрад: "
"None","Няма"
" (V Rusty)"," (Забыта)"
" (Rusty)"," (Прызабыта)"
"Focused!","Засяроджаны!"
"Focused","Засяроджаны"
"Distracted!","Гневаецца!"
"Distracted","Гневаецца"
"No unmet needs","Нічога не патрабуе"
"Unmet need: ","Патрэба: "
"Drink alcohol","Піць алкаголь"
"Pray ","Маліцца "
"Meditate","Медытаваць"
"Stay occupied","Працаваць"
"Be creative","Ствараць"
"Admire art","Захапляцца мастацтвам"
"Excitement","Захапляцца"
"Learn something","Навучыцца чамусьці"
"Be with family","Бавіць час з сям'ёй"
"Be with friends","Бавіць час з сябрамі"
"Hear eloquence","Чуць красамоўства"
"Uphold tradition","Захоўваць традыцыі"
"Self-examination","Самааналіз"
"Make merry","Весяліцца"
"Craft object","Вырабіць рэч"
"Martial training","Вучыцца бою"
"Practice skill","Практыкаваць умельства"
"Take it easy","Супакоіцца"
"Make romance","Завесці раман"
"See animal","Пабачыць жывёлу"
"See great beast","Убачыць страшыдла"
"Acquire object","Набыць рэч"
"Eat good meal","Смачна паесці"
"Fight","Біцца"
"Cause trouble","Рабіць беды"
"Argue","Спрачацца"
"Be extravagant","Быць экстравагантным"
"Wander","Вандраваць"
"Help somebody","Дапамагчы камусьці"
"Think abstractly","Думаць абстрактна"
"Status","Статус"
"Wounds","Раны"
"Treatment","Лячэнне"
"History","Гісторыя"
"Description","Апісанне"
"Combat","Баявыя"
"Social","Сацыяльныя"
"Other skills","Іншыя навыкі"
"Philosophy","Філасофія"
"Mathematics","Матэматыка"
"Astronomy","Астраномія"
"Natural history","Прыродазнаўства"
"Chemistry","Хімія"
"Geography","Геаграфія"
"Medicine","Медыцына"
"Engineering","Інжынірынг"
"Poetic form","Паэтычны жанр"
"Musical form","Музычны жанр"
"Dance form","Танцавальны стыль"
"Manual","Дапаможнік"
"Guide","Гайд"
"Chronicle","Хроніка"
"Short story","Апавяданне"
"Novel","Раман"
"Biography","Біяграфія"
"Autobiography","Аўтабіяграфія"
"Poem","Вершы"
"Letter","Ліст"
"Essay","Эсэ"
"Dialog","Дыялог"
"Musical composition","Музычная кампазіцыя"
"Choreography","Харэаграфія"
"Comparative biography","Параўнальная біяграфія"
"Biographical dictionary","Біяграфічны слоўнік"
"Genealogy","Генеалогія"
"Encyclopedia","Энцыклапедыя"
"Cultural history","Гісторыя культуры"
"Cultural comparison","Культурнае параўнанне"
"Alternate history","Альтэрнатыўная гісторыя"
"Treatise on technological evolution","Трактат аб тэхналагічнай эвалюцыі"
"Dictionary","Слоўнік"
"Star chart","Зорная картка"
"Star catalogue","Зорны каталог"
"Atlas","Атлас"
"No assigned rooms","Няма прызначаных пакояў"
"Work details","Дэталі працы"
"Workshops","Майстэрні"
"Locations","Мясціны"
"Work animals","Прац. жывёлы"
"Will only do assigned tasks","Будзе выконваць толькі пастаўленыя задачы"
"Will do available tasks anywhere","Будзе выконваць даступныя заданні ў любым месцы"
"Cannot assign work details","Немагчыма прызначыць дэталі працы"
