"more presumptious","mais presunáoso"
"a poor","Ruim"
" and it is controlled by "," e Ç controlado por "
"finds eloquence and artful speech off-putting","acha a eloquància e o discurso art°stico desconcertantes"
"jutting-chin","queixo saliente"
"Camera controls","Controles de cÉmera "
"paper-slurry ","massa de papel "
"urging love between ","pedindo amor entre "
"be used for burial.","usado para enterro."
"screw ","parafuso "
"The dead!","Os mortos!"
"boulder graphics","gr†ficos de pedregulho"
"the method of compiling several biographies to compare and contrast the subjects' character and to gain insight into history","o mÇtodo de compilar v†rias biografias para comparar e contrastar o car†ter dos sujeitos e obter informaá‰es sobre a hist¢ria"
"sees working hard as a foolish waste of time","và o trabalho duro como uma tola perda de tempo"
"Buried alive","Tapocrifaá∆o"
"Unmet need: ","Necessidade insatisfeita: "
"This nameless being","Sendo esta sem nome"
"Only farmers harvest","S¢ os agricultores colhem"
"molten crystal glass","vidro de cristal l°quido"
"speaks in a monotone when ","fala em um tom mon¢tono quando "
"infiltrate society","infiltrar na sociedade"
"Resets","Redefiniá‰es"
"the Mausoleum","MausolÇu"
"the classification of disease","a classificaá∆o de doenáa "
"High Precision","Alta Precis∆o"
"the reproductive behavior of creatures","o comportamento reprodutivo das criaturas"
"spear","Lanáa"
"Loading image sets...","Carregando conjuntos de imagens..."
"Value of temple complex","Valor do complexo do templo"
"Workers save shells","Trabalhadores salvam conchas"
"when full","quando cheio"
"Site Map:  Extra Item Occupancy ","Mapa do site: Ocupaá∆o de item extra "
" was the place to perform research."," era o lugar para realizar pesquisas."
"yield","rendimento da la lavada a fundo"
"Bowyer","Criador de Arcos"
"Take me away from here.","Me leva embora daqui."
"outside","fora"
"kill ","matar "
"legendary villain","vil∆o lend†rio"
"Tropical Shrubland","Matagal tropical"
"You can prepare in advance with ","Vocà pode se preparar antecipadamente com "
" (vial)"," (frasco)"
"the acceptance","aceitaá∆o"
"The story of ","A hist¢ria de "
"You feel uneasy.","Vocà se sente desconfort†vel."
"the Assumption","a suposiá∆o"
" which was said to permeate "," dizia-se que a permear "
", Pressed",", Pressionado"
" with the presentation of "," com a apresentaá∆o de "
"State that you hate light poems","Afirmar que vocà odeia poemas leves "
"Yes!  It'll be great to perform with you.","Sim! Vai ser ¢timo tocar com vocà."
"is very muscular and incredibly long","Ç muito musculoso e incrivelmente longo"
"Dungeon Commander","Comandante da Masmorra"
" a friend."," um amigo."
"after communing with ","depois de se comunicar com "
"Acknowledge lack of grouchiness","Reconhecer a falta de irritaáao"
"What stories you tell!  It's such an honor to have you here.","Que hist¢rias vocà conta! ê uma honra tà-lo aqui."
"modulates frequently","modula frequentemente"
" neck bowl"," tigela de pescoáo"
"investigate","investigar"
" available"," Dispon°vel"
"Open","Aberto"
"gives a feeling of compassion here and there","D† um sentimento de compaixao aqui e ali"
"Civilized World Population","Populaá∆o do mundo civilizado"
"Workers dump bones","Trabalhadores despejam ossos"
"yarn ","fio em falta "
"Analogy","Analogia"
"A wrestling competition","Uma competiá∆o de luta livre"
"The instrument has flue pipes and reed pipes.  ","O instrumento possui tubos de combust∆o e tubos de junco simples. "
"sad","triste"
"tax","tributo "
"Make sure your parameters and presets can support mid-elevation, very low rainfall, non-freezing areas.  ","Certifique-se de que seus parÉmetros e presets podem suportar a elevaá∆o mÇdia, precipitaá∆o muito baixa, n∆o congelamento †reas. "
"I was in a snow storm.","Eu estava em uma tempestade de neve."
"State feelings, somewhat expectant","Expressar sentimentos, um tanto esperanáosos"
" property was confiscated"," propriedade foi confiscada"
"Geld ","Castram "
"Somebody up to no good...","AlguÇm est† aprontando alguma..."
"You unyield","Vocà volta a lutar"
"medicine:method:surgery incision","medicina:mÇtodo:incis∆o cir£rgica"
"It is still shrouded in mystery.  ","Ele ainda est† envolto em mistÇrio. "
"worship","adoraá∆o"
"the Duel","o duelo"
"I brought up the lack of jobs in a meeting.","Eu trouxe a falta de postos de trabalho em uma reuniao."
"Crossbowman","Besteiro"
"prefers to present ","prefere apresentar "
" been stunned again!"," ficou paralisado novamente!"
"Activity section change","Mudanáa de seá∆o da atividade"
"Cage Vermin","Gaiola de animais pequeno "
"I killed somebody in a sparring accident.","Eu matei uma pessoa em um acidente no treino."
"I have been so wronged!","Tem sido tao injustiáada!"
"has a long, thin body with very little fat","tem um longo, fino de corpo com pouca gordura"
" shot and killed "," morto a tiros "
"Austere","Austero"
"and ","e "
" fighting with "," lutando com "
"It is a","ê um"
" (quantitative "," (quantitativo "
"iguana","iguanas"
"the area around ","a †rea ao redor "
"Balancing","balanceamento"
"has a short, broad body with very little fat","tem um corpo curto, largo, com pouca gordura"
"mottled ","mosqueado "
"autobiography","autobiografia"
"(Wrestling) Cannot break grip","(Luta livre) N∆o consigo quebrar o aperto"
"Choose Y: ","Escolha Y: "
"Here you can interact with the objects you are carrying.  Items can be dropped, worn, eaten, thrown, named, etc.  The icon tooltips describe your options for each item.  ","Aqui vocà pode interagir com os objetos que est† carregando. Itens podem ser largados, usados, comidos, arremessados, nomeados, etc. As dicas de °cone descrevem suas opá‰es para cada item. "
"the use of a grid system in the creation of maps","o uso de um sistema de grade na criaá∆o de mapas"
"believes that those that take leisure time are evil and finds the whole idea disgusting","acredita que aqueles que tiram tempo para o lazer s∆o maus e acha toda essa ideia nojenta"
"2 lost after mutual wounds","2 perdida depois de feridas m£tuas"
"Outraged","Indignado "
"Perfectionist","Perfeccionista"
"use","usar "
" was offered"," Foi oferecido"
"Acknowledge lack of amusement","Reconhecer a falta de diversoes"
"Cannot generate random creatures -- missing body ","N∆o pìde gerar criaturas aleat¢rias -- faltando o corpo "
" is written from the perspective of "," Ç escrito de uma perspectiva de "
"Lever Operation","Operaá∆o de alavanca"
"You must have at least as many of these highest volcanism points as you are requiring volcanos.  ","Vocà deve ter pelo menos como muitos desses pontos mais altos de vulcanismo, como vocà est† exigindo vulc‰es. "
"Site Government","Governo local"
"a barrow","um carrinho de m∆o"
"Skill 5","Habilidade 5"
"distracted by unmet needs","distra°do por necessidades n∆o atendidas"
"Plant gatherers","Coletores de planta "
"The selected workshop will give items to here.","A oficina selecionada entregar† itens aqui."
"less assertive","menos assertivo"
"It was great.","foi ¢timo"
" part of the problem."," parte do problema."
"The view is dark underground.  You can recenter on yourself with the ","A vis∆o Ç escura no subterrÉneo. Vocà pode recentrar em si mesmo com a "
"fragile","fr†gil"
"Ability to fight with objects not covered by other skills.","Habilidade de lutar com objetos n∆o cobertos por outras habilidades. "
"Assign uniform","Atribuir uniforme "
"dining hall","sala de jantar"
"No orders","Nenhuma ordem"
"the computation of the volume of different pyramids","o c†lculo do volume de diferentes pirÉmides"
"Absolute zero","Zero absoluto"
"right here","Bem aqui"
"Storage path decrease (barrel combine)","Diminuiá∆o do caminho de armazenamento (combinaá∆o de barris)"
"a noted murderer","um assassino renomado"
" Ice Floor"," Chao de gelo"
"Insanity","Insanidade"
"You set a fire.","Atear um fogo."
"Close friend","Amigo pr¢ximo"
"Toggle whether the squad will sleep here.","Alterna se o esquadr∆o dormir† aqui."
"Just think about it.","Pense nisso."
" Upward Track (SEW)"," Faixa ascendente (costurar)"
"What will you say about the journey?","O que dir† sobre a viagem?"
"Eager","Ansioso "
"losing ","perdendo "
"Amount of ","Quantidade de "
"short","Curto"
"a pretty decent meal","uma refeiá∆o decente"
"be jumpy","estar nervoso"
"Slam into an obstacle (blow apart)","Colidir com um obst†culo (despedaáar-se)"
"time","tempo"
"Each [C:6:0:0]Track Stop[C:7:0:0] must be linked to a [C:6:0:0]Stockpile[C:7:0:0] for [C:6:0:1]Items[C:7:0:0] to be put on or removed from the [C:6:0:1]Minecart[C:7:0:0].","Cada [C:6:0:0]Fim de Trilho[C:7:0:0] deve estar ligado Ö um [C:6;0:0]Estoque[C:7:0:0] para os [C:6:0:1]Itens[C:7:0:0] serem colocados ou retirados do [C:6:0:1]Carrinho de Mina[C:7:0:0]."
"Initiation","Iniciaá∆o"
"Glowing Floor","Chao brilhante"
"being frozen solid","sendo congelado"
"State minor feeling of acceptance","Menor sentimento de aceitaáao do estado"
"jewels","Gema"
"Z Levels Above Ground","Z n°veis acima do solo"
"Sand Collection","Coleá∆o de areia"
"fighting!","a lutar!"
"Loading flow guides...","Guias de fluxo de carga..."
"Burned up in magma","queimado no magma."
"How fleeting life is...","Como fugaz a vida Ç..."
"slayer in incident","assassino em incidente"
"There are not enough cages and chains.","N∆o h† suficiente jaulas e correntes."
"played","tocou"
"livestock ownership","posse de gado"
"Fell into a deep chasm","Caiu em um abismo profundo"
"very large","muito grande"
"certain lines ","certas linhas "
"A migrant has arrived, despite the danger.","Um migrante chegou, apesar do perigo."
"blissful","feliz"
"feels helping others is an imposition on ","Sente-se ajudar os outros Ç uma imposiá∆o na "
"fortresses","fortalezas"
"Highest known in organization","Mais conhecido na organizaá∆o"
"become softer and softer","se torna mais e mais suave"
"Required to swim well without floundering.","Necess†rio para nadar bem sem se debater. "
"'s presence in ","sua presenáa em "
"State feelings of great agitation","Sentimentos de grande agitaáao do estado"
"Minor River: ","Rio menor: "
"that a criminal could not be properly punished","que um criminoso n∆o pode ser devidamente punido"
"Harrowed","Grade"
"New parameter set","Novo conjunto de parÉmetros"
"When necessary","Quando necess†rio "
"the Gamble","a Aposta"
"not having any rooms","N∆o tendo qualquer quartos"
"nasal","nasal "
"Not appointed","N∆o nomeados"
"Dangerous terrain","Terreno perigoso"
"mathematics:notation:early symbols for operations","matem†tica:notaá∆o:primeiros s°mbolos para operaá‰es"
"Sixth","Sexto"
"No food to cook or brew (are you in trouble?)","Sem comida para cozinhar ou fermentar (vocà est† com problemas?)"
" goes"," fanfarra segue-o para onde quer que v†"
" near burning trunk"," perto de queimar o tronco"
"I conducted an official meeting in a bedroom.","Realizei uma reuni∆o oficial em um quarto."
"thick","espessura"
"Say goodbye","Dizer adeus"
"pasture","Pasto"
"Early afternoon","In°cio da tarde"
"closed","fechado"
"Shield User","Usu†rio do escudo"
"The musician blows across a hole in the side of each pipe","O m£sico sopra atravÇs de um buraco na lateral de cada tubo"
"Winter has arrived on the calendar.","O Inverno chegou no calend†rio."
"right kicks","chuta do lado direito"
" has given birth to "," deu Ö luz "
"the Ghost","Ghost"
"That's wrong.","Isso Ç errado."
" couldn't be much worse."," n∆o podia ser muito pior."
"Concealment","Esconderijo"
"Dead Grass Upward Slope","Inclinaá∆o ascendente de grama morta"
"Deity","Deidade"
" accepts our tribute"," aceita a nossa homenagem"
" by a dead sibling"," por um irmao morto"
"to request work","solicitar trabalho"
"prefix","prefixo"
"the clash between ","o embate entre "
"dreams of falling in love","sonha em se apaixonar"
