"its","それの"
"flowing","浮かんでいる"
"seasonal","季節の"
"silent","沈黙した"
"cloudy","曇り"
"stormy","嵐の"
"sunny","晴れた"
"wooden","木製の"
"true","真実"
"wealthy","豊かな"
"windy","風の強い"
"wise","賢い"
"young","若い"
"farming","農作業"
"animals","動物"
"art","芸術"
"caverns","洞窟"
"chaos","混沌とした"
"children","子供"
"coasts","海岸"
"crafts","加工品"
"creation","創造物"
"darkness","暗闇"
"discipline","訓練"
"disease","病気"
"dreams","夢"
"earth","土"
"fame","名声"
"fate","運命"
"fertility","繁殖力"
"festivals","祭り"
"fire","火"
"fishing","釣り"
"food","食料"
"fortresses","要塞"
"freedom","自由"
"games","ゲーム"
"hospitality","ホスピタリティ"
"inspiration","インスピレーション"
"jewels","宝石"
"justice","正義"
"lakes","湖"
"laws","法"
"lightning","稲妻"
"luck","幸運"
"marriage","結婚"
"mercy","慈悲"
"metals","金属"
"minerals","ミネラル"
"mist","霧"
"moon","月"
"mountains","山"
"muck","ふん"
"nightmares","ナイトメア"
"oaths","オアシス"
"oceans","太陽"
"painting","ペインティング"
"plants","植物"
"pregnancy","妊娠"
"rain","雨"
"rainbows","虹"
"rebirth","復活"
"rivers","川"
"rumors","うわさ"
"salt","塩"
"seasons","季節"
"silence","沈黙"
"sky","空"
"speech","演説"
"stars","星"
"storms","嵐"
"strength","強さ"
"suicide","自殺"
"sun","太陽"
"thunder","雷"
"trade","貿易"
"travelers","旅行者"
"trees","木"
"victory","勝利"
"volcanos","火山"
"water","水"
"wealth","富"
"weather","天候"
"wind","風"
"wisdom","知恵"
"writing","書物"
"agriculture","農業"
"monster","モンスター"
"web","蜘蛛の糸"
"Ghost","幽霊"
" (opens menu)"," (メニューを開く)"
"leader","リーダー"
"boss","ボス"
"doctors","医者"
"building","建物"
"very low","とても低い"
"liquid container","液体コンテナ"
"nest box","巣箱"
"track cart","カート"
"games of chance","ゲームズオブチャンス"
"rough ","粗い "
" block"," ブロック"
"the river","川"
"the cave","洞窟"
"the magma pool","マグマプール"
"the volcano","火山"
"the underworld","地下世界"
"Saving world","世界をセーブしています***"
"Sorting world information...","ワールドインフォメーションをソートしています***"
"Saving map data...","マップデータをセーブしています***"
"Saving civilized populations...","市民人口をセーブしています***"
"Saving history...","歴史をセーブしています***"
"Saving parameters...","パラメーターをセーブしています***"
"Saving tracking info...","トラックインフォメーションをセーブしています"
"Cleaning play objects...","プレイオブジェクトをクリーニングしています***"
"Cleaning stranded objects...","スタンデッドオブジェクトをクリーニングしています"
"Cleaning game objects...","ゲームオブジェクトをクリーニングしています***"
"*** STARTING NEW GAME ***","*** 新しいゲームを始める***"
" were unable to complete the "," 完成させるのは不可能だった: "
"branch","枝"
"raw green glass","未加工のグリーングラス"
"raw clear glass","未加工のクリアグラス"
"raw crystal glass","未加工のクリスタリグラス"
"rock","岩"
"stones","石"
"bars","延べ棒"
"charcoal","木炭"
"coke","コークス"
"refined coal","精錬された石炭"
" bars"," 延べ棒"
" wafers"," ウェーハー"
"cut green glass gems","グリーングラスジェムをカットする"
"cut clear glass gems","クリアグラスジェムをカットする"
"cut crystal glass gems","クリスタルジェムをカットする"
"gems","宝石"
"blocks","ブロック"
"door","ドア"
"portal","ポータル"
"floodgate","水門"
"hatch cover","ハッチカバー"
"grate","暖炉"
"bin","びん"
"box","箱"
"bag","かばん"
"quiver","矢筒"
"casket","小箱"
"chain","鎖"
"rope","ロープ"
"vial","瓶"
"flask","フラスコ"
"musical instrument","楽器"
"tool","道具"
"toy","おもちゃ"
"cup","カップ"
"mug","マグ"
"goblet","ゴブレット"
"window","窓"
"cage","檻"
"barrel","樽"
"bucket","バケツ"
"animal trap","動物用の罠"
"sheet","シート"
"totem","トーテム"
"drink","飲み物"
"dirty ","汚れ "
" paste"," ペースト"
"powder","粉"
"cheese","チーズ"
"mechanisms","機械部分"
"tube","チューブ"
"pipe section","パイプ"
"trap component","罠の部品"
"ballista parts","バリスタのパーツ"
"anvil","金床"
"amulet","護符"
"ballista arrow head","バリスタの矢尻"
"siege ammo","攻城兵器の弾"
"ammunition","弾薬"
"scepter","王錫"
"crown","王冠"
"coin","コイン"
"perfect ","完璧な "
"green glass ","グリーングラス "
"clear glass ","クリアグラス "
"crystal glass ","クリスタルグラス "
" gem"," 宝石"
"ring","指輪"
"earring","イアリング"
"bracelet","ブレスレット"
"traction bench","牽引ベンチ"
"quern","石臼"
"millstone","道標"
"statue","像"
"memorial","記念碑"
"craft shop sign","クラフトショップの標識"
"general store sign","雑貨店の標識"
"food shop sign","食料品店の標識"
"food imports sign","食料輸入店の標識"
"clothing imports sign","輸入衣料品の標識"
"general imports sign","輸入雑貨の標識"
"cloth shop sign","布製品店の標識"
"leather shop sign","革製品店の標識"
"woven clothing shop sign","布縫製店の標識"
"leather clothing shop sign","皮衣料品店の標識"
"bone carver's shop sign","骨加工店の標識"
"gem cutter's shop sign","宝石加工店の標識"
"weaponsmith's shop sign","武器屋の標識"
"bowyer's shop sign","弓屋の標識"
"blacksmith's shop sign","鍛冶屋の標識"
"armorsmith's shop sign","防具屋の標識"
"metal craft shop sign","金属加工店の標識"
"leather goods shop sign","革製品店の標識"
"carpenter's shop sign","大工店の標識"
"stone furniture shop sign","石家具店の標識"
"metal furniture shop sign","金属家具屋の標識"
"tavern sign","宿屋の標識"
"seeds","種"
"leaves and fruit","葉と果物"
"leaf or fruit","葉と果物"
"egg","卵"
"live ","生の "
"small live animal","小さな生きた動物"
"tame ","テイム "
"small tame animal","小さな懐いたペット"
"prepared meal","準備された食事"
"preserved ","保存された "
" chops"," 肉の塊"
" chop"," 肉のかたまり"
"meat","肉"
"weapon","武器"
"armor","鎧"
"chain ","鎖 "
"handwear","腕用着衣"
"shield","盾"
"footwear","靴"
"headwear","兜/帽子"
"legwear","脚帯"
" has stolen "," 盗んだ "
"A thief has stolen ","盗賊が盗んだ: "
"of ","の "
"adventure","冒険"
"conflict","紛争"
"rumor","うわさ"
"research breakthrough","研究のブレークスルー"
"stuck on research topic","研究テーマに行き詰まる"
"ponder research topic","研究テーマを熟考する"
"discuss research topic","研究テーマについて話し合う"
"argument","議論"
" cemented a bond of friendship amidst the horror of combat"," 戦いの恐怖の中で友情の絆を固めた"
" after a horrific combat"," 壮絶な戦いの末"
"serving in combat","戦闘に従事する"
" years of membership"," 会員年数"
"artifact","アーティファクト"
"years","年"
"goddess","女神"
"god","神"
"enemy","敵"
"criminal","犯罪"
"home","ホーム"
"blood","血"
"position","ポシション"
"polite","礼儀正しい"
"trusting","信頼できる"
"treasure","財宝"
"stalkers","ストーカー"
"Died of thirst","渇き死にした"
"Burned up in magma","マグマに焼かれた"
"Burned to death by ","焼死した: "
"Burned to death by a ","焼死した: "
"Drowned","溺れた"
"Killed by a trap","罠によって殺された"
"Killed by a vehicle","乗り物に殺された"
"Killed by a flying object","空飛ぶ物体に殺された"
"Vanished","消滅した"
"parent and spouse","親と配偶者"
"mother and wife","母と妻"
"Lover of ","恋人の "
"Friend of ","友人の "
"The color ","色 "
" happy"," 幸福な"
"hopelessly meanders","絶望的な迷走"
"is quite cheerful","かなり楽しい"
"overflows with sadness","悲しみに飲み込まれた"
"is depressing","憂鬱だ"
"is thoroughly organized","徹底的に組織されている"
"is clearly organized","整然と組織されている"
"is organized","組織されている"
"is full of force","力強い"
"is forceful","力強い"
"is quite humorous","かなりユーモラスだ"
" page "," ページ "
"untitled ","無題の "
"Stop Bleeding","止血する"
"Construct building","建築する"
"Destroy building","建物を壊す"
"Butcher an animal","動物を捌く"
"Catch live fish","魚を捕まえる"
"Catch live land animal","動物を捕まえる"
"Milk ","牛乳 "
"Chain ","鎖 "
"Tame ","手なづける "
"No activity","活動なし"
"Zoom In","ズームイン"
"Zoom Out","ズームアウト"
"Macro, Save","マクロ, セーブ"
"Macro, Load","マクロ, ロード"
"Catacombs","地下墓地"
"Tower","塔"
"Unnamed Underworld area","名前のない地下世界エリア"
"Unnamed magma sea area","名前のないマグマの海エリア"
"Unnamed underground area","名前のない地下エリア"
"Legends","伝説"
"ended.","終わる"
"occurred.","生じる"
"began.","始まる"
" creature"," クリーチャー"
"A performance","パフォーマンス"
"A story recital","朗読会"
"A poetry recital","詩吟会"
"A dance","踊り"
"beast","野獣"
"again ","もう一度 "
" was the only great power in the world."," 世界のまだに偉大な力だった"
"living gods and mighty beasts ","現人神と強力な獣 "
"still ","いまだ "
"great powers had returned to the world","偉大な力はこの世界に戻ってきた"
"the powers of the world were fading","その世界の偉大な力は隠れてしまった"
"the last of the ","最後の "
"ancient ","古代の "
" again"," もう一度"
" the world."," 世界"
"Unknown artwork","未知の芸術品"
"Unknown site","未知の遺跡"
"Unknown artifact","未知のアーティファクト"
"Unknown book","未知の本"
"Unknown region","未知の地域"
"Unknown underground area","未知の地下エリア"
"Unknown group","未知の集団"
"hospital","病院"
"guildhall","市庁舎"
"mead hall","饗宴館"
"keep","砦"
"library","図書館"
"dark tower","ダークタワー"
"market","市場"
"catacombs","地下墓地"
"sewers","下水道"
"dungeon","ダンジョン"
"tower","塔"
"Unknown structure","未知の建築物"
"magma","マグマ"
"boiling magma","煮えたぎるマグマ"
"amber","琥珀"
"amber paste","琥珀のペースト"
"pressed amber","潰された琥珀"
"coral","サンゴ"
"coral paste","サンゴのペースト"
"pressed coral","潰されたサンゴ"
"green glass","緑の草"
"green glass paste","緑草のペースト"
"crystal glass","クリスタルのグラス"
"ice","氷"
"snow","雪"
"slush","泥"
"coal","石炭"
"coal powder","石炭の粉"
"coal slush","潰れた泥"
"pressed coal","潰れた石炭"
"potash","炭酸カリウム"
"potash slush","炭酸カリウムの泥"
"pressed potash","潰された炭酸カリウム"
"ash","灰"
"ash paste","灰のペースト"
"pressed ash","潰された灰"
"pearlash","真珠粉"
"pearlash paste","真珠粉のペースト"
"pressed pearlash","潰された真珠粉"
"frozen lye","凍ったアク"
"frozen lye powder","凍ったアクの粉"
"lye slush","アクの泥"
"lye","アク"
"boiling lye","沸騰しているアク"
"mud","泥"
"dirt","土"
"pressed dirt","潰された土"
"vomit","嘔吐物"
"pressed vomit","潰れた嘔吐物"
"molten salt","溶けた塩"
"boiling salt","沸騰している塩"
"filth","汚物"
"pressed filth","潰された汚物"
"frozen filth","凍った汚物"
"frozen filth powder","凍った汚物の粉"
"filth slush","汚物の泥"
"boiling filth","沸騰している汚物"
"grime","垢"
"grime paste","垢のペースト"
"pressed grime","潰された垢"
" coughs"," 咳"
" cough"," 咳"
" vomit"," 嘔吐物"
" blood."," 血"
" roots"," 根"
"thick ","分厚い "
" branches"," 枝"
" twigs"," 小枝"
"Ore of ","鉱石: "
