"engineering:horology:mechanical clock","inæynieria:horologia:zegar mechaniczny"
"conspiracy to slow labor","spisek w celu spowolnienia pracy"
"crime of murder","zbrodnia morderstwa"
"disorderly conduct","niewàaòciwe zachowanie"
"building destruction","zniszczenie budynku"
"bribery","przekupstwo"
"embezzlement","defraudacja"
"vandalism","wandalizm"
"crime of theft","przest©pstwo kradzieæy"
"crime of robbery","przest©pstwo rabunku"
"crime of espionage","przest©pstwo szpiegostwa"
"crime of treason","przest©pstwo zdrady"
"crime of blood-drinking","przest©pstwo picia krwi"
"crime of attempted theft","przest©pstwo usiàowania kradzieæy"
"crime of attempted murder","przest©pstwo usiàowania zab¢jstwa"
"crime of kidnapping","przest©pstwo porwania"
"crime of attempted kidnapping","przest©pstwo usiàowania porwania"
" self-identification to "," samoidentyfikacja do "
" refusal to identify to "," odmowa identyfikacji do "
" demand of submission from "," æ•danie przedàoæenia od "
" attack on "," atak na "
" escalated attack on "," eskalacja ataku na "
" ascension"," wniebowst•pienie"
" presence"," obecnoòÜ"
"'s presence"," obecnoòÜ"
"'s acceptance of "," akceptacja "
"'s offer of tribute"," oferta hoàdu"
"'s refusal of "," odmowa "
"'s demand for tribute"," æ•danie hoàdu"
"'s offer of peace"," oferta pokoju"
"'s cessation of tribute to "," zaprzestanie hoàdu dla "
"'s claim"," roszczenie"
" on "," na "
"'s harassment"," n©kanie"
"'s withdrawal from "," wycofanie si© z "
"'s flight"," ucieczka"
" from "," od "
"'s abandonment"," porzucenie"
"The insurrection","Powstanie"
" against "," przeciwko "
"The "," "
"insurrection crushed","powstanie zmiaædæone"
" by "," przez "
"failed insurrection ","nieudane powstanie "
"overthrow ","obalenie "
"'s reclamation"," ponowne zaj©cie"
"'s foundation"," zaàoæenie"
"'s march"," marsz"
" to reclaim "," aby odzyskaÜ "
" to found a site in "," zaàoæyÜ miejscowoòÜ w "
" toward "," w kierunku "
"The occupation of ","Okupacja "
"Your abduction","Twoje porwanie"
"The abduction of ","Porwanie "
"The destruction of ","Zniszczenie "
"The presence of ","ObecnoòÜ "
"Your possession of ","Twoje posiadanie "
"'s possession of "," posiadanie "
"The absence of ","NieobecnoòÜ "
"'s "," "
"Your lack of possession of ","Tw¢j brak posiadania "
"'s lack of possession of "," brak posiadania "
"You have been ordered to drive these forces out.","Otrzymaàeò rozkaz wyp©dzenia tych sià."
"You have been ordered to slay this creature.","Otrzymaàeò rozkaz zabicia tego stworzenia."
"You have been ordered to cause trouble for these forces.","Rozkazano ci sprawiaÜ kàopoty tym siàom."
"You have been ordered to clear the forces from this site.","Otrzymaàeò rozkaz usuni©cia sià z tego miejsca."
"You last","Ostatni raz"
" heard this "," sàyszaàeò to "
"on the ","na "
"You first heard this ","Po raz pierwszy to usàyszaàeò "
"This is common knowledge where you are from.","To jest powszechna wiedza tam, sk•d pochodzisz."
"writing","pisanie"
"Writing","Pisanie"
" Given"," Dano"
" Dropped"," Upuszczono"
"me","mnie"
"/You","/Ty"
" you"," ty"
"Artifact","Artefakt"
" Destroyed"," Zniszczony"
" Held"," Trzymany"
" Gained"," Uzyskano"
" Denied"," Odm¢wiono"
"rescue","ratowaÜ"
"reunion","poà•czenie"
"Reunion","Poà•czenie"
"Reunion/","Poà•czenie/"
"death","òmierÜ"
"Death/You","ómierÜ/Ty"
"Death/","ómierÜ/"
"crime","przest©pstwo"
"production","produkcja"
"order","rozkaz"
"violation","naruszenie"
"export","eksport"
"prohibition","zakaz"
"job","praca"
"conspiracy","spisek"
"slow","powolny"
"labor","praca"
"Murder","Morderstwo"
"murder","morderstwo"
"Disorder","Zaburzenie"
"disorderly","zaburzaj•co"
"conduct","przeprowadziÜ"
"building","budowla"
"destruction","zniszczenie"
"Bribery","Przekupstwo"
"Embezzlement","Defraudacja"
"Vandalism","Wandalizm"
"Theft","Kradzieæ"
"theft","kradzieæ"
"Robbery","Rabunek"
"robbery","rabunek"
"Espionage","Szpiegostwo"
"espionage","szpiegostwo"
"Treason","Zdrada"
"treason","zdrada"
"Blood-drinking","Picie krwi"
"blood","krew"
"drinking","picie"
"kidnapping","porwanie"
"snatching","wyrywanie"
"performance","wykonanie"
"Performance","Wyst©p"
"Sermon/","Kazanie/"
"Performance/","Wyst©p/"
"a poem","wiersz"
"music","muzyka"
"dance","taniec"
"refuse","odmowa"
"demand","æ•danie"
"submission","zgàoszenie"
"fight","walka"
"Attack/","Atak/"
"Escalation/","Eskalacja/"
"succession","sukcesja"
"leader","lider"
"presence","obecnoòÜ"
"Beast/","Bestia/"
"Group/","Grupa/"
"tribute","hoàd"
"Tribute/","Hoàd/"
"peace","pok¢j"
"Peace/","Pok¢j/"
"claim","roszczenie"
"harassment","n©kanie"
"Harass/","N©kanie/"
"withdrawal","wycofanie"
"Leave/","OpuòÜ/"
"refugees","uchod´cy"
"flight","ucieczka"
"Flee/","Ucieczka/"
"Abandon/","PorzuciÜ/"
"insurrection","insurekcja"
"Insurrection","insurekcja"
"crushed","zmiaædæony"
"defeat","poraæka"
"Crushed","Zmiaædæony"
"failure","niepowodzenie"
"Failed","Nieudane"
"overthrow","obalenie"
"revolution","rewolucja"
"Overthrow","Obalenie"
"reclaim","odzyskanie"
"Reclaimed/","Odzyskano/"
"Founded/","Zaàoæyà/"
"Reclaiming/","Odzyskiwanie/"
"Founding/","Zakàadanie/"
"march","marsz"
"invasion","inwazja"
"Invasion/","Inwazja/"
"occupation","okupacja"
"Occupation/","Okupacja/"
"abduction","uprowadzenie"
"kidnap","porwanie"
"Abduction/You","Uprowadzenie/Ty"
"Abduction/","Uprowadzenie/"
"Artifact/","Artefakt/"
"No Artifact/","Brak Artefaktu/"
"Done: ","Gotowe: "
"Insurrection with ","Powstanie z "
"Guided by ","Prowadzony przez "
"Rescue ","Uratuj "
"Aid rescue with ","Ratowanie za pomoc• "
"Adventure with ","Przygoda z "
"The bound service of","Powi•zana usàuga"
"Entertain people with ","Zabawianie ludzi "
"We should have made it there by now.","Powinniòmy byÜ juæ na miejscu."
"We should be making better progress.","Powinniòmy robiÜ wi©ksze post©py."
"We are going the wrong way.","Zmierzamy w zà• stron©."
"We haven't performed for some time.","Nie wyst©powaliòmy juæ od jakiegoò czasu."
"We have arrived at our destination.","Dotarliòmy do celu."
"The oppressor has been overthrown!","Ciemi©æca zostaà obalony!"
"We must not abandon ","Nie wolno nam porzuciÜ "
"We must go back.","Musimy wr¢ciÜ."
"Empty announcement ","Puste ogàoszenie "
"spinning ","wiruj•cy "
"flying ","lec•ca "
"It","To"
", but it is deflected by ",", lecz jest odbity przez "
" by the "," za "
" in the "," w "
" from behind"," od tyàu "
" from the side"," od boku "
" with "," z "
", but the attack is deflected by ",", lecz atak zostaje odbity przez "
"The geldables have been torn away!","Genitalia zostaày wyrwane!"
", lightly tapping the target!",", lekko dotykaj•c cel!"
", but there is no force!",", lecz nie ma impetu!"
", but it passes right through!",", lecz przelatuje na wylot!"
", but the attack passes right through!",", ale atak przechodzi przez niego!"
", but it glances away!",", lecz odbija si© bez szk¢d!"
", but the attack glances away!",", lecz atak odbija si© bez szk¢d!"
" and the severed part sails off in an arc!"," i odci©ta czeòÜ odlatuje àukiem!"
"the part","cz©òÜ"
" is smashed into the body, an unrecognizable mass!"," jest wmiaædæona w reszt© ciaàa, tworz•c nierozr¢ænialn• mas©!"
" splits in gore!"," rozpada si© na miazg©!"
" collapses!"," zapada si©!"
"the injured part","zraniona cz©òÜ"
" is ripped into loose shreds!"," jest rozerwana na kawaàki!"
" is torn apart!"," jest oderwana!"
" and it is mostly cut away from the rest of the torso!"," i jest w wi©kszoòci odci©ty od reszty tuàowia!"
" is cloven asunder!"," jest rozczepiony na p¢à!"
" explodes into gore!"," wybucha w morzu posoki!"
" collapses into a lump of gore!"," zapada si© tworz•c bryà© mi©sa!"
" is crushed!"," jest zmiaædæona!"
"tearing","rozrywaj•c"
"tearing apart","odrywaj•c"
"shattering","roztrzaskuj•c"
"chipping","odàupuj•c"
"fracturing","àami•c"
"denting","wgniataj•c"
"bruising","siniacz•c"
" it"," to"
" apart"," w taki spos¢b, æe stanowi oddzieln• cz©òÜ"
" and"," i"
" tearing apart"," odrywaj•c"
" shattering"," roztrzaskuj•c"
" tearing"," rozrywaj•c"
" chipping"," odàupuj•c"
" fracturing"," àami•c"
" denting"," wgniataj•c"
" bruising"," siniacz•c"
" through a hole in the "," poprzez dziur© w "
"main part"," gà¢wna cz©òÜ "
"passing through a hole in the "," przelatuj•c przez dziur© w "
"jamming the","blokuj•c"
" part"," cz©òÜ"
"through the ","poprzez "
"out of the wound","z rany"
"breaking away","odàamuj•c"
" most of"," wi©kszoòÜ"
" half of"," poàow©"
" a piece of"," kawaàek"
" the rest of"," reszt©"
" through the "," poprzez "
" and spilling "," i rozlewaj•c "
"your","twoje"
"rancid","zjeàaczaày"
"decomposing","rozkàadaj•ce si©"
"rotten","zepsute"
"fetid","òmierdz•ce"
"foul","odraæaj•cy"
"reeking","cuchn•ce"
"filthy","obrzydliwy"
"stinking","òmierdz•ce"
"It is a gelding strike!","Jest to kastruj•ce uderzenie!"
"It is a gelding blow!","Jest to kastruj•cy cios!"
"a major artery","gà¢wna arteria"
"an artery","arteria"
" has been opened by the attack"," zostaàa otwarta przez atak"
"many nerves","wiele nerw¢w"
"a motor nerve","nerw ruchowy"
"a sensory nerve","nerw czuciowy"
"have","zostaày"
"has","zostaào"
" been severed"," zerwane"
"a ligament","wi©zadào"
" has been "," zostaào "
"torn","rozerwane"
"sprained","zwichni©te"
"bruised","stàuczone"
"a tendon","òci©gno"
"strained","naderwane"
" is ripped to shreds!"," jest rozerwane na strz©py!"
" breaks!"," zrywa si©!"
" attack is interrupted!"," atak zostaà przerwany!"
" have"," zostali"
" has"," zostaà"
" become enraged!"," rozjuszony!"
" has lodged firmly in the wound!"," utkwià mocno w ranie!"
" latches on firmly"," zaciska si© mocno"
" latch on firmly!"," zaciskaà si© mocno!"
" latches on firmly!"," zaciska si© mocno!"
" are"," "
" is"," "
" propelled away by the force of the blow!"," odrzucony sià• uderzenia!"
" been knocked unconscious!"," pozbawiony zmysà¢w!"
" been stunned again!"," ponownie ogàuszony!"
" been stunned!"," ogàuszony!"
" having more trouble breathing!"," ma coraz wi©kszy problem z oddychaniem!"
" having trouble breathing!"," ma problem z oddychaniem!"
" feel"," czuje si©"
" looks"," wygl•da"
" even more sick!"," jeszcze bardziej choro!"
" sick!"," choro!"
" is injected into the "," zostaà wstrzykni©ty w "
" pours over the "," wylewa si© na "
" flows over the "," przepàywa nad "
" splatters over the "," rozplaskuje si© na "
" crumbles over the "," kruszy si© na "
" is sucked out of the wound!"," jest wyssany z rany!"
"All","Wszystko"
"Date: ","Data: "
" is "," "
"hunting.","poluje."
"sparring.","jest w sparingu."
"fighting!","walczy!"
"Unit report tabs","Tabela raport¢w jednostek"
" (Tame)"," (Oswojony)"
"with ","z "
" item"," przedmiot"
"Independent","Niezaleæny/a"
"No team/side","Bez zespoàu/strony"
"Side #","Strona #"
"Create","Stw¢rz"
"Conditions","Warunki"
"Equipment","Wyposaæenie"
"Skills","Umiej."
"Creature","Stworzenie"
"Tame/mountable","Oswojony/do dosiadania"
"synchysis","synchronizacja"
"Not","Nie"
" year"," rok"
"Set the weather, temperature, and time.","Ustaw pogod©, temperatur© i czas."
"No cumulus clouds","Brak cumulus¢w"
"Scattered cumulus","Rozproszone cumulusy"
"Many cumulus (rain)","Wiele cumulus¢w (deszcz)"
"Cumulonimbus (rain)","Cumulonimbusy (deszcz)"
"No stratus","Brak stratus¢w"
"Stratus (rain)","Stratus (deszcz)"
"Nimbostratus (rain)","Nimbostratus (deszcz)"
"No fog","Brak mgày"
"Thin mist","Mgieàka"
"Fog","Mgàa"
"Thick fog","G©sta mgàa"
"Dragonfire","Smoczy ogie‰"
"Scorching","Upalny"
"Hot","Gor•cy"
"Subterranean","Podziemny"
"Below freezing","Poniæej zera"
"Deathly cold","Przera´liwe zimno"
"Absolute zero","Zero absolutne"
"Morning","Poranek"
"Late morning","P¢´ny ranek"
"Early afternoon","Wczesne popoàudnie"
"Late afternoon","P¢´ne popoàudnie"
"Early evening","Wczesny wiecz¢r"
"Evening","Wiecz¢r"
"Night","Noc"
"Late night","P¢´na noc"
"Early morning","Wczesny poranek"
"item","przedmiot"
"elemental materials","materiaày elementarne"
" have returned."," juæ powr¢cili."
" and others have returned."," inni juæ powr¢cili."
" has returned."," powr¢cià."
" has brought back many tales from beyond "," przyni¢sà wiele opowieòci spoza "
" has brought back a few rumors."," przyni¢sà ze sob• kilka plotek."
" has brought back a rumor from abroad."," przyni¢sà ze sob• kilka plotek z daleka."
" has arrived."," przybyà."
" is visiting."," skàada wizyt©."
", the performance troupe, has arrived.",", trupa artyst¢w, przybyàa."
", a performance troupe, is visiting.",", trupa artyst¢w, skàada wizyt©."
"Spoils Report: ","Raport o uszkodzeniach: "
" and others"," i inni"
"Winter","Zima"
"Autumn","Jesie‰"
"Summer","Lato"
"Spring","Wiosna"
"heavy object hauler","tragarz ci©ækich przedmiot¢w"
"The dead walk.  Hide while you still can!","Umarli chodz•.  Kryj si© p¢ki moæesz!"
"Forms twisted from their nature, legion of the night.  What hope remains?","Formy wykrzywione ze swej natury, legion nocy.  Jaka nadzieja pozostaàa?"
"A vile force of darkness has arrived, seeking a parley!","Przybyà nikczemne siày ciemnoòci, chc• pertraktowaÜ!"
"The enemy have come and are preparing to lay siege.  They seek a parley!","Wrogowie przybyli i szykuj• obl©æenie.  Chc• pertraktowaÜ!"
"An army has come to your lands seeking a parley.","Armia przybyàa na Twe ziemie i chce pertraktowaÜ!"
"A vile force of darkness has arrived!","Przybyày nikczemne siày ciemnoòci!"
"The enemy have come and are laying siege to the fortress.","Przybyà nieprzyjaciel i zaczyna oblegaÜ twierdz©."
"An army is invading!","Wroga armia nadchodzi!"
"The army is commanded by ","Armi• dowodzi "
", an ancient and horrible demon escaped from the underworld before the dawn of time",", staroæytny i straszny demon uciekà z podziemnego òwiata przed zaraniem dziej¢w"
", a talented commander",", utalentowany dow¢dca"
", a seasoned commander",", doòwiadczony dow¢dca"
", a competent commander",", kompetentny dow¢dca"
", a ",", "
"true warrior","prawdziwy wojownik"
"skilled warrior","wykwalifikowany wojownik"
"middling warrior","przeci©tny wojownik"
"Beware their ","Strzeæ si© ich "
"heavily-armored ","ci©æko opancerzony "
"armored ","opancerzony "
"elite ","elitarny "
"skilled ","wykwalifikowany "
"mounted ","zamontowany "
"With them ","z nimi "
"come monstrous siege engineers","nadchodz• inæynierowie obl©æniczy potwor¢w "
"comes a ","poszedà na "
"come ","przyjòÜ "
" from the "," z "
"overlord","wàadca"
"overlords","wàadcy"
" has been founded "," zostaà zaàoæony "
", has been conquered and",", zostaà podbity i"
", has been",", zostaà"
" incorporated into your holdings."," wà•czone do Twych posiadàoòci."
" has been conquered and now"," zostaà podbity i obecnie"
" looks to your thriving economy for its future prosperity."," zwraca uwag© na twoj• kwitn•c• gospodark© z uwagi na przyszày dobrobyt."
"You are stunned.","Jesteò oszoàomiony."
" are "," "
"prostrating ","korzy si© przed "
"themselves"," "
" before "," przed "
"torturing ","torturuje "
"committing a depraved act upon ","dopuszcza si© niemoralnego aktu na "
"devouring ","pochàania "
"admiring ","podziwia "
"burning ","spala "
"shooting ","strzela "
"surrounded by ","otoczony przez "
"massacring ","masakruje "
"fighting with ","walczy z "
"greeting ","pozdrawia "
"refusing ","odmawia "
"speaking with ","rozmawia z "
"embracing ","obejmuje "
"striking down ","powala "
"raising ","podnosi "
"hiding ","ukrywa si© "
"praying to ","modli si© do "
"contemplating ","kontempluje "
"cooking ","gotuje "
"engraving ","graweruje "
"impaled on ","jest nadziany na "
"being flayed by ","jest obdzierany ze sk¢ry "
"hanging from ","zwisa z "
