"more presumptious","более уверенный в себе"
"cotton paper","хлопковая бумага"
"cotton leaf","лист хлопчатника"
"cotton leaves","листья хлопчатника"
"cotton flower","цветок хлопка"
"cotton flowers","цветы хлопка"
"цветок хлопкаs","цветы хлопка"
"ramie plant","рами"
"ramie plants","рами"
"ramie seed","семя рами"
"ramie seeds","семена рами"
"useful stems","полезные стебли"
"ramie","рами"
"ramie slurry","бумажная масса из рами"
"ramie paper","бумага из рами"
"ramie leaf","лист рами"
"ramie leaves","листья рами"
"kenaf plant","гибискус"
"kenaf plants","гибискус"
"frozen kenaf seed oil","замороженное гибискусовое масло"
"kenaf seed oil","гибискусовое масло"
"boiling kenaf seed oil","кипящее гибискусовое масло"
"kenaf seed oil soap","гибискусовое мыло"
"melted kenaf seed oil soap","расплавленное гибискусовое мыло"
"kenaf seed","семя гибискуса"
"kenaf seed paste","паста из семян гибискуса"
"kenaf seed press cake","жмых гибискуса"
"kenaf seeds","семена гибискуса"
"kenaf","гибискус"
"kenaf slurry","бумажная масса из гибискуса"
"kenaf paper","бумага из гибискуса"
"kenaf leaf","лист гибискуса"
"kenaf leaves","листья гибискуса"
"kenaf flower","цветок гибискуса"
"kenaf flowers","цветы гибискуса"
"цветок гибискусаs","цветы гибискуса"
"papyrus sedge","бумажный тростник"
"papyrus sedges","бумажный тростник"
"papyrus","папирус"
"papyrus seed","семя бумажного тростника"
"papyrus seeds","семена бумажного тростника"
"papyrus leaf","стебель бумажного тростника"
"papyrus leaves","стебли бумажного тростника"
"papyrus flower cluster","соцветие бумажного тростника"
"papyrus flower clusters","соцветия бумажного тростника"
"соцветие бумажного тростникаs","соцветия бумажного тростника"
"artichoke","артишок"
"artichokes","артишок"
"frozen artichoke wine","замороженное артишоковое вино"
"artichoke wine","артишоковое вино"
"boiling artichoke wine","кипящее артишоковое вино"
"artichoke seed","семя артишока"
"artichoke seeds","семена артишока"
