"more presumptious","更加自以为是"
"a noted murderer","一个著名的杀人犯"
" Ice Floor"," 冰楼"
"Insanity","疯狂"
"You set a fire.","你放火. "
"Close friend","亲密的朋友"
"Toggle whether the squad will sleep here.","切换小队是否会在这里睡觉. "
"Just think about it.","考虑一下. "
" Upward Track (SEW)"," 冰上行轨道(东南偏西)"
"What will you say about the journey?","你会怎么说这段旅程?"
"Eager","渴望"
"losing ","失去 "
"Amount of ","金额 "
"short","短"
"a pretty decent meal","一道相当体面的菜"
"be jumpy","跳得很厉害"
"Slam into an obstacle (blow apart)","撞上障碍物(炸开)"
"time","时间"
"Each [C:6:0:0]Track Stop[C:7:0:0] must be linked to a [C:6:0:0]Stockpile[C:7:0:0] for [C:6:0:1]Items[C:7:0:0] to be put on or removed from the [C:6:0:1]Minecart[C:7:0:0].","每个 [C:6:0:0]轨道站[C:7:0:0] 必须连接到一个 [C:6:0:0]储物点[C:7:0:0] ,以便于将[C:6:0:1]货物[C:7:0:0] 从 [C:6:0:1]矿车[C:7:0:0] 上装载或卸下. "
"Initiation","开始"
"Glowing Floor","发光的地板"
"being frozen solid","冷冻固体"
"State minor feeling of acceptance","状态轻微的接受感"
"jewels","珠宝"
"Z Levels Above Ground","Z水平高于地面"
"Sand Collection","沙集合"
"fighting!","战斗!"
"Loading flow guides...","加载流量指南......"
"Burned up in magma","在岩浆中燃烧"
"How fleeting life is...","生命如何短暂......"
"slayer in incident","事件中的杀手"
"There are not enough cages and chains.","没有足够的笼子和链子. "
"played","发挥"
"livestock ownership","牲畜所有权"
"Fell into a deep chasm","陷入深深的鸿沟"
"very large","很大"
"certain lines ","某些线条 "
"A migrant has arrived, despite the danger.","尽管存在危险,但移民已经抵达. "
"blissful","幸福"
"feels helping others is an imposition on ","感觉帮助他人是一种强加 "
"fortresses","堡垒"
"Highest known in organization","组织中有最高的知名度"
"become softer and softer","变得柔软和柔软"
"'s presence in ","在 "
"State feelings of great agitation","状态极度激动的感觉"
"Minor River: ","次要河流: "
"that a criminal could not be properly punished","罪行不可能得到适当的惩处"
"Harrowed","耙"
"New parameter set","新参数集"
"When necessary","必要时"
"the Gamble","赌博"
"not having any rooms","没有任何房间"
"nasal","鼻音"
"Not appointed","没有任命"
"Dangerous terrain","危险地形"
"mathematics:notation:early symbols for operations","数学:表示法:早期的运算符号"
"Sixth","第六"
"No food to cook or brew (are you in trouble?)","没有食物能用来煮或酿造(你陷入困难了吗?)"
" goes"," 去"
" near burning trunk"," 靠近燃烧的树干"
"I conducted an official meeting in a bedroom.","我在卧室里进行了正式会议. "
"thick","厚"
"Say goodbye","说再见"
"pasture","牧场"
"Early afternoon","巳时"
"closed","关闭"
"Shield User","盾牌手"
"The musician blows across a hole in the side of each pipe","音乐家吹过每个管道侧面的一个洞"
"Winter has arrived on the calendar.","冬天到了. "
"right kicks","右踢"
" has given birth to "," 生下了 "
"the Ghost","鬼"
"That's wrong.","那是错的. "
" couldn't be much worse."," 情况再好不过了. "
"Concealment","藏身处"
"Dead Grass Upward Slope","枯草上坡"
"Deity","神祇"
" accepts our tribute"," 接受我们的敬意"
" by a dead sibling"," 死了的兄弟姐妹"
"to request work","要求工作"
"the clash between ","之间的冲突 "
"dreams of falling in love","坠入爱河的梦想"
"State feelings of loneliness","陈述孤独感"
"is has large muscles on a incredibly broad body","在一个令人难以置信的宽阔的身体上有大块的肌肉"
"(Combat) Gain/lose possession of item","(战斗)获得/失去物品的所有权"
"You do not have a free grasp.","你没有自由的把握. "
"Workers ignore minerals","工人无视矿物"
"Ice Upward Track (NE)","冰上行轨道(东北方向)"
"Gear assembly","齿轮组"
"I am very hopeful.","我很有希望. "
"Tropical Moist Broadleaf Forest","热带湿润阔叶林"
"Wonder","奇迹"
"northeastern","东北方"
"Slate","石板"
"Remove this work order.","移除该工作订单. "
"blows ","打击 "
"is quite polite","很有礼貌"
" merchant company from "," 商行来于 "
" Swimming Preference"," 游泳首选项"
"No workers","没有工人"
"This is your deceased spouse.","这是您已故的配偶. "
"florid","花哨的"
"Grab Ammunition for Building","抓住建筑物的弹药"
"Critical Thinker","批判性思考者"
"philosophy:epistemology:justification","哲学:认识论:正当理由"
"finds the acquisition and use of power abhorrent and would have all masters toppled","发现获取和使用权力令人憎恶,并且所有主人都会被推翻"
"is long and thin with strong muscles","瘦长,肌肉结实"
"-Trained-","-训练有素-"
"Persecution of ","迫害: "
"the sound of ","耳闻 "
"Do not take any chances.","不要冒险. "
"feeling alienated","感到异化"
"west","西"
"items","项目"
"Scraping","刮痧"
"feeling servile","感到卑微"
"This creature can be found in ","这个生物可以在 "
"caught in freakish weather","遭遇了奇特的天气"
"the acquisition of a copy of ","收购的副本 "
" justly slew "," 公正的 "
"You failed to compose anything.","你没能写出任何东西"
"I don't have enough armor stands.","我没有足够的装甲站. "
"a very good","一个非常好的"
"the fighting","战斗"
"a sum of patience","有耐心的"
"Method","方法"
"Ice Track (S)","冰轨道(正南方向)"
"claimed artifact given away","声称把神器送走了"
" was confiscated"," 被没收了"
"Select this option and any unassigned deceased pets will be buried here automatically.","选择这个选项,任何未分配的已故宠物都将自动埋在这里. "
"There are many ways to maintain your citizens. ","有很多方法可以保护你的公民.  "
"No charge attack: target is mounted","无电荷攻击:目标已挂载"
"metalcrafter","金属工匠"
"infamous flatterer","臭名昭著的巧言师"
"No longer overwhelmed","不再不堪重负"
"no","没有"
"philosophy:metaphysics:causation","哲学:玄学:因果关系"
"Attempted to set world gen presets prior to dimensions","尝试在尺寸之前设置世界生成器组预设"
" on a "," 在一个 "
"Pressure Plate","压力板"
"Melt a metal object","熔化一个金属物体"
"For lyrics, the composer has selected ","对于歌词,作曲家选择了 "
"State that listener had a good hunt","说明侦听器进行了一次很好的搜索"
"heavy object hauler","重物搬运工"
"the purchase of ","购买 "
"Armor User","盔甲使用"
"somewhere","某处"
"Good with language","能言善辩"
"Frozen Elsewhere","冷冻其他地方"
"to provide opportunities for courage to rise","为勇气提升提供机会"
"Stockpiles can be placed using the stockpile menu at the bottom of the screen.","储物区可以从屏幕底部的储物区菜单添加. "
" currency of "," 的货币 "
"to make a counter-assertion","提出反驳"
"State feelings of remorse","陈述悔恨情绪"
" in war if the latter did likewise."," 在战争中,如果后者也这样做的话. "
"has a thin body with almost no fat on it","身材瘦小,几乎没有脂肪"
"Refuse to yield","拒绝让步"
" skill: "," 技能: "
"deal","交易"
"a skilled bard","熟练的吟游诗人"
"passing through a hole in the ","穿过一个洞 "
"Train (to make a pet) or slaughter","训练(来使之成为宠物)或屠宰"
"the sword","剑"
"The battle rages...","战斗肆虐......"
"Research","研究"
"you","你"
"position","位置"
"Noted villain","著名的恶棍"
"would be very thin but has opted for some muscle and fat","很瘦,但多少长了一些肌肉和脂肪"
"Humiliated","羞辱"
"for each month, line up with your chosen routine, go down the column, and press edit on the ","对于每个月,按照你选择的日程排列,沿着列向下走,然后按下编辑 "
"a piece","一块"
" doesn't really care about anything anymore.  "," 不再关心任何事了.  "
"Lava Mist","熔岩雾"
"Temperate","温和"
"No commanders","没有指挥官"
"Attack caught","攻击捕获"
" one of the first of "," 第一个 "
"infamous bully","臭名昭著的恶霸"
"by pressing valves to route air through different tube","通过按压阀门使空气通过不同的管道"
"Ice Downward Track (NE)","冰下行轨道(东北方向)"
"Ahhhhhhh!  No!","啊啊啊啊啊啊啊!不!"
"Can the elevation 400 be placed enough times to provide space for your peaks?  ","高度400的放置次数是否足以为你的山峰提供放置空间? "
" received"," 收到"
"No anxiety  <->  Very anxious","无焦虑 <-> 非常焦虑"
"contemplating ","深思 "
" ended the days of "," 结束了几天 "
" own mortality and sought to extend "," 自己的死亡率并寻求扩大 "
"It really is a pleasure to speak with you again.","很高兴再次与您交谈. "
"State feelings of great relief","状态感到非常宽慰"
" console"," 安慰"
"Making Maps","制作地图"
"Only one condition needs to be satisfied for the [C:6:0:1]Minecart[C:7:0:0] to move to the next [C:6:0:0]Track Stop[C:7:0:0].","只需要满足一个条件 [C:6:0:1]矿车[C:7:0:0] 移动到下一个 [C:6:0:0]轨道:停靠站[C:7:0:0]."
"Furnace","熔炉"
"Smelt ","熔炼 "
"the Mystery","谜"
"Place stockpiles for item storage.","放置物品储存的库存. "
"laughing","笑"
"reunion","团圆"
"dislikes abstract discussions and would much rather focus on practical examples","不喜欢抽象的讨论,更愿意关注实际的例子"
"Animal traps can be placed in the wild and baited with meat, plants, or gems, in order to catch small creatures.","动物陷阱可以放置在野外,用肉, 植物或宝石作诱饵,以捕捉小动物. "
"object","对象"
"blocks... bricks...","块......砖......"
"distillation","蒸馏"
"Rebuilding more temporary information...","重建更多临时信息......"
" chops"," 印章"
"Dismiss minor feeling of misery","消除轻微的痛苦感"
"Station","驻扎点"
"Dismiss minor feeling of being shaken","消除轻微的摇晃感"
"What will you say about the structure?","你对这个结构有什么看法?"
"many nerves","很多神经"
"Acknowledge lack of euphoria","承认缺乏欣快感"
" : Numbered body parts cannot have children -- number set to 1 (make individual parts if possible)"," :编号的身体部位不能有孩子 - 数字设置为1(如果可能的话,制作单个部分)"
"State feelings of aggravation","状态 加重的感觉"
"Adventuring Agreement","冒险协议"
"Former slave","前奴隶"
"military ethics","军事道德"
" laughs loudly when "," 笑的很大声当 "
"hunting animal","狩猎动物"
" couplet"," 对联"
"chefs","主厨"
"This creature is assigned to a specific workshop.","该生物被指派到一个特定的工坊. "
"engineering:horology:conical water clock","工程学:钟表学:锥形水钟"
