"more presumptious","бўльш зухвалий"
"strangle","душите"
" jump"," вўдпригуїте"
"jubilant","трўумфуючий"
"Various mechanical traps can be found here.  The pressure plate is also found here, which has applications beyond traps.","Тут зўбранў рўзноманўтнў механўчнў пастки. Також тут мўститься нажимна плита, яка маї застосування не лише для пасток."
"Magma kiln","Магменна пўч для випалу"
"I'm happy to help.","Я радий допомогти."
" to found a site in "," щоб заснувати мўсце в "
"Open the nobles and administrators menu.","Вўдкрийте меню знатў та адмўнўстраторўв."
"medicine:method:surgery suturing","медицина:метод:хўрургўчне зшивання"
"addition of masterful cloth","оздоблення майстерною тканиною"
"Milk ","Молоко "
"Attack/","Атака/"
"weaving of a masterful sewn image","створення майстерно вишитого вўзерунка"
"Wrestle","Боротьба"
" vomit"," блювота"
"after eating a good meal","пўсля ситно∙ трапези"
"catapult parts","частини метавки"
"choreography","хореографўя"
" other major settlements."," ўншў великў поселення."
"No seeds","Немаї насўння"
"No fullscreen resolutions detected.","Не виявлено повноекранних роздўльних здатностей."
"drunk","п'яниця"
"love","любов"
"Bard","Бард"
"Failed to create save directory; game will not continue with saving: ","Не вдалося створити каталог збереження; гра не продовжить зберўгатися: "
"coal powder","вугўльний порошок"
" looks to your thriving economy for its future prosperity."," покладаїться на вашу процвўтаючу економўку для свого майбутнього."
"slayer","вбивця"
"Farm plots are placed using the building menu at the bottom of the screen.","Грядки розмўщуються за допомогою меню будўвництва внизу екрана."
"strands","волокна"
"Raid (squads will try to avoid detection)","Рейд (загони намагатимуться уникнути виявлення)"
"works secretly...","працюї таїмно..."
"Would you like your fortress located in a forested mineral-rich region of this world where you can play through a short tutorial? ","Чи хочете ви, щоб ваша фортеця знаходилася в лўсистому багатому на кориснў копалини регўонў цього свўту, де ви зможете пройти коротке навчання? "
