"Seek Patient for Diagnosis","Шукаць пацыента для дыягностыкi"
"Do this by selecting [C:5:0:1]Workshops[C:7:0:0] -> [C:5:0:1]Farming[C:7:0:0] -> [C:5:0:1]Fishery[C:7:0:0].","Зрабiце гэта, выбраўшы [C:5:0:1]Майстэрнi[C:7:0:0] -> [C:5:0:1]Гаспадарка[C:7:0:0] -> [C:5:0:1]Рыбарня[C:7:0:0]."
"bruising","ранячы"
"hated","ненавiдзеў"
"Former prisoner","Былы зняволены"
"Do this if you want to keep the old save.","Пакiнуць старое захаванне."
" of 20)"," з 20)"
" plotted to abduct "," задумаў выкраданне  "
"is a complete scatterbrain, unable to focus on a single matter for more than a passing moment","бязўважлiвасць, праз якую немагчыма засяродзiцца на адным пытаннi больш, чым на iмгненне"
"Toggle whether the stockpile allows plant and animal-based objects, regardless of other settings.","Дазвольце цi забаранiце знаходжанне на складзе рэчаў жывёльнага цi раслiннага ўтварэння, незалежна ад iншых налад."
"Click a tile to be a corner of the ","Пстрыкнiце на клетку, якая будзе вуглом "
"Here you can create squads, fill their positions, assign equipment and schedules, and give specific orders.","Тут вы можаце ствараць атрады, запаўняць iх пазiцыi, прызначаць абсталяванне i расклад, а таксама аддаваць канкрэтныя загады."
"Your strength has been broken.","Ваша воля была зламаная."
"Spouse: ","Муж: "
"Learn ","Вучыць "
"Normal","Нармальна"
"0 = Can use any shop","0 = Можна выкарыстаць любую майстэрню"
"This visitor has come ","Гэты госць прыйшоў "
"This work order is ready to activate.","Працоўны загад гатовы для актывацыi"
"the passing of corruptly-obtained funds by ","перадача сродкаў, атрыманых карупцыяй "
"We should be making better progress.","Мы мусiм працаваць больш плённа."
"Handwear","Рукавiцы"
"Buildings...","Будынкi..."
"Finalizing material templates...","Завяршэнне шаблонаў матэрыялаў..."
"was too ambitious to accept death and agreed","быў занадта амбiцыйны, каб прыняць смерць, i пагадзiўся"
"empathetic","эмпатычны"
"Usable armor","Прыдатная браня"
"biography","бiяграфiя"
"Land holder production trigger ","Трыгер землеўладання ад вытворчасцi "
"passing a portion of corruptly-obtained funds","перадачу часткi сродкаў, атрыманых карупцыяй"
"Make the bed","Зрабiць ложак"
"shocked","у шоку"
"gloomy","змрочны"
"angry","злы"
"From there, you can build your wealth, export goods, and attract more migrants until ","Пасля гэтага, вы можаце нарошчваць сваё багацце, экспартаваць тавары i прыцягваць больш мiгрантаў, каб  "
"On display","На дысплеi"
"Survival","Выжыванне"
"was too proud to accept death and agreed","быў занадта ганарлiвы, каб прыняць смерць, i пагадзiўся"
"Misrepresented","Перакруцiў"
"Dyer","Сiнельнiк"
"Food","Харчы"
"Statue","Статуя"
"sketches","накiдвае"
"Amber","Бурштын"
"The topic being considered is ","Разглядаецца тэма "
"Read","Чытаць"
"Values harmony","Цэнiць гармонiю"
"Nickname position (legends mode)","Размяшчэнне мянушкi (рэжым легенд)"
", no workers",", працаўнiкоў няма"
"Preparing material data...","Падрыхтоўка дадзеных матэрыялаў..."
" the poem to life with this flawless recitation."," ажывiў верш сваiм бездакорным апавяданнем."
"I can accept this.","Я магу гэта прыняць."
"appointed by ","прызначаны "
"Finish setting hauling routes.","Скончыць налады маршрутаў руху."
"the Shrubland","Хмызняк"
"respects the development of skill","паважае развiццё навыкаў"
"A day's travel","Дзень шляху"
"is in ","у "
"Keep building after placement","Працягваць будаваць пасля размяшчэння"
" engraving "," гравiруе "
"offered revenge upon ","прапанаваў адпомсцiць "
"A section of the cavern has collapsed!","Частка пячоры абвалiлася!"
"Feared as a murderer","Выклiкаючы страх галаварэз"
"disgusted","агiдна"
"Cull dead units at","Абмежаваць колькасць мёртвых юнiтаў"
"Author: ","Аўтар: "
"Evening","Вечар"
"bored","маркотны"
" with "," з дапамогай "
"Pit/Pond","Яма/Сажалка"
"the criminals","злачынцы"
"HATCH TAKEN BY INVADERS","ЛЮК ЗАНЯТЫ ЗАХОПНIКАМI"
"chanting","напевы"
"Specify a new image","Выбраць новую выяву"
"(no other folders will be deleted)","(iншыя тэчкi выдаляцца не будуць)"
"was ","быў "
"likes to stretch ","любiць пацягнуцца "
"Cruel","Бязлiтасны"
"Temperate Shrubland","Невялiчкi Хмызняк"
"Only members can visit (if guild established)","Могуць наведваць толькi чальцы (калi гiльдыя заснаваная)"
"Wallowing in misery!","Заграз у пакутах!"
"Door","Дзвер"
"It has come to pass.","Здзейснiлася."
"excited","у захапленнi"
"wrathful","гнеўны"
" joined with "," далучыўся да "
"Orderly","Дысцыплiнаваны"
"Must span multiple elevations","Павiнна ахоплiваць некалькi вышынь"
"a tendon","cухажылле"
"begin","пачынаеце"
" by fooling "," падманам "
"Finalizing items...","Завяршэнне прадметаў..."
"production order violation","парушэнне вытворчага загаду"
"the tormentor ","кат "
"optimistic","аптымiстычны"
"being unafraid","бясстрашна"
"outcast ","iзгой "
"There aren't any crafted artifacts here.","Тут няма вырабленых артэфактаў."
"Vertical bars","Вертыкальныя планкi"
"Worker","Працаўнiк"
"[C:1:0:1]Guildhalls[C:7:0:0] are where the workers of specific professions gather to socialize and share their knowledge. ","[C:1:0:1]Гiльдзалы[C:7:0:0] - гэта месца, дзе збiраюцца работнiкi пэўных прафесiй, каб мець зносiны i дзялiцца сваiмi ведамi. "
"for diplomacy","для дыпламатыi"
"social","сацыяльны"
" will not go unanswered."," не застанецца без адказу."
" has shared a few rumors."," падзялiўся некалькiмi чуткамi."
"Be creative","Ствараць"
"Nobles and certain administrators require rooms, and some may also make demands.","Шляхце i некаторым адмiнiстратарам патрэбныя асобныя пакоi, а некаторыя могуць прад'яўляць патрабаваннi."
