"more presumptious","m†s presuntuoso"
"Unnamed tomb","Tumba sin nombre"
"This is the butchering and crafting menu.","Este es el men£ de carnicer°a y artesan°a."
"-line stanza","-lineas estrofa"
"death","muerte"
" spin"," girar"
"an empty population","Una poblaci¢n vac°a"
"to smooth the operation of ","para suavizar el funcionamiento de "
"Seek Dressing Cloth","Buscar ropa de vestir"
"It's very interesting.","Es muy interasante"
"a poor","un pobre"
" and it is controlled by "," y est† controlado por "
"finds eloquence and artful speech off-putting","encuentra la elocuencia y el discurso ingenioso desagradables"
"jutting-chin","ment¢n sobresaliente"
"Camera controls","Controles de c†mara"
"paper-slurry ","pasta de papel "
"urging love between ","instando al amor entre "
"be used for burial.","Se usa para sepultura"
"screw ","Tornillo "
"The dead!","≠Los muertos!"
"boulder graphics","gr†ficos de roca"
"the method of compiling several biographies to compare and contrast the subjects' character and to gain insight into history","el mÇtodo de compilaci¢n de varias biograf°as para comparar y contrastar el car†cter de los sujetos y obtener su perspectiva en la historia"
"sees working hard as a foolish waste of time","ve el trabajar duro como una est£pida pÇrdida de tiempo"
"Buried alive","Enterrado vivo"
"Unmet need: ","Necesidades: "
"This nameless being","Este ser sin nombre"
"Only farmers harvest","S¢lo los agricultores cosechan"
"molten crystal glass","vidrio cristalino fundido"
"speaks in a monotone when ","habla en voz monot¢nica cuando "
"infiltrate society","infiltrarse en la sociedad"
"Resets","Reinicios"
"the Mausoleum","el Mausoleo"
"the classification of disease","La clasificaci¢n de la enfermedad"
"High Precision","Alta Precisi¢n"
"the reproductive behavior of creatures","el comportamiento reproductivo de las criaturas"
"spear","lanza"
"Loading image sets...","Cargando conjuntos de im†genes..."
"Value of temple complex","Valor del complejo templario"
"Workers save shells","Los trabajadores ahorran conchas"
"when full","cuando este lleno"
"Site Map:  Extra Item Occupancy ","Mapa del sitio: ocupaci¢n de art°culos adicionales "
" was the place to perform research."," fue el lugar para realizar investigaci¢n."
"yield","producir"
"Bowyer","Arqueria"
"Take me away from here.","S†came de aqu°"
"outside","fuera"
"kill ","matar "
"legendary villain","villano legendario"
"Tropical Shrubland","Matorral Tropical"
"You can prepare in advance with ","Puedes prepararte de antemano con "
" (vial)"," (vial)"
"the acceptance","la aceptaci¢n"
"The story of ","La historia de "
"You feel uneasy.","Te sientes inc¢modo."
"the Assumption","la Asunci¢n"
" which was said to permeate "," que se dec°a que impregnaba "
", Pressed",", Presionado"
" with the presentation of "," con la presentacion de "
"State that you hate light poems","Manifestar que odias lo poemas ligeros"
"Yes!  It'll be great to perform with you.","≠Si! Ser† genial tocar con ustedes."
"is very muscular and incredibly long","es muy musculoso y incre°blemente largo"
"Dungeon Commander","Comandante de Mazmorra"
" a friend."," un amigo."
"after communing with ","despuÇs de estar en comuni¢n con "
"Acknowledge lack of grouchiness","Reconocer la ausencia de mal humor"
"What stories you tell!  It's such an honor to have you here.","≠QuÇ historias cuentas! Es todo un honor tenerte aqu°."
"modulates frequently","modula frecuentemente"
"investigate","investigar"
" available"," disponible"
"Open","Abierto"
"gives a feeling of compassion here and there","da un sentimiento de compasi¢n aqu° y all†"
"Civilized World Population","Poblaci¢n del Mundo Civilizado"
"Workers dump bones","Los trabajadores arrojan huesos"
"yarn ","cordel "
"Analogy","Analog°a"
"A wrestling competition","Una competici¢n de lucha"
"The instrument has flue pipes and reed pipes.  ","El instrumento tiene tubos de ventilaci¢n y de lengÅeta. "
"sad","triste"
"tax","impuesto"
"Make sure your parameters and presets can support mid-elevation, very low rainfall, non-freezing areas.  ","Aseg£rese de que sus par†metros y preajustes puedan soportar †reas de baja altura, muy poca lluvia y sin congelaci¢n. "
"Bad script! #2","≠Mal gui¢n! #2"
"I was in a snow storm.","He estado en una tormenta de nieve."
"State feelings, somewhat expectant","Expresar sensaci¢n, algo expectante"
" property was confiscated"," la propiedad fue confiscada"
"Geld ","Castrar "
"Somebody up to no good...","Alguien sin buenas intenciones..."
"You unyield","Te desistes"
"medicine:method:surgery incision","medicina:mÇtodo:cirug°a incisi¢n"
"It is still shrouded in mystery.  ","Todav°a est† envuelto en el misterio. "
"worship","adorar"
"the Duel","el Duelo"
"I brought up the lack of jobs in a meeting.","Lleve el tema sobre la falta de trabajos en una reuni¢n."
"Crossbowman","Ballestero"
"prefers to present ","prefiere presentar "
" been stunned again!"," ≠de nuevo aturdido!"
"Activity section change","Cambio de secci¢n de actividad"
"Cage Vermin","Enjaular Alima§a"
"I killed somebody in a sparring accident.","MatÇ a alguien en un accidente de entrenamiento."
"I have been so wronged!","Estuve tan equivocado ! "
"has a long, thin body with very little fat","tiene un cuerpo largo y delgado con muy poca gordura"
" shot and killed "," disparado y asesinado "
"Austere","Austero"
"and ","y "
" fighting with "," luchando con "
"It is a","es un/una"
" (quantitative "," (cuantitativo "
"the area around ","el †rea de alrededor "
"Balancing","Balanceado"
"has a short, broad body with very little fat","tiene un cuerpo bajo y ancho con muy poca gordura"
"mottled ","moteado "
"autobiography","autobiograf°a"
"(Wrestling) Cannot break grip","(Lucha) No puede romper el agarre"
"Choose Y: ","Elegir Y: "
"Here you can interact with the objects you are carrying.  Items can be dropped, worn, eaten, thrown, named, etc.  The icon tooltips describe your options for each item.  ","Aqu° puedes interactuar con los objetos que llevas. Los objetos se pueden dejar caer, llevar, comer, lanzar, nombrar, etc. Los iconos de ayuda describen las opciones de cada objeto. "
"the use of a grid system in the creation of maps","el uso de un sistema de cuadr°culas para la creaci¢n de mapas "
"believes that those that take leisure time are evil and finds the whole idea disgusting","cree que aquellos que toman tiempo libre son malvados y encuentran toda la idea desagradable"
"2 lost after mutual wounds","2 perdidos tras heridas mutuas"
"Outraged","Indignado"
"Perfectionist","Perfeccionista"
"use","emplear"
" was offered"," fue ofrecido"
"Acknowledge lack of amusement","Reconocer la ausencia de diversi¢n"
"Cannot generate random creatures -- missing body ","No se pueden generar criaturas aleatorias -- falta un cuerpo "
" is written from the perspective of "," est† escrito desde la perspectiva de "
"Lever Operation","Operaci¢n de palanca"
"You must have at least as many of these highest volcanism points as you are requiring volcanos.  ","Debes tener al menos la mayor cantidad de estos puntos de volcanismo m†s alto ya que est†s requiriendo volcanes. "
"Site Government","Gobierno del sitio"
"a barrow","una vagoneta"
"Skill 5","Habilidad 5"
"distracted by unmet needs","distra°do por necesidades insatisfechas"
"Plant gatherers","Recolectores de plantas"
"The selected workshop will give items to here.","El taller seleccionado entregar† art°culos aqu°."
"less assertive","menos asertivo"
"It was great.","Fue genial."
" part of the problem."," parte del problema."
"The view is dark underground.  You can recenter on yourself with the ","La vista es oscura bajo tierra. Puedes centrarte en ti mismo con el "
"fragile","fr†gil"
"Ability to fight with objects not covered by other skills.","Capacidad de luchar con objetos que no estÇn cubiertos por otras habilidades."
"Assign uniform","Asignar uniforme"
"dining hall","comedor"
"No orders","No ¢rdenes"
"the computation of the volume of different pyramids","El c†lculo del volumen de diferentes pir†mides."
"Absolute zero","Cero absoluto"
"right here","justo aqu°"
"Storage path decrease (barrel combine)","Disminuci¢n de la ruta de almacenamiento (combinaci¢n de barriles)"
"a noted murderer","un homicida renombrado"
" Ice Floor"," Suelo Helado"
"Insanity","Locura"
"You set a fire.","Provocaste un incendio."
"Close friend","Amigo cercano"
"Toggle whether the squad will sleep here.","Cambia si el escuadr¢n dormir† aqu°."
"Just think about it.","Solo piensa en ello."
" Upward Track (SEW)"," V°a de Ascenso (SEO)"
"What will you say about the journey?","®QuÇ dir†s sobre el viaje?"
"Eager","Ansioso"
"losing ","perdiendo "
"Amount of ","Cantidad de "
"short","corto"
"a pretty decent meal","una comida bastante decente"
"be jumpy","ser emocionante"
"Slam into an obstacle (blow apart)","Estrellarse contra un obst†culo (despedazar)"
"time","tiempo"
"Each [C:6:0:0]Track Stop[C:7:0:0] must be linked to a [C:6:0:0]Stockpile[C:7:0:0] for [C:6:0:1]Items[C:7:0:0] to be put on or removed from the [C:6:0:1]Minecart[C:7:0:0].","Cada [C:6:0:0]Parada de pista[C:7:0:0] debe vincularse a un [C:6:0:0]AlmacÇn[C:7:0:0] para que los [C:6:0:1]Art°culos[C:7:0:0] puedan ser colocados o eliminados de la [C:6:0:1]Vagoneta[C:7:0:0]."
"Initiation","iniciaci¢n"
"Glowing Floor","Suelo Luminoso"
"being frozen solid","de ser congelado s¢lido"
"State minor feeling of acceptance","Expresar ligera sensaci¢n de aceptaci¢n"
"jewels","joyas"
"Z Levels Above Ground","Niveles Z Sobre la Superficie"
"Sand Collection","Recolecci¢n de Arena"
"fighting!","combate!"
"Loading flow guides...","Cargando gu°as de flujo..."
"Burned up in magma","Quemado en magma"
"How fleeting life is...","QuÇ fugaz es la vida ..."
"slayer in incident","asesino en problemas"
"There are not enough cages and chains.","No hay suficientes jaulas y cadenas."
"played","juguÇ"
"livestock ownership","propiedad de hacienda"
"Fell into a deep chasm","Cay¢ en un abismo profundo"
"very large","muy grande"
"certain lines ","ciertas lineas "
"A migrant has arrived, despite the danger.","Un migrante ha llegado, a pesar del peligro."
"blissful","feliz"
"feels helping others is an imposition on ","siente que ayudar a otros es una imposici¢n en "
"fortresses","Fortaleza"
"Highest known in organization","El m†s conocido de la organizaci¢n"
"become softer and softer","volverse m†s y m†s tenue"
"Required to swim well without floundering.","Requerido para nadar bien sin chapotear."
"'s presence in ","la presencia de "
"State feelings of great agitation","Expresar sentimientos de gran agitaci¢n"
"Minor River: ","Rio menor "
"that a criminal could not be properly punished","que un criminal no puede ser debidamente castigado"
"Harrowed","Angustiado"
"New parameter set","Nuevo conjunto de par†metros"
"When necessary","Cuando sea necesario"
"the Gamble","la Apuesta"
"not having any rooms","no tener ninguna habitaci¢n"
"Not appointed","no nombrado"
"Dangerous terrain","Terreno peligroso"
"mathematics:notation:early symbols for operations","matem†ticas:notaci¢n:primeros s°mbolos para operaciones"
"Sixth","Sexto"
"No food to cook or brew (are you in trouble?)","No hay comida para cocinar o preparar (®est†s en problemas?)"
" goes"," va"
" near burning trunk"," cerca del tronco en llamas"
"I conducted an official meeting in a bedroom.","RealicÇ una reuni¢n oficial en una habitaci¢n."
"thick","grueso"
"Say goodbye","Decir adi¢s"
"pasture","pasto"
"Early afternoon","Temprano por la tarde"
"closed","cerrado "
"Shield User","Usuario del Escudo"
