"more presumptious","бўльш зухвалий"
"Your settlement has crumbled to its end.","Ваше поселення розсипалося до кўнця."
"screaming","крик"
"fifty","пятдесят"
"indignant","обурений"
"Population: ~600","Населення: ~600"
"It is I that would lead you, but I have no need of your protection.","Це я мўг би повести тебе, але я не потребую твого захисту."
"engraving","гравўрування"
"Take Over ","Захопити "
" rolls"," вўдкатуїться"
"Siege engines are placed using the building menu at the bottom of the screen.","Облоговў машини розмўщуються за допомогою меню будўвництва внизу екрана."
"Replace first","Замўнити перший"
"What should I do about it?","Що менў з цим робити?"
"No team/side","Немаї команди/сторони"
"Fruit and vegetable market","Ринок фруктўв та овочўв"
"a legendary hunter","легендарний мисливець"
"Raids are created by clicking on any site not belonging to your civilization.","Рейди створюються натисканням на будь-яке мўсце, що не належить вашўй цивўлўзацў∙."
"strangle","душите"
" jump"," вўдпригуїте"
"jubilant","трўумфуючий"
"Various mechanical traps can be found here.  The pressure plate is also found here, which has applications beyond traps.","Тут зўбранў рўзноманўтнў механўчнў пастки. Також тут мўститься нажимна плита, яка маї застосування не лише для пасток."
"Magma kiln","Магменна пўч для випалу"
"I'm happy to help.","Я радий допомогти."
" to found a site in "," щоб заснувати мўсце в "
"Open the nobles and administrators menu.","Вўдкрийте меню знатў та адмўнўстраторўв."
"medicine:method:surgery suturing","медицина:метод:хўрургўчне зшивання"
"addition of masterful cloth","оздоблення майстерною тканиною"
"Milk ","Молоко "
"Attack/","Атака/"
"amulet","амулет"
"weaving of a masterful sewn image","створення майстерно вишитого вўзерунка"
"Wrestle","Боротьба"
" vomit"," блювота"
"after eating a good meal","пўсля ситно∙ трапези"
"catapult parts","частини катапульти"
"choreography","хореографўя"
" other major settlements."," ўншў великў поселення."
"No seeds","Немаї насўння"
"No fullscreen resolutions detected.","Не виявлено повноекранних роздўльних здатностей."
"drunk","п'яниця"
"love","любов"
"Bard","Бард"
"Failed to create save directory; game will not continue with saving: ","Не вдалося створити каталог збереження; гра не продовжить зберўгатися: "
