"more presumptious","mer‚szebb"
"Make sure your parameters and presets can support mid-elevation, low-to-mid rainfall, high drainage, non-freezing areas.  ","Gy‹z‹dj meg r¢la, hogy a param‚terek ‚s az alapbe ll¡t sok t mogatj k a k”zepes magass g£, alacsony ‚s k”zepes csapad‚kmennyis‚gû, nagy v¡zelvezet‚sû, nem fagyos terleteket. "
", where numbers indicate a refrain",", ahol a sz mok a refr‚nt jel”lik"
"Master","Mester"
"the distinction between motor and sensory nerves","a motoros ‚s az ‚rz‹idegek k”z”tti kl”nbs‚g"
" is surprised"," meglep‹dik"
"in a circle","k”rben"
"Closed cases","Lez rt gyek"
"air","leveg‹"
". This is usually cuased by descriptions contains the characters [,] or :, all of which are reserved by the raw parser. Mod authors: please fix before publishing.",". Ez  ltal ban abb¢l ad¢dik, hogy a le¡r sok tartalmaznak [,] vagy : karaktereket, amelyek mindegyike a nyers elemz‹  ltal fenntartott karakter. Mod-k‚sz¡t‹k: k‚rjk, jav¡ts tok ki a k”zz‚t‚tel el‹tt."
"It is now summer.","Most m r ny r van."
"Food can be obtained in towns, from the environment, or by butchering corpses with a sharp object.  ","lelmiszerhez a v rosokban, a k”rnyezetb‹l, illetve ‚les t rgyakkal holttestek felboncol s val lehet hozz jutni.  "
"not distracted","nem tereli el a figyelm‚t"
"judge","b¡r¢"
"parchment-producing ","pergamenk‚sz¡t‹ "
"be spirited","l‚gy lendletes"
"Failed to install mod:","A mod telep¡t‚se sikertelen volt:"
"to make a great discovery","hogy nagy felfedez‚st tegyen"
"Empty","šres"
"Battle","Csata"
"Nobles and administrators","Nemesek ‚s tisztvisel‹k"
"crystal glass paste","krist lyveg-paszta"
"This is your master.","Š a mestered."
" begins to stalk and brood..."," elkezdi k”vetni ‚s t”prengeni..."
"the belief of","a hit, hogy"
" first"," el‹sz”r is"
"These people carrying on about romance should be more practical.","Azoknak, akik  lland¢an a romantik r¢l besz‚lnek, kicsit gyakorlatiasabbnak kellene lennik."
"Gather fruit and vegetables from shrubs in this zone.","Ebben a z¢n ban szedj gym”lcs”t ‚s z”lds‚get a cserj‚kr‹l."
"Block ","Blokk "
"swamp","mocs r "
"This creature dwells underground.","Ez a l‚ny a f”ld alatt ‚l."
"the surgical method of scraping","a kapar s seb‚szeti m¢dszere"
"unfavorable ","kedvez‹tlen "
"Inveigh Against ","R galmaz s ellene: "
"the state of demands","a k”vetel‚sek  llapota"
"the Map","a t‚rk‚p"
"Move the camera","Mozgassa a kamer t"
"Pitches are densely packed in clusters as music moves from chord to chord.  ","A hangmagass gok sûrûn csoportosulnak, ahogy a zene akkordr¢l akkordra halad. "
"medicine:method:fracture immobilization","orvostudom ny:m¢dszer:t”r‚s r”gz¡t‚se"
"Visitor cap","L togat¢i l‚tsz mkorl t"
"Siege Engineer","Ostromm‚rn”k"
"straight scar.  ","egyenes heg.  "
"Mountain: ","Hegy: "
" was the "," az volt a "
"Randomize appearance","Megjelen‚s v‚letlenszerûs¡t‚se"
"the Lever","a kar"
"Place the well in an open space above water to provide a relatively safe area for your citizens to draw water.  Requires mechanisms, blocks, a chain or rope, and a bucket.","Helyezd a kutat egy v¡z feletti ny¡lt t‚rre, hogy viszonylag biztons gos terletet biztos¡ts a lakosok sz m ra a v¡zv‚telez‚shez. Szks‚g lesz mechanizmusokra, blokkokra, l ncra vagy k”t‚lre ‚s egy v”d”rre."
"Ninth","Kilencedik"
"DOOR TAKEN BY INVADERS","AZ AJTàT A BET™RŠK ELFOGTµK"
"Designating items for melting","T rgyak kijel”l‚se olvaszt sra"
"can assign and edit the routines your soldiers will follow. ","meghat rozhatod ‚s szerkesztheted azokat a feladatokat, amelyeket a katon idnak v‚gre kell hajtaniuk. "
"The thirst for knowledge some residents have can be satisfied at the [C:1:0:1]Library[C:7:0:0]. ","Egyes lakosok tud sszomj t a [C:1:0:1]K”nyvt r[C:7:0:0]-ban lehet csillap¡tani. "
"refugees calling themselves ","azok a menekltek, akik magukat "
"[C:6:0:0].Overlapping fracture (in traction)","[C:6:0:0].µtfed‹ t”r‚s (ny£jt sban)"
"soap maker","szappank‚sz¡t‹"
"Say something about your family","Mes‚lj egy kicsit a csal dodr¢l!"
"  A foolhardy soul might try to rescue the ","  Egy vakmer‹ l‚lek tal n megpr¢b ln  megmenteni a "
" was seen being stolen!"," l tt k, ahogy ellopj k!"
"beat somebody up","megverni valakit"
"Carpentry","µcsmesters‚g"
"Burial Chamber","Temetkez‚si kamra"
"Overall, ","™sszess‚g‚ben, "
"a armorsmith's shop","egy p nc‚lkov cs mûhelye"
"Armorsmithing Workshop","P nc‚lk‚sz¡t‹ mûhely"
"a large animal","egy nagy  llat"
"Already interviewed","M r interj£t k‚sz¡tettek vele"
"It has started raining.","Elkezdett esni."
"Will Tell","Majd elmondom"
"Set plant gathering orders.  Some plants require fruit or other growths to be present.","µll¡tsd be a n”v‚nygyûjt‚si felt‚teleket.  Egyes n”v‚nyek eset‚ben gym”lcsnek vagy m s n”v‚nyi r‚sznek kell jelen lennie."
"One must always carefully consider the correct course of action.","Mindig alaposan  t kell gondolni, mi a helyes cselekv‚s."
", but they had nothing left to give",", de m r nem volt mit adniuk"
"Perhaps they are all still here, unwilling to leave the magnificent fortress you prepared for them. ","Tal n m‚g mindig mind itt vannak, ‚s nem akarnak elhagyni azt a csod latos er‹d”t, amit nekik k‚sz¡tett‚l. "
"melted.","megolvadt."
"history:sourcing:role of state bias and propaganda","t”rt‚nelem:forr sok:az  llami elfogults g ‚s a propaganda szerepe"
" a mesmerizing tale!"," Egy mag val ragad¢ t”rt‚net!"
"stonecutter","k‹v g¢"
"A ballista's orientation cannot be changed","A ballista ir ny t nem lehet megv ltoztatni"
"Affects trap detection, ambusher detection, charge defense, and provides enemy attack information.","Befoly solja a csapd k ‚s a lesben  ll¢k ‚szlel‚s‚t, valamint a rohamok elleni v‚dekez‚st, tov bb  inform ci¢t ny£jt az ellens‚ges t mad sokr¢l."
" boxes"," dobozok"
"Unnamed tomb","N‚vtelen s¡r"
"This is the butchering and crafting menu.","Ez a hentes- ‚s k‚zmûves men."
"-line stanza","-soros versszak"
"death","hal l"
" spin"," p”rg‚s"
"an empty population","egy res n‚pess‚g"
"to smooth the operation of ","a mûk”d‚s z”kken‹mentess‚ t‚tele ‚rdek‚ben "
"Seek Dressing Cloth","Seek ”lt”zk”d‹ kend‹"
"It's very interesting.","Ez nagyon ‚rdekes."
"a poor","egy szeg‚ny"
" and it is controlled by "," ‚s ezt a k”vetkez‹ vez‚rli: "
"finds eloquence and artful speech off-putting","a sz¢noki tehets‚get ‚s a mûv‚szi besz‚det visszatasz¡t¢nak tartja"
"jutting-chin","ki ll¢  ll"
"Camera controls","A kamera vez‚rl‹i"
"paper-slurry ","pap¡rszuszpenzi¢ "
"urging love between ","a szeretet ”szt”nz‚se k”z”tt "
"be used for burial.","temet‚sre haszn lhat¢."
"screw ","csavar "
"The dead!","A halott!"
"boulder graphics","Boulder Graphics"
"the method of compiling several biographies to compare and contrast the subjects' character and to gain insight into history","az a m¢dszer, amelynek sor n t”bb ‚letrajzot  ll¡tanak ”ssze annak ‚rdek‚ben, hogy ”sszehasonl¡ts k ‚s szembe ll¡ts k a szerepl‹k jellem‚t, ‚s ¡gy betekint‚st nyerjenek a t”rt‚nelembe"
"sees working hard as a foolish waste of time","a kem‚ny munk t ostoba id‹pazarl snak tartja"
"Buried alive","lve eltemetve"
"Unmet need: ","Kiel‚g¡tetlen ig‚ny: "
"This nameless being","Ez a n‚vtelen l‚ny"
"Only farmers harvest","Csak a gazd k szretelnek"
"molten crystal glass","olvadt krist lyveg"
"speaks in a monotone when ","monoton hangon besz‚l, amikor "
"infiltrate society","be‚plni a t rsadalomba"
"Resets","Vissza ll¡t sok"
"the Mausoleum","a mauz¢leum"
"the classification of disease","a betegs‚gek oszt lyoz sa"
"High Precision","Nagy pontoss g"
"the reproductive behavior of creatures","az ‚l‹l‚nyek szaporod si viselked‚se"
"spear","l ndzsa"
"Loading image sets...","K‚pk‚szletek bet”lt‚se..."
"Value of temple complex","A templomkomplexum ‚rt‚ke"
"Workers save shells","A munk sok kagyl¢kat gyûjtenek"
"when full","amikor tele van"
"Site Map:  Extra Item Occupancy ","Oldalt‚rk‚p:  Tov bbi sz ll shelyek "
" was the place to perform research."," az volt a hely, ahol kutat st lehetett v‚gezni."
"yield","hozam"
"Take me away from here.","Vigy‚l el innen!"
"outside","kinn"
"kill ","meg”lni "
"legendary villain","legend s gonosztev‹"
"Tropical Shrubland","Tr¢pusi cserj‚s"
"You can prepare in advance with ","El‹re felk‚szlhetsz a k”vetkez‹vel: "
" (vial)"," (fiola)"
"the acceptance","az elfogad s"
"The story of ","A t”rt‚net "
"You feel uneasy.","K‚nyelmetlenl ‚rzed magad."
"the Assumption","Nagyboldogasszony"
" which was said to permeate "," amelyr‹l azt mondt k, hogy  thatja "
", Pressed",", Pr‚selt"
" with the presentation of "," a k”vetkez‹ bemutat s val: "
"State that you hate light poems","Mondd ki, hogy ut lod a k”nnyed verseket"
"Yes!  It'll be great to perform with you.","Igen!  Nagyszerû lesz veled fell‚pni."
"is very muscular and incredibly long","nagyon izmos ‚s hihetetlenl hossz£"
" a friend."," egy bar t."
"after communing with ","miut n besz‚lgettem "
"Acknowledge lack of grouchiness","Ismerd el, hogy nem vagy morcos"
"What stories you tell!  It's such an honor to have you here.","Micsoda t”rt‚neteket mes‚lsz!  Nagy megtiszteltet‚s, hogy itt vagy."
"modulates frequently","gyakran v ltozik"
" neck bowl"," nyak£ t l"
"investigate","kivizsg lni"
" available"," el‚rhet‹"
"Open","Megnyit s"
"gives a feeling of compassion here and there","itt-ott egyfajta egytt‚rz‚st kelt"
"Civilized World Population","A civiliz lt vil g n‚pess‚ge"
"Workers dump bones","A munk sok eldobj k a csontokat"
"yarn ","fonal "
"Analogy","Anal¢gia"
"A wrestling competition","Birk¢z¢verseny"
"The instrument has flue pipes and reed pipes.  ","A hangszernek hangcs”vek ‚s nyelvcs”vek vannak.  "
"sad","szomor£"
"tax","ad¢"
"Make sure your parameters and presets can support mid-elevation, very low rainfall, non-freezing areas.  ","Gy‹z‹dj meg r¢la, hogy a param‚terek ‚s az alapbe ll¡t sok t mogatj k a k”zepes magass g£, alacsony csapad‚kmennyis‚gû, nagy v¡zelvezet‚sû, nem fagyos terleteket. "
"Bad script! #2","Rossz forgat¢k”nyv! #2"
"I was in a snow storm.","H¢viharba keveredtem."
"State feelings, somewhat expectant","rzelmek kifejez‚se, kiss‚ v rakoz¢ hangulatban"
" property was confiscated"," a vagyont elkobozt k"
"Geld ","P‚nz "
"Somebody up to no good...","Valaki rosszban s ntik l..."
"You unyield","Te hajthatatlan vagy"
"medicine:method:surgery incision","orvostudom ny:m¢dszer:seb‚szeti bemetsz‚s"
"It is still shrouded in mystery.  ","M‚g mindig hom ly fedi. "
"worship","im dat"
"the Duel","A p rbaj"
"I brought up the lack of jobs in a meeting.","Egy megbesz‚l‚sen felvetettem a munkahelyhi ny k‚rd‚s‚t."
"Crossbowman","Ny¡lvet‹"
"prefers to present ","ink bb bemutatja "
" been stunned again!"," £jra elk bult!"
"Activity section change","A ,,Tev‚kenys‚gek"" szakasz m¢dos¡t sa"
"Cage Vermin","Ketrecben tartott k rtev‹k"
"I killed somebody in a sparring accident.","Egy edz‚s k”zbeni baleset sor n meg”ltem valakit."
"I have been so wronged!","Olyan nagy igazs gtalans g ‚rt!"
"has a long, thin body with very little fat","hossz£, karcs£ teste van, ‚s alig van rajta zs¡r"
" shot and killed "," lel‹tt‚k ‚s meg”lt‚k "
"Austere","Szigor£"
"and ","‚s "
" fighting with "," vereked‚s "
"It is a","Ez egy"
" (quantitative "," (mennyis‚gi "
"iguana","igu na"
"the area around ","a k”rny‚ke "
"Balancing","Egyens£lyoz s"
"has a short, broad body with very little fat","r”vid, sz‚les testû, ‚s alig van rajta zs¡r"
"mottled ","foltos "
"autobiography","”n‚letrajz"
"(Wrestling) Cannot break grip","(Birk¢z s) Nem lehet kiszabadulni a fog sb¢l"
"Choose Y: ","V lassza az Y-t: "
"Here you can interact with the objects you are carrying.  Items can be dropped, worn, eaten, thrown, named, etc.  The icon tooltips describe your options for each item.  ","Itt k”lcs”nhat sba l‚phetsz a n lad l‚v‹ t rgyakkal.  A t rgyakat eldobhatod, felveheted, megeheted, eldobhatod, nevet adhatsz nekik stb.  Az ikonokhoz tartoz¢ seg¡t‹ sz”vegek ismertetik az egyes t rgyakkal kapcsolatos lehet‹s‚geket.  "
"the use of a grid system in the creation of maps","a r csrendszer alkalmaz sa a t‚rk‚pek k‚sz¡t‚s‚ben"
"believes that those that take leisure time are evil and finds the whole idea disgusting","£gy v‚li, hogy azok, akik szabadid‹t sz nnak magukra, gonoszak, ‚s az eg‚sz gondolatot undor¡t¢nak tartja"
"2 lost after mutual wounds","2-en ‚letket vesztett‚k k”lcs”n”s s‚rl‚sek k”vetkezt‚ben"
"Outraged","Felh borodott"
"Perfectionist","Perfekcionista"
"use","haszn lat"
" was offered"," aj nlatot kapott"
"Acknowledge lack of amusement","Ismerd el, hogy nem sz¢rakoztat¢"
"Cannot generate random creatures -- missing body ","Nem lehet v‚letlenszerû l‚nyeket gener lni - hi nyzik a test "
" is written from the perspective of "," ... szemsz”g‚b‹l ¡r¢dott "
"Lever Operation","A kar mûk”dtet‚se"
"You must have at least as many of these highest volcanism points as you are requiring volcanos.  ","Legal bb annyi legmagasabb vulkanikus ponttal kell rendelkeznie, ah ny vulk nt megk”vetel. "
"Site Government","A webhely zemeltet‹je"
"a barrow","egy s¡rhalom"
"Skill 5","5. k‚szs‚g"
"distracted by unmet needs","a kiel‚g¡tetlen szks‚gletek miatt elterelt figyelem"
"Plant gatherers","N”v‚nygyûjt‹k"
"The selected workshop will give items to here.","A kiv lasztott mûhely az  rukat ide sz ll¡tja."
"less assertive","kev‚sb‚ hat rozott"
"It was great.","Nagyszerû volt."
" part of the problem."," a probl‚ma egyik r‚sze."
"The view is dark underground.  You can recenter on yourself with the ","A f”ld alatt s”t‚t van.  A k”vetkez‹vel £jra magadra koncentr lhatsz: "
"fragile","t”r‚keny"
"Ability to fight with objects not covered by other skills.","Olyan t rgyakkal val¢ harci k‚pess‚g, amelyekre m s k‚pess‚gek nem vonatkoznak."
"Assign uniform","Egyenruha kioszt sa"
"dining hall","‚tkez‹"
"No orders","Nincs megrendel‚s"
"the computation of the volume of different pyramids","kl”nb”z‹ piramisok t‚rfogat nak kisz m¡t sa"
"Absolute zero","Abszol£t nulla"
"right here","pont itt"
"Storage path decrease (barrel combine)","A t rol si £tvonal r”vidl‚se (hord¢s kombin l s)"
"a noted murderer","egy h¡rhedt gyilkos"
" Ice Floor"," J‚gpadl¢"
"Insanity","Šrlet"
"You set a fire.","Te gy£jtottad a tzet."
"Close friend","K”zeli bar t"
"Toggle whether the squad will sleep here.","Be ll¡thatod, hogy a csapat itt fog-e aludni."
"Just think about it.","Gondolj csak bele!"
" Upward Track (SEW)"," Felfel‚ vezet‹ p lya (SEW)"
"What will you say about the journey?","Mit fogsz mondani az utaz sr¢l?"
"Eager","Lelkes"
"losing ","veszt‚s "
"Amount of ","™sszeg: "
"short","r”vid"
"a pretty decent meal","egy eg‚sz j¢ ‚tkez‚s"
"be jumpy","ideges lenni"
"Slam into an obstacle (blow apart)","Nekicsap¢dj egy akad lynak (sz‚trobban s)"
"time","id‹"
"Each [C:6:0:0]Track Stop[C:7:0:0] must be linked to a [C:6:0:0]Stockpile[C:7:0:0] for [C:6:0:1]Items[C:7:0:0] to be put on or removed from the [C:6:0:1]Minecart[C:7:0:0].","Minden [C:6:0:0]p lya llom s[C:7:0:0]-t ”ssze kell kapcsolni egy [C:6:0:0]rakt rhalommal[C:7:0:0] a [C:6:0:1]t rgyak[C:7:0:0] felrak s hoz vagy leszed‚s‚hez a [C:6:0:1]b nyakocsib¢l[C:7:0:0]."
