"World","Mundo"
" trying to generate musical form without speech or instruments"," intentando generar música con la voz o instrumentos"
"Monster","Mounstruo"
"Mission Report: ","Reporte de Misión: "
" (Set out "," (Exponer "
"camp order missing parent -- army will camp forever","orden de acampada principal desaparecido -- el ejercito acampara por siempre"
"guard army unattached from parent army","ejercito de guarda separado del ejercito principal"
"Miner destination wiped","Destino de minero borrado"
"body","cuerpo"
"are now expert ","es ahora experto "
" trainers."," entrenadores"
"are now quite knowledgeable ","ahora están bastante bien informados "
"have attained a general familiarity with ","han logrado una familiaridad general con "
" training methods."," métodos de entrenamiento."
"now know a few facts about ","ahora sé algunos hechos sobre "
" training."," entrenando"
" used good tactics"," usé buenas tácticas"
"Tribute Report: ","Reporte de Tributos: "
"Tribute is being unloaded.  (A report is available.)","El tributo está siendo descargado. (Informe disponible)"
"Merchants have arrived and are unloading their goods.","Mercaderes han llegado y están descargando sus mercancías."
"A trade depot is requiered for the delivery of the tribute.","Se requiere un depósito comercial para la entrega del tributo."
"The merchants need a trade depot to unload their goods.","Los mercaderes necesitan un depósito comercial para descargar sus mercancías."
"An animal","Un animal"
" has become a "," se ha convertido en "
"Sleep","Dormir"
" has adopted "," ha adoptado "
"The image ","La imagen "
"elision","elisión"
"in order to make a living as a warrior","a fin de ganarse la vida como guerrero"
"prepared meal","comida preparada"
"Failed to find vanilla languages header.","No se pudo encontrar el encabezado de idiomas vainilla"
" any composition of"," una composición de"
"[B]The rhythm system is fundamentally polymetric.  There are always multiple rhythm lines, and the beats are always played together, even if one rhythm line completes (and then repeats) before the other is finished.  The rhythm lines are thought of as one, without a primary-subordinate relationship, though individual lines can be named.  ","[B]El sistema de ritmo es fundamentalmente polimétrico. Siempre hay una multitud de líneas de ritmo, y el compás siempre se toca junto, incluso si una línea de ritmo se completa (y luego se repite) antes de que la otra finalice. Se considera a las líneas de ritmo como una sola, sin relación primaria-subordinada, aunque se puede nombrar a las líneas individuales. "
"Something has pulled a lever!","¡Algo ha tirado de una palanca!"
"Something has triggered a pressure plate!","¡Algo a activado un placa de presión!"
"Something has emptied a cage!","¡Algo ha vaciado una jaula!"
"Something has unchained a creature!","Algo ha desencadenado una criatura!"
"unused ","sin uso "
"improvable ","improvable  "
"butcherable ","descuartizable "
"millable ","Mensurable "
"possibly buriable ","posiblemente enterrable "
"unrotten ","en buen estado "
"undisturbed ","despreocupado "
"collected ","recolectado "
"sharpenable ","Afilable "
"empty ","vacío "
"processable ","procesable "
"cookable ","cocinable "
"solid ","solido "
"extract-bearing plant ","planta con extracto "
"extract-bearing fish ","pez con extracto "
"extract-bearing small creature ","criaturilla con extracto "
"processable (to vial) ","procesable (a frasco) "
"tameable small creature ","criaturilla amaestrable "
"sand-bearing ","cojinete de arena "
"glass ","vidrio "
"lye-bearing ","cojinete de lejía "
"milk ","leche "
"milkable ","ordeñable "
"finished good ","mercancía terminada "
"ammo ","munición "
"furniture ","mueble "
"dye ","tinte "
"dyeable ","teñible "
"totemable ","se puede hacer totem "
"glass-making ","vidriero "
"dyed ","teñido "
"melt-designated ","designado para derretir "
"deep material ","material profundo "
"sewn-imageless ","cosido-sin patrón "
"screw ","cosido "
"fire-safe ","libre-fuego "
"magma-safe ","libre-magma "
"building material ","construir material "
"non-economic ","no-económico "
"plant ","planta "
"silk ","seda "
"yarn ","cordel "
"leather ","cuero "
"bone ","hueso "
"hair/wool ","pelo/lana "
"shell ","concha "
"horn ","cuerno "
"pearl ","perla "
"plaster-containing ","contenedor de yeso "
"soap ","jabon "
"ivory/tooth ","marfil/colmillo "
"lye/milk-free ","sin lejía/leche "
"blunt ","embotado "
"unengraved ","sin grabar "
"unimproved ","sin mejorar "
"written-on ","escrito-sobre "
"non-absorbent ","no-absorvente "
"food storage ","contenedor de comida "
"non-pressed ","no-prensado "
"woven ","tejido "
"hard ","difícil "
"sand ","arena "
"edged ","afilado "
"on-ground ","sobre-suelo "
"divine ","divino "
"artifact ","artefacto "
"non-artifact ","no artefacto "
"wooden ","de madera "
"stone ","piedra "
"gem ","gema "
"-bearing ","que produce "
"calcite/limestone/chalk/marble ","calcita/piedra caliza/tiza/mármol "
"glazable ","acristalable "
"fat ","gordo "
"flux ","flujo "
"gypsum ","yeso "
"paper-making ","fabricación de papel "
"paper-slurry ","pasta de papel "
"tallow ","sebo "
"wax ","cera "
"bag-processable ","bolsa procesable "
"fermentable ","fermentable "
"clay ","arcilla "
"glaze ","vidriar "
"honey-bearing ","melífero "
"parchment-producing ","productor de pergamino "
"oil-bearing ","petrolero "
"paper-slurryable ","papel-estercolable "
"renderable ","renderizable "
"fatty ","graso "
"tannable ","bronceable "
"-producing ","-produciendo "
"-containing ","-guardando "
"liquid cooking","cocinando líquido"
"liquid scoop","cucharada líquida"
"powder grinding receptacle","receptáculo de polvo molido"
"powder grinding","polvo molido"
"meat carving","carne trinchada"
"meat boning","carne deshuesada"
"meat slicing","filete de carne"
"meat cleaving","corte de carne"
"meat-carving holder","propietario de carne trinchada"
"meal container","contenedor de comida"
"liquid container","contenedor de liquidos"
"food storage","almacenamiento de comida"
"hive","colmena"
"nest box","caja nido"
"small object container","contenedor de objetos pequeños"
"track cart","via de carretilla"
"heavy object hauler","transportador de objetos pesados"
"stand-and-work","estar de pie y trabajar"
"sheet roller","hoja plegada"
"folded sheet protector","protector de hoja plegada"
"writing container","contenedor de tinta"
"bookcase","librero"
"display object","objeto de visualización"
"offering placement","colocación de ofertas"
"divination","adivinación"
"games of chance","juegos de azar"
" that isn't a bin"," eso no es un contenedor"
"finds the idea of laws abhorrent","encuentra la idea de leyes aborrecibles"
"[CDI:ADV_NAME:Animate corpse]","[CDI:ADV_NAME:Cadáver animado]"
"a musical form","una forma musical "
"by ","por "
"By ","Por "
"usable snatcher","ladrón utilizable"
"mathematics:numbers:division algorithm","matemáticas:números:algoritmo para dividir"
"ichor","icor"
"Command repeat prefix-key","Comando repetir la clave de prefijo"
" Upward Track (NSE)"," Vía de Ascenso (NSE)"
"parent and spouse","padre y esposo"
" by a "," por un "
"flown","volado"
"rough ","tosco "
" log"," tronco"
" block"," bloque"
"the river","el río"
"the cave","la cueva"
"the pit","la fosa"
"the magma pool","la piscina de magma"
"the volcano","el volcán"
"the underworld portal","el portal al inframundo"
"the subterranean water","el agua subterránea"
"the underworld","el inframundo"
" deposit"," deposito"
"The glowing barrier has disappeared, replaced by terrible shrieks from the underworld!","¡La barrera luminosa ha desaparecido, reemplazada por terribles chillidos del inframundo!"
"The glowing barrier has disappeared!","¡La barrera lumisosa ha desaparecido!"
"Deep within this strange place, we've uncovered what must be a treasure of the gods!","¡En lo profundo de este extraño lugar, hemos descubierto lo que debe ser un tesoro de los dioses!"
"We checked that stone for heat!  What devilry is this?!","¡Revisamos esa piedra en busca de calor! ¡¿Qué diablura es esta?!"
"the Bond","el Enlace"
"Some ancient horror was encased here, until now!","¡Algún horror antiguo estaba encerrado aquí, hasta ahora!"
"Apocalypse!  We are being judged by the gods!","¡Apocalipsis! ¡Estamos siendo juzgados por los dioses!"
"Something evil is emerging from this newly exposed pocket!","¡Algo malvado está emergiendo de este bolsillo recién expuesto!"
"We have unleashed the echo of a forgotten divine retribution!","¡Hemos desatado el eco de una retribución divina olvidada!"
"Horrifying screams come from the darkness below!","Gritos horribles vienen de la oscuridad de abajo!"
"Saving world","Guardando mundo"
"Offloading art images...","Descargando imágenes de arte...."
"Sorting world information...","Ordenando informacion del mundo..."
"Saving map data...","Guardando información del mapa..."
"Saving civilized populations...","Guardando poblaciones civilizadas..."
"Saving history...","Guardando historia..."
"Saving parameters...","Guardando parámetros..."
"Saving tracking info...","Guardando informacion de vía..."
"Saving agreements...","Guardando Acuerdos..."
"Synchronizing folders...","Sincronizando carpetas..."
"Passing a few weeks to get things ready...","Pasando unas semanas para preparar las cosas..."
"Cleaning play objects...","Limpiando objetos de juego..."
"Cleaning stranded objects...","Limpiando objetos varados..."
"Cleaning game objects...","Limpiando objetos del juego..."
"*** STARTING NEW GAME ***","*** COMENZANDO NUEVA PARTIDA ***"
"Steam API Init failed.","Inicio de Steam API fallido."
"[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]:  Farewell, [VAR:NATIVENAME:MEETING:NOBLE].  I look forward to our meeting next year.  Our fortunes rise and fall together.","[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]:  Adiós, [VAR:NATIVENAME:MEETING:NOBLE].  Espero con ansias nuestra reunión el próximo año. Nuestras fortunas suben y bajan juntas."
"[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]:  I am your liaison from the Mountainhomes.  Let's discuss your situation.","[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]: Soy su enlace de El Hogar de la Montaña. Hablemos de su situación."
"[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]:  You have disrespected the trees in this area, but this is what we have come to expect from your stunted kind.  Further abuse cannot be tolerated.  Let this be a warning to you.","[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]:  Le has faltado al respeto a los árboles de esta zona, pero esto es lo que esperamos de tu especie atrofiada. No se pueden tolerar más abusos. Que esto sea una advertencia para ti."
"[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]:  What a pleasant surprise!  Not a single tree here weeps from the abuses meted out with such ease by your people.  Joy!  The dwarves have turned a page, not that we would make paper.  A travesty!  Perhaps it is better said that the dwarves have turned over a new leaf, and the springtime for our two races has only just begun.","[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]:  ¡Qué agradable sorpresa! Ni un solo árbol llora aquí por los abusos cometidos con tanta facilidad por tu pueblo. ¡Alegría! Los enanos han pasado página, no es que nos gustaría hacer papel. ¡Una farsa! Quizá sea mejor decir que los enanos han pasado página y que la primavera para nuestras dos razas no ha hecho más que empezar."
