"more presumptious","domìçlivØjç¡"
"Pitches are densely packed in clusters as music moves from chord to chord.  ","T¢ny jsou hustØ seskupeny v clusterech, kdy§ se hudba pýesouv  z akordu do akordu. "
"medicine:method:fracture immobilization","medic¡na:metoda:imobilizace zlomenin"
"Visitor cap","Limit n vçtØvn¡k…"
"Siege Engineer","Obl‚hac¡ in§enìr"
"straight scar.  ","rovn  jizva.  "
"Mountain: ","Hora: "
" was the "," byl "
"Randomize appearance","N hodnì vzhled"
"the Lever","P ka"
"Place the well in an open space above water to provide a relatively safe area for your citizens to draw water.  Requires mechanisms, blocks, a chain or rope, and a bucket.","Um¡sti studnu do otevýen‚ho prostoru nad vodou, aby poskytovala relativnØ bezpeŸn‚ m¡sto pro Ÿerp n¡ vody obyvateli.  Vy§aduje mechanismy, bloky, ýetØz nebo lano a vØdro."
"Ninth","Dev t "
"DOOR TAKEN BY INVADERS","DVEüE OBSAZENY VETüELCI"
"Designating items for melting","OznaŸov n¡ pýedmØt… k roztaven¡"
"can assign and edit the routines your soldiers will follow. ","pýiýadit a upravovat rutiny, kter‚ budou vaçi voj ci n sledovat. "
"The thirst for knowledge some residents have can be satisfied at the [C:1:0:1]Library[C:7:0:0]. ","¦¡zeå po znalostech nØkterìch obyvatel m…§e bìt uspokojena v [C:1:0:1]Knihovna[C:7:0:0]. "
"refugees calling themselves ","uprchl¡ci nazìvaj¡c¡ se "
"[C:6:0:0].Overlapping fracture (in traction)","[C:6:0:0].Pýekrìvaj¡c¡ se zlomenina (v trakci)"
"soap maker","vìrobce mìdla"
"Say something about your family","ü¡ct nØco o sv‚ rodinØ"
"  A foolhardy soul might try to rescue the ","  Poçetil  duçe by se mohla pokusit zachr nit "
" was seen being stolen!"," byl vidØn, jak je kraden!"
"beat somebody up","zml til nØkoho"
"Carpentry","Tesaýstv¡"
"Burial Chamber","Pohýebn¡ komora"
"Overall, ","CelkovØ "
"a armorsmith's shop","kov rna brn¡ýe"
"Armorsmithing Workshop","Vìroba zbroj¡"
"a large animal","velkìm zv¡ýetem"
"Already interviewed","Ji§ vyslechnut"
"It has started raining.","ZaŸalo prçet."
"Will Tell","Pov¡"
"Set plant gathering orders.  Some plants require fruit or other growths to be present.","Nastav rozkazy ke sbØru rostlin.  NØkter‚ rostliny vy§aduj¡ pý¡tomnost plod… nebo jinìch vìr…stk…."
"One must always carefully consider the correct course of action.","¬lovØk mus¡ v§dy peŸlivØ zv §it spr vnì postup."
", but they had nothing left to give",", ale nemØli ji§ nic, co by dali"
"Perhaps they are all still here, unwilling to leave the magnificent fortress you prepared for them. ","Mo§n  jsou st le zde, neochotn¡ opustit n dhernou pevnost, kterou jsi pro nØ pýipravil. "
"melted.","rozt li."
"history:sourcing:role of state bias and propaganda","historie:zdroje:role st tn¡ zaujatosti a propagandy"
" a mesmerizing tale!"," fascinuj¡c¡ pý¡bØh!"
"stonecutter","kamenoýez"
"A ballista's orientation cannot be changed","Orientaci balisty nelze zmØnit"
"Affects trap detection, ambusher detection, charge defense, and provides enemy attack information.","Ovlivåuje odhalov n¡ past¡, odhalov n¡ pýepad…, obranu proti n poru a poskytuje informace o nepý telskìch £toc¡ch."
" boxes"," beden"
"Unnamed tomb","Bezejmenn  hrobka"
"This is the butchering and crafting menu.","Toto je menu por §en¡ a ýemesel."
"-line stanza","ý dkovou strofu"
"death","smrt"
" spin"," otoŸka"
"an empty population","pr zdn  populace"
"to smooth the operation of ","aby zlepçil fungov n¡ "
"Seek Dressing Cloth","Hledat obvaz"
"It's very interesting.","Je to velmi zaj¡mav‚."
"a poor","çpatn‚"
" and it is controlled by "," a je ovl d no "
"finds eloquence and artful speech off-putting","pova§uje vìmluvnost a vytý¡benì projev za odpuzuj¡c¡"
"jutting-chin","s vystouplou bradou"
"Camera controls","Ovl d n¡ kamery"
"paper-slurry ","pap¡rov  kaçe "
"urging love between ","nab daj¡c¡ k l sce mezi "
"be used for burial.","pou§ita k pohýben¡."
"screw ","çnek/çroub "
"The dead!","Mrtv¡!"
"boulder graphics","grafika balvanu"
"the method of compiling several biographies to compare and contrast the subjects' character and to gain insight into history","metoda sestavov n¡ nØkolika biografi¡ za £Ÿelem porovn n¡ a kontrastu charakter… a z¡sk n¡ historick‚ho n hledu"
"sees working hard as a foolish waste of time","pova§uje tvrdou pr ci za poçetilou ztr tu Ÿasu"
"Buried alive","Pohýben za§iva"
"Unmet need: ","Potýebuje: "
"This nameless being","Tato bezejmenn  bytost"
"Only farmers harvest","Skl¡zej¡ pouze farm ýi"
"molten crystal glass","roztaven‚ kýiçœ lov‚ sklo"
"speaks in a monotone when ","mluv¡ monot¢nnØ, kdy§ "
"infiltrate society","infiltrovat spoleŸnost"
"Resets","Resetuje se"
"the Mausoleum","Mauzoleum"
"the classification of disease","klasifikace nemoc¡"
"High Precision","Vysok  pýesnost"
"the reproductive behavior of creatures","reprodukŸn¡ chov n¡ tvor…"
"spear","kop¡"
"Loading image sets...","NaŸ¡t n¡ sad obr zk…..."
"Value of temple complex","Hodnota chr mov‚ho komplexu"
"Workers save shells","Pracovn¡ci uchov vaj¡ lastury"
"when full","kdy§ je pln‚"
"Site Map:  Extra Item Occupancy ","Mapa lokace:  DodateŸn‚ obsazen¡ pýedmØty "
" was the place to perform research."," bylo m¡stem pro vìzkum."
"yield","vzd t se"
"Bowyer","Kuç¡rova "
"Take me away from here.","OdveÔ mØ odsud."
"outside","venku"
"kill ","zab¡t "
"legendary villain","legend rn¡ zloŸinec"
"Tropical Shrubland","Tropick‚ kýoviny"
"You can prepare in advance with ","M…§eç se pýipravit pýedem pomoc¡ "
" (vial)"," (lahviŸka)"
"the acceptance","pýijet¡"
"The story of ","Pý¡bØh "
"You feel uneasy.","C¡t¡te se nesv¡."
"the Assumption","Pýedpoklad"
" which was said to permeate ",", o n¡§ se ý¡kalo, §e prostupuje "
", Pressed",", lisovan‚"
" with the presentation of "," pýed n¡m "
"State that you hate light poems","Uv‚st, §e nesn ç¡ç lehkou poezii"
"Yes!  It'll be great to perform with you.","Ano! Bude skvØl‚ s tebou vystupovat."
"is very muscular and incredibly long","je velmi svalnatì a neuvØýitelnØ dlouhì"
"Dungeon Commander","¦al ýn¡k"
" a friend."," je pý¡tel."
"after communing with ","po rozj¡m n¡ s "
"Acknowledge lack of grouchiness","Konstatovat nepý¡tomnost mrzutosti"
"What stories you tell!  It's such an honor to have you here.","Jak‚ pý¡bØhy vypr v¡ç! Je ct¡ tØ tu m¡t."
"modulates frequently","Ÿasto moduluje"
" neck bowl"," krŸn¡ rezon tor"
"investigate","vyçetýovat"
" available"," dostupn‚"
"Open","Otevý¡t"
"gives a feeling of compassion here and there","tu a tam vyvol v  pocit soucitu"
"Civilized World Population","Populace civilizovan‚ho svØta"
"Workers dump bones","Pracovn¡ci vyhazuj¡ kosti"
"yarn ","pý¡ze "
"Analogy","Analogie"
"A wrestling competition","Z pasnick  soutØ§"
"The instrument has flue pipes and reed pipes.  ","N stroj m  labialn¡ a jazìŸkov‚ p¡çœaly.  "
"sad","smutnì"
"tax","zdanit"
"Make sure your parameters and presets can support mid-elevation, very low rainfall, non-freezing areas.  ","Ujisti se, §e parametry a pýedvolby podporuj¡ stýedn¡ vìçku, velmi n¡zk‚ sr §ky a nezamrzaj¡c¡ oblasti. "
"Bad script! #2","æpatnì skript! #2"
"I was in a snow storm.","Byl jsem ve snØhov‚ bouýi."
"State feelings, somewhat expectant","Vyj dýit lehk‚ oŸek v n¡"
" property was confiscated"," majetek byl zabaven"
"Geld ","Kastrovat "
"Somebody up to no good...","NØkdo tu nØco kuje..."
"You unyield","Pýest v ç ustupovat"
"medicine:method:surgery incision","medic¡na:metoda:chirurgickì ýez"
"It is still shrouded in mystery.  ","St le je zahalen tajemstv¡m.  "
"worship","uct¡v n¡"
"the Duel","Souboj"
"I brought up the lack of jobs in a meeting.","Na sch…zi jsem zm¡nil nedostatek pr ce."
"Crossbowman","Kuçn¡k"
"prefers to present ","preferuje prezentovat "
" been stunned again!"," byl znovu omr Ÿen!"
"Activity section change","ZmØna Ÿ sti Ÿinnosti"
"Cage Vermin","Chytit çk…dce do klece"
"I killed somebody in a sparring accident.","Zabil jsem nØkoho pýi tr‚ninkov‚m souboji."
"I have been so wronged!","Bylo mi tak ubl¡§eno!"
"has a long, thin body with very little fat","m  dlouh‚, huben‚ tØlo s velmi m lo tukem"
" shot and killed "," zastýelil a zabil "
"Austere","Strohostn¡"
"and ","a "
" fighting with "," bojuje s "
"It is a","Je to"
" (quantitative "," (kvantitativn¡ "
"iguana","legu n"
"the area around ","oblast kolem "
"Balancing","Vyva§ov n¡"
"has a short, broad body with very little fat","m  kr tk‚, çirok‚ tØlo s velmi m lo tukem"
"mottled ","skvrnit‚ "
"autobiography","autobiografie"
"(Wrestling) Cannot break grip","(Z pas) Nelze pýeruçit £chop"
"Choose Y: ","Vyber Y: "
"Here you can interact with the objects you are carrying.  Items can be dropped, worn, eaten, thrown, named, etc.  The icon tooltips describe your options for each item.  ","Zde m…§eç pracovat s pýedmØty, kter‚ neseç.  PýedmØty lze odhodit, obl‚ct, sn¡st, hodit, pojmenovat atd.  Popisy ikon vysvØtluj¡ mo§nosti pro ka§dì pýedmØt.  "
"the use of a grid system in the creation of maps","pou§it¡ souýadnicov‚ s¡tØ pýi tvorbØ map"
"believes that those that take leisure time are evil and finds the whole idea disgusting","vØý¡, §e ti, kdo si dopý vaj¡ volnì Ÿas, jsou zl¡, a celou myçlenku pova§uje za odpornou"
"2 lost after mutual wounds","2 prohr li po vz jemn‚m zranØn¡"
"Outraged","Pobouýenì"
"Perfectionist","PuntiŸk ý"
"use","pou§¡t"
" was offered"," bylo nab¡dnuto"
"Acknowledge lack of amusement","Konstatovat nepý¡tomnost pobaven¡"
"Cannot generate random creatures -- missing body ","Nelze generovat n hodn‚ tvory - chyb¡ tØlo "
" is written from the perspective of "," je naps na z perspektivy "
"Lever Operation","Obsluha p k"
"You must have at least as many of these highest volcanism points as you are requiring volcanos.  ","Mus¡te m¡t alespoå tolik vulkanickìch bod…, kolik vy§adujete sopek. "
"Site Government","Vl dnouc¡ strana"
"a barrow","mohyln¡k"
"Skill 5","Dovednost 5"
"distracted by unmet needs","rozptìlenì kv…li neuspokojenìm potýeb m"
"Plant gatherers","SbØraŸi rostlin"
"The selected workshop will give items to here.","Vybran  d¡lna sem bude odkl dat polo§ky."
"less assertive","m‚nØ asertivn¡"
"It was great.","Bylo to skvØl‚."
" part of the problem."," souŸ st probl‚mu."
"The view is dark underground.  You can recenter on yourself with the ","Pod zem¡ je vìhled tmavì. M…§eç se znovu zamØýit na svou postavu pomoc¡ "
"fragile","kýehkì"
"Ability to fight with objects not covered by other skills.","Schopnost bojovat pýedmØty, kter‚ nespadaj¡ pod jin‚ dovednosti."
"Assign uniform","Pýiýadit uniformu"
"dining hall","j¡delna"
"No orders","¦ dn‚ pý¡kazy"
"the computation of the volume of different pyramids","vìpoŸet objemu r…znìch jehlan…"
"Absolute zero","Absolutn¡ nula"
"right here","pý¡mo zde"
"Storage path decrease (barrel combine)","Sn¡§en¡ cesty skladu (sluŸov n¡ sud…)"
"a noted murderer","zn mì vrah"
" Ice Floor"," Ledov  podlaha"
"Insanity","æ¡lenstv¡"
"You set a fire.","Zakl d ç oheå."
"Close friend","Bl¡zkì pý¡tel"
"Toggle whether the squad will sleep here.","Pýepnout, zda zde odd¡l bude sp t."
"Just think about it.","Jen se nad t¡m zamysli."
" Upward Track (SEW)"," Stoupaj¡c¡ cesta (J-V-Z)"
"What will you say about the journey?","Co ýekneç o cestØ?"
"Eager","Dychtivì"
"losing ","ztr cej¡c¡ "
"Amount of ","Mno§stv¡ "
"short","malì"
"a pretty decent meal","docela sluçn‚ho j¡dla"
"be jumpy","bìt trhav "
"Slam into an obstacle (blow apart)","N razu do pýek §ky (roztrh n)"
"time","Ÿas"
"Each [C:6:0:0]Track Stop[C:7:0:0] must be linked to a [C:6:0:0]Stockpile[C:7:0:0] for [C:6:0:1]Items[C:7:0:0] to be put on or removed from the [C:6:0:1]Minecart[C:7:0:0].","Ka§d  [C:6:0:0]Zast vka[C:7:0:0] mus¡ bìt propojena se [C:6:0:0]SkladiçtØm[C:7:0:0], aby bylo mo§n‚ [C:6:0:1]PýedmØty[C:7:0:0] do voz¡ku nakl dat nebo je z nØj odeb¡rat."
"Initiation","Iniciace"
"Glowing Floor","Z ý¡c¡ podlaha"
"being frozen solid","zcela zmrzlì"
"State minor feeling of acceptance","Vyj dýit m¡rn‚ pýijet¡"
"jewels","çperkaýi"
"Z Levels Above Ground","Z-£rovnØ nad povrchem"
"Sand Collection","SbØr p¡sku"
"fighting!","boj!"
"Loading flow guides...","NaŸ¡t n¡ tokovìch vod¡tek..."
"Burned up in magma","Sp len v magmatu"
"How fleeting life is...","Jak pom¡jivì je §ivot..."
"slayer in incident","zabij k v ud losti"
"There are not enough cages and chains.","Nen¡ dost klec¡ a ýetØz…."
"played","hr l"
"livestock ownership","vlastnictv¡ dobytka"
"Fell into a deep chasm","Spadl do hlubok‚ propasti"
"very large","velmi velkì"
"certain lines ","nØkter‚ verçe "
"A migrant has arrived, despite the danger.","Jeden migrant dorazil navzdory nebezpeŸ¡."
"blissful","bla§enì"
"feels helping others is an imposition on ","m  pocit, §e pomoc ostatn¡m je z sahem do "
"fortresses","pevnosti"
"Highest known in organization","Nejzn mØjç¡ v organizaci"
"become softer and softer","st le tiçç¡"
"Required to swim well without floundering.","Nutn‚ pro dobr‚ plav n¡ bez topen¡."
"'s presence in "," pý¡tomnosti v "
"State feelings of great agitation","Vyj dýit velk‚ rozruçen¡"
"Minor River: ","Menç¡ ýeka: "
"that a criminal could not be properly punished","§e zloŸinec nemohl bìt n le§itØ potrest n"
"Harrowed","Zdeptanì"
"New parameter set","Nov  sada parametr…"
"When necessary","Kdy§ je to nutn‚"
"the Gamble","Hazard"
"not having any rooms","nem¡t § dn‚ pokoje"
"nasal","nosovì"
"Not appointed","Nejmenov n"
"Dangerous terrain","NebezpeŸnì ter‚n"
"mathematics:notation:early symbols for operations","matematika:znaŸen¡:ran‚ symboly pro operace"
"Sixth","æest "
"No food to cook or brew (are you in trouble?)","¦ dn‚ j¡dlo k vaýen¡ nebo vaýen¡ alkoholu (m ç probl‚m?)"
" goes"," jde"
" near burning trunk"," u hoý¡c¡ho kmene"
"I conducted an official meeting in a bedroom.","Vedl jsem ofici ln¡ sch…zku v lo§nici."
"thick","siln‚"
"Say goodbye","RozlouŸit se"
"pasture","pastvina"
"Early afternoon","¬asn‚ odpoledne"
"closed","zavýeno"
"Shield User","U§ivatel çt¡tu"
"The musician blows across a hole in the side of each pipe","Hudebn¡k fouk  pýes otvor na boku ka§d‚ p¡çœaly"
"Winter has arrived on the calendar.","Pýiçla kalend ýn¡ zima"
"right kicks","kopy pravou"
" has given birth to "," porodila "
"the Ghost","Duch"
"That's wrong.","To je çpatnØ."
" couldn't be much worse."," u§ nem…§e bìt horç¡."
"Concealment","Utajen¡"
"Dead Grass Upward Slope","Vìstup s mrtvou tr vou"
"Deity","Bo§stvo"
" accepts our tribute"," pýij¡m  n ç tribut"
" by a dead sibling"," mrtvìm sourozencem"
"to request work","aby po§ dal o pr ci"
"the clash between ","stýet mezi "
"dreams of falling in love","sn¡t o zamilov n¡"
"State feelings of loneliness","Vyj dýit osamØlost"
"is has large muscles on a incredibly broad body","m  velk‚ svaly na neuvØýitelnØ çirok‚m tØle"
"(Combat) Gain/lose possession of item","(Boj) Z¡sk n¡/ztr ta pýedmØtu"
"You do not have a free grasp.","Nem ç volnou ruku."
"Workers ignore minerals"," Pracovn¡ci ignoruj¡ miner ly."
"Ice Upward Track (NE)","Ledov  stoupaj¡c¡ cesta (S-V)"
"Gear assembly","Soukol¡"
"I am very hopeful.","Jsem velmi plnì nadØje."
"Tropical Moist Broadleaf Forest","Vlhkì tropickì listnatì les"
"Wonder","é§as"
"northeastern","severovìchodn¡"
"Slate","Býidlice"
"Remove this work order.","Odstranit tento pracovn¡ pý¡kaz."
"blows ","vyfukuje "
"is quite polite","je docela zdvoýilì"
" merchant company from "," obchodn¡ spoleŸnost z "
" Swimming Preference"," Preferovan  plavba"
"No workers","¦ dn¡ pracovn¡ci"
"This is your deceased spouse.","Jedn  se o vaçeho zesnul‚ho man§ela."
"florid","ok zalì"
"Grab Ammunition for Building","Vz¡t munici pro budovu"
"Critical Thinker","Kritickì myslitel"
"philosophy:epistemology:justification","filozofie:epistemologie:ospravedlnØn¡"
"finds the acquisition and use of power abhorrent and would have all masters toppled","pova§uje z¡sk v n¡ a pou§¡v n¡ moci za odporn‚ a pý l by si svrhnout vçechny vl dce"
