"its","suo"
"Disdains tradition","Disdegna la tradizione"
"Disdains artwork","Disdegna le opere d'arte"
"Disdains cooperation","Disdegna la cooperazione"
"Disdains independence","Disdegna l'indipendenza"
"Disdains stoicism","Disdegna lo stoicismo"
"Disdains introspection","Disdegna l'introspezione"
"Disdains self-control","Disdegna l'autocontrollo"
"Disdains tranquility","Disdegna la tranquillitÖ"
"Disdains harmony","Disdegna l'armonia"
"Disdains merriment","Disdegna la baldoria"
"Disdains craftwork","Disdegna l'artigianato"
"Disdains martial prowess","Disdegna l'abilitÖ marziale"
"Disdains skill","Disdegna l'abilitÖ"
"Disdains hard work","Disdegna il duro lavoro"
"Disdains sacrifice","Disdegna il sacrificio"
"Disdains competition","Disdegna le gare"
"Disdains perseverance","Disdegna la perseveranza"
"Disdains leisure time","Disdegna il tempo libero"
"Disdains commerce","Disdegna il commercio"
"Disdains romance","Disdegna il romanticismo"
"Disdains nature","Disdegna la natura"
"Disdains peace","Disdegna la pace"
"Disdains knowledge","Disdegna la conoscenza"
"Harrowed","Straziato"
"Haggard","Smunto"
"Stressed","Stressato"
"Starving","Morendo di fame"
"Hungry","Affamato"
"Dehydrated","Disidratato"
"Thirsty","Assetato"
"Very drowsy","Molto sonnolento"
"Drowsy","Sonnolento"
"Unconscious","Inconscio"
"Paralyzed","Paralizzato"
"Partially paralyzed","Parzialmente paralizzato"
"Sluggish","Fiacco"
"Stunned","Stordito"
"Dizzy","Vertiginoso"
"Exhausted","Esausto"
"Over-exerted","Sovraffaticato"
"Tired","Stanco"
"Drowning","Affogando"
"Winded","Senza fiato"
"Nauseous","Nauseato"
"Extreme pain","Dolore estremo"
"Pain","Dolore"
"Numb","Intorpidito"
"Pale","Pallido"
"Faint","Privo di sensi"
"Fever","Febbre"
"Heavy bleeding","Sanguinamento alto"
"Bleeding","Sanguinante"
"Webbed","Intrappolato"
"Partially webbed","Parzialmente intrappola"
"Seriously injured","Seriamente ferito"
"Injured","Ferito"
"Healthy","Sano"
"Needs ","Necessita "
"No official position","Nessuna posizione ufficiale"
"Haul: ","Carico: "
"Squad: ","Squadra: "
"None","Nessuna"
" (V Rusty)"," (Molto arrugginito)"
" (Rusty)"," (Arrugginito)"
"Focused!","Concentrato!"
"Focused","Concentrato"
"Distracted!","Distratto!"
"Distracted","Distratto"
"No unmet needs","Nessun bisogno insoddisfatto"
"Unmet need: ","Insoddisfatto: "
"Drink alcohol","Bevi alcol"
"Pray ","Prega "
"Meditate","Medita"
"Stay occupied","Tenersi occupato"
"Be creative","Sii creativo"
"Admire art","Ammira arte"
"Excitement","Eccitazione"
"Learn something","Impara qualcosa"
"Be with family","Stare in famiglia"
"Be with friends","Stare con amici"
"Hear eloquence","Ascolta eloquenza"
"Uphold tradition","Mantieni tradizione"
"Self-examination","Esame di coscienza"
"Make merry","Fai baldoria"
"Craft object","Crea oggetto"
"Martial training","Addestramento marziale"
"Practice skill","Pratica abilitÖ"
"Take it easy","Prenditela comoda"
"Make romance","Crea romanticismo"
"See animal","Guarda animale"
"See great beast","Vedi grande bestia"
"Acquire object","Ottieni oggetto"
"Eat good meal","Mangia un buon pasto"
"Fight","Combatti"
"Cause trouble","Causa problemi"
"Argue","Discuti animatamente"
"Be extravagant","Stravaganza"
"Wander","Girovaga"
"Help somebody","Aiuta qualcuno"
"Think abstractly","Pensa astrattamente"
"Wounds","Ferite"
"Treatment","Cura"
"History","Storia"
"Description","Descrizione"
"Social","Sociale"
"Other skills","Altre abilitÖ"
"Philosophy","Filosofia"
"Mathematics","Matematica"
"Astronomy","Astronomia"
"Natural history","Storia naturale"
"Chemistry","Chimica"
"Geography","Geografia"
"Medicine","Medicina"
"Engineering","Ingegneria"
"Poetic form","Forma poetica"
"Musical form","Forma musicale"
"Dance form","Forma di danza"
"Manual","Manuale"
"Guide","Guida"
"Chronicle","Cronaca"
"Short story","Racconto breve"
"Novel","Romanzo"
"Biography","Biografia"
"Autobiography","Autobiografia"
"Poem","Poema"
"Letter","Lettera"
"Essay","Tema"
"Dialog","Dialogo"
"Musical composition","Composizione musicale"
"Choreography","Coreografia"
"Comparative biography","Biografia comparativa"
"Biographical dictionary","Dizionario biografico"
"Genealogy","Genealogia"
"Encyclopedia","Enciclopedia"
"Cultural history","Storia culturale"
"Cultural comparison","Confronto culturale"
"Alternate history","Storia alternativa"
"Treatise on technological evolution","Trattato sull'evoluzione tecnologica"
"Dictionary","Dizionario"
"Star chart","Mappa stellare"
"Star catalogue","Catalogo stellare"
"Atlas","Atlante"
"No assigned rooms","Nessuna stanza assegnata"
"hulk","gigante"
"men","uomini"
"Work details","Dett. lavoro"
"Workshops","Botteghe"
"Locations","Luoghi"
"Work animals","Animali da lavoro"
"Will only do assigned tasks","FarÖ solo compiti assegnati"
"Will do available tasks anywhere","FarÖ i compiti disponibili ovunque"
"Cannot assign work details","Impossibile assegnare dettagli lavoro"
"No work details","Nessun dettaglio di lavoro"
"No dedicated workshop assignments","Nessuna bottega dedicata assegnata."
"believes the truth is inviolable regardless of the cost","crede che la veritÖ sia inviolabile, a prescindere dal costo."
"Burned to death by a ","Bruciato a morte da un "
"No location assignments","Nessun'assegnazione di luogo"
"Tavern keeper","Locandiere"
"Performer","Artista"
"Scholar","Studioso"
"Scribe","Scriba"
"Mercenary","Mercenario"
"Monster slayer","Ammazzamostri"
"Doctor","Medico"
"Diagnostician","Diagnosta"
"Surgeon","Chirurgo"
"Bone doctor","Ortopedico"
"Cannot assign work animals","Impossibile assegnare animali da lavoro"
"No assigned or assignable work animals","Animale da lavoro non assegnato o assegnabile"
"No relationships","Nessuna relazione"
"Pet","Animale domestico"
"Pet owner","Proprietario"
"Spouse","Coniuge"
"Mother","Madre"
"Father","Padre"
"Lover","Amante"
"Child","Bambino"
"Bonded","Legato"
"Childhood friend","Amico d'infanzia"
"War buddy","Compagno d'armi"
"Obsession","Ossessione"
"Fellow scholar","Collega studioso"
"Fellow artist","Collega artista"
"Fellow athlete","Collega atleta"
"Kindred spirit","Spirito affine"
"Close friend","Caro amico"
"Friend","Amico"
"Athletic rival","Rivale atletico"
"Business rival","Rivale in affari"
"Persecutor","Persecutore"
"Religious persecutor","Persecutore religioso"
"Grudge","Rancore"
"Jealous grudge","Rancore di gelosia"
"Supernatural vengeance","Vendetta soprannaturale"
"Pure hate","Puro odio"
"Hated","Odiato"
"Disliked","Detestato"
"Deity","DivinitÖ"
"Force","Forza"
"Object of worship","Oggetto di culto"
"Long-term acquaintance","Conoscenza di lunga data"
"Passing acquaintance","Conoscenza effimera"
"Hero","Eroe"
"Intruder","Intruso"
"Considers monster","Considera mostro"
"Considers brigand","Considera brigante"
"Considers bully","Considera bullo"
"Considers preacher","Considera predicatore"
"Considers storyteller","Considera narratore"
"Considers poet","Considera poeta"
"Considers bard","Considera bardo"
"Considers dancer","Considera danzatore"
"Considers violent","Considera violento"
"Considers psychotic","Considera psicotico"
"Good for business","Buono per gli affari"
"Friendly terms","Rapporti amichevoli"
"Considers killer","Considera assassino"
"Considers murderer","Considera omicida"
"Comrade","Compagno"
"Member of respected group","Membro di gruppo rispettato"
"Member of hated group","Membro di un gruppo odiato"
"Enemy fighter","Combattente nemico"
"Friendly fighter","Combattente amico"
"Loyal soldier","Soldato leale"
"Master","Maestro"
"Apprentice","Apprendista"
"Companion","Compagno"
"Former master","Ex maestro"
"Former apprentice","Ex apprendista"
"Considers quarreler","Considera altercatore"
"Considers flatterer","Considera adulatore"
"Hunter","Cacciatore"
"Protector of the weak","Protettore dei deboli"
"Preserver of knowledge","Custode della conoscenza"
"Treasure hunter","Cacciatore di tesori"
"Thief","Ladro"
"No groups","Nessun gruppo"
"Civilization","CiviltÖ"
"Site government","Sito di governo"
"Vessel crew","Equipaggio di vascello"
"Migrating group","Gruppo migratorio"
"Nomadic group","Gruppo nomadico"
"Religion","Religione"
"Military organization","Organizzazione militare"
"Outcast","Emarginato"
"Performance troupe","Troupe artistica"
"Merchant company","SocietÖ mercantile"
"craft","mestiere"
" guild"," gilda"
"Legendary hero","Eroe leggendario"
"Famous her","Famoso eroe"
"Greatly respected for heroic acts","Molto rispettato per atti eroici"
"Respected for heroic acts","Rispettato per atti eroici"
"Legendary intruder","Intruso leggendario"
"Infamous intruder","Famigerato intruso"
"Noted intruder according","Noto intruso secondo"
"Certainly considered an intruder","Sicuramente si tratta di un intruso"
"Considered an intruder","Si tratta di un intruso"
"Legendary monster","Mostro leggendario"
"Infamous monster","Famigerato mostro"
"Noted monster","Noto mostro"
"Certainly feared as a monster","Certamente temuto come mostro"
"Feared as a monster","Temuto come mostro"
"Legendary brigand","Leggendario brigante"
"Infamous brigand","Famigerato brigante"
"Noted brigand","Noto brigante"
"Certainly feared as a brigand","Certamente temuto come brigante"
"Feared as a brigand","Temuto come brigante"
"Legendary bully","Prepotente leggendario"
"Infamous bully","Famigerato prepotente"
"Noted bully","Noto prepotente"
"Certainly considered a bully","Sicuramente di tratta di un prepotente"
"Considered a bully","Si tratta di un attaccabrighe"
"Legendary brawler","Attaccabrighe leggendario"
"Famous brawler","Famoso attaccabrighe"
"Moted brawler","Agitato attaccabrighe"
"Certainly considered a brawler","Sicuramente si tratta di un attaccabrighe"
"Considered a brawler","Si tratta di un attaccabrighe"
"Legendary villain","Cattivo leggendario"
"Infamous villain","Famigerato cattivo"
"Noted villain","Noto cattivo"
"Greatly feared as a villain","Molto temuto come cattivo"
"Feared as a villain","Temuto come cattivo"
"Legendary hunter","Cacciatore leggendario"
"Great hunter","Grande cacciatore"
"Talented hunter","Cacciatore talentuoso"
"Skilled hunter","Abile cacciatore"
"Respected as a hunter","Rispettato come cacciatore"
"Legendary killer","Assassino leggendario"
"Infamous killer","Famigerato assassino"
"Noted killer","Noto assassino"
"Greatly feared as a killer","Molto temuto come assassino"
"Feared as a killer","Temuto come assassino"
"Legendary murderer","Leggendario omicida"
"Infamous murderer","Famigerato omicida"
"Noted murderer","Noto omicida"
"Greatly feared as a murderer","Molto temuto come omicida"
"Feared as a murderer","Temuto come omicida"
"Legendary enemy fighter","Leggendario combattente nemico"
"Infamous enemy fighter","Famigerato combattente nemico"
"Noted enemy fighter","Noto combattente nemico"
"Greatly feared for violent oppositoin","Molto temuto per la violenta resistenza"
"Feared for violent opposition","Temuto per la violenta resistenza"
"Legendary fighter","Combattente leggendario"
"Famous fighter","Famoso combattente"
"Noted fighter","Noto combattente"
"Greatly respected for fighter","Molto rispettato per la sua abilitÖ nel combattere"
"Respected for fighter","Rispettato per la sua abilitÖ nel combattere"
"Legendary loyal soldier","Leggendario soldato leale"
"Famous loyal soldier","Famoso soldato leale"
"Noted loyal soldier","Noto soldato leale"
"Greatly respected for loyalty","Molto rispettato per la sua lealtÖ"
"Respected for loyalty","Rispettato per la lealtÖ"
"Legendary protector of the weak","Leggendario protettore dei deboli"
"Famous protector of the weak","Famoso protettore dei deboli"
"Noted protector of the weak","Noto protettore dei deboli"
"Greatly respected for protecting the weak","Grande rispetto per la protezione dei deboli"
"Respected for protecting the weak","Rispettato come protettore dei deboli"
"Legendary preserver of the knowledge","Leggendario custode della conoscenza"
"Famous preserver of the knowledge","Famoso custode della conoscenza"
"Noted preserver of the knowledge","Noto custode della conoscenza"
"Greatly respected for preserving the knowledge","Molto rispettato per la conservazione della conoscenza"
"Respected for preserving the knowledge","Rispettato per la conservazione della conoscenza"
"Legendary treasure hunter","Leggendario cacciatore di tesori"
"Famous treasure hunter","Famoso cacciatore di tesori"
"Noted treasure hunter","Noto cacciatore di tesori"
"Greatly respected for hunting treasure","Molto rispettato per la sua capacitÖ di scovare tesori"
"Respected for hunting treasure","Rispettato per la sua capacitÖ di scovare tesori"
"Legendary thief","Ladro leggendario"
"Infamous thief","Famigerato ladro"
"Noted thief","Noto ladro"
"Certainly considered a thief","Sicuramente di tratta di un ladro"
"Considered a thief","Considerato un ladro"
"Former ","Ex "
"Former mercenary","Ex mercenario"
"Enemy","Nemico"
"Criminal","Criminale"
"Citizen","Cittadino"
"Member","Membro"
"Former member","Ex membro"
"Slave","Schiavo"
"Former slave","Ex schiavo"
"Prisoner","Prigioniero"
"Former prisoner","Ex prigioniero"
"Worker","Lavoratore"
"Former worker","Ex Lavoratore"
"Squad","Squad."
"Uniform","Unif."
"Kills","Uccis."
"No squad assigned","Nessuna squadra assegnata"
"No orders","Nessun ordine"
"Recent thoughts","Pensieri recenti"
"Memories","Ricordi"
"Values","Valori"
"Preferences","Preferenze"
"Needs","Bisogni"
