"more presumptious","aanmatigender"
" boxes"," kisten"
"Unnamed tomb","Naamloos graf"
"This is the butchering and crafting menu.","Dit is het slacht- en knutselmenu."
"-line stanza","-regelige strofe"
"death","dood"
" spin"," draaiing"
"an empty population","een lege bevolking"
"to smooth the operation of ","om de werking te versoepelen van "
"Seek Dressing Cloth","Verbanddoek zoeken"
"It's very interesting.","Het is erg interessant."
"a poor","een arm"
" and it is controlled by "," en wordt beheerst door "
"finds eloquence and artful speech off-putting","vindt welsprekendheid en kunstige spraak onaangenaam"
"jutting-chin","vooruitstekende kin"
"Camera controls","Camerabesturing"
"paper-slurry ","papierpulp "
"urging love between ","liefde aansporen tussen "
"be used for burial.","voor begrafenis gebruikt worden."
"screw ","schroef "
"The dead!","De doden!"
"boulder graphics","rotsblokgraphics"
"the method of compiling several biographies to compare and contrast the subjects' character and to gain insight into history","de methode om meerdere biografie‰n samen te stellen, de karakters van de beschreven personen te vergelijken en zo inzicht in de geschiedenis te krijgen"
"sees working hard as a foolish waste of time","ziet hard werken als een dwaze verspilling van tijd"
"Buried alive","Levend begraven"
"Unmet need: ","Onvervulde behoefte: "
"This nameless being","Dit naamloze wezen"
"Only farmers harvest","Alleen boeren oogsten"
"molten crystal glass","gesmolten kristalglas"
"speaks in a monotone when ","spreekt monotoon wanneer "
"infiltrate society","samenleving infiltreren"
"Resets","Reset"
"the Mausoleum","het mausoleum"
"the classification of disease","de classificatie van ziekten"
"High Precision","Hoge precisie"
"the reproductive behavior of creatures","het voortplantingsgedrag van wezens"
"spear","speer"
"Loading image sets...","Afbeeldingssets laden..."
"Value of temple complex","Waarde van tempelcomplex"
"Workers save shells","Werkers bewaren schelpen"
"when full","wanneer vol"
"Site Map:  Extra Item Occupancy ","Locatiekaart: extra voorwerpbezetting "
" was the place to perform research."," was de plaats om onderzoek te doen."
"yield","overgeven"
"Bowyer","Bogenmaker"
"Take me away from here.","Haal me hier weg."
"outside","buiten"
"kill ","doden "
"legendary villain","legendarische schurk"
"Tropical Shrubland","Tropisch struikland"
"You can prepare in advance with ","Je kunt je voorbereiden met "
" (vial)"," (flesje)"
"the acceptance","de acceptatie"
"The story of ","Het verhaal van "
"You feel uneasy.","Je voelt je ongemakkelijk."
"the Assumption","de Aanname"
" which was said to permeate "," waarvan werd gezegd dat het doordrong in "
", Pressed",", Ingedrukt"
" with the presentation of "," met de presentatie van "
"State that you hate light poems","Zeggen dat je luchtige gedichten haat"
"Yes!  It'll be great to perform with you.","Ja! Het wordt geweldig om met je op te treden."
"is very muscular and incredibly long","is zeer gespierd en ongelooflijk lang"
"Dungeon Commander","Kerkercommandant"
" a friend."," een vriend."
"after communing with ","na communiceren met "
"Acknowledge lack of grouchiness","Gebrek aan chagrijnigheid erkennen"
"What stories you tell!  It's such an honor to have you here.","Wat voor verhalen vertel je toch! Het is een grote eer om je hier te hebben."
"modulates frequently","moduleert vaak"
" neck bowl"," halskom"
"investigate","onderzoeken"
" available"," beschikbaar"
"Open","Openen"
"gives a feeling of compassion here and there","geeft hier en daar een gevoel van medeleven"
"Civilized World Population","Bevolking van de beschaafde wereld"
"Workers dump bones","Werkers dumpen botten"
"yarn ","garen "
"Analogy","Analogie"
"A wrestling competition","Een worstelwedstrijd"
"The instrument has flue pipes and reed pipes.  ","Het instrument heeft labiaalpijpen en tongpijpen.  "
"sad","verdrietig"
"tax","belasting"
"Make sure your parameters and presets can support mid-elevation, very low rainfall, non-freezing areas.  ","Zorg dat je parameters en presets gebieden met middelhoge hoogte, zeer lage regenval en zonder vorst kunnen ondersteunen.  "
"Bad script! #2","Slecht script! #2"
"I was in a snow storm.","Ik was in een sneeuwstorm."
"State feelings, somewhat expectant","Gevoelens uiten, enigszins verwachtingsvol"
" property was confiscated"," eigendom werd in beslag genomen"
"Geld ","Castreren "
"Somebody up to no good...","Iemand voert iets kwaads in de zin..."
"You unyield","Je geeft niet toe"
"medicine:method:surgery incision","geneeskunde:methode:chirurgische incisie"
"It is still shrouded in mystery.  ","Het is nog steeds in mysterie gehuld.  "
"worship","vereren"
"the Duel","het Duel"
"I brought up the lack of jobs in a meeting.","Ik heb het gebrek aan banen tijdens een vergadering aangekaart."
"Crossbowman","Kruisboogschutter"
"prefers to present ","geeft er de voorkeur aan om te tonen "
" been stunned again!"," opnieuw verdoofd!"
"Activity section change","Activiteitssectie wijzigen"
"Cage Vermin","Ongedierte in kooi"
"I killed somebody in a sparring accident.","Ik heb iemand gedood bij een sparongeval."
"I have been so wronged!","Mij is zo veel onrecht aangedaan!"
"has a long, thin body with very little fat","heeft een lang, smal lichaam met heel weinig vet"
" shot and killed "," schoot en doodde "
"Austere","Sober"
"and ","en "
" fighting with "," vechtend met "
"It is a","Het is een"
" (quantitative "," (kwantitatieve "
"iguana","leguaan"
"the area around ","het gebied rond "
"Balancing","Balanceren"
"has a short, broad body with very little fat","heeft een kort, breed lichaam met heel weinig vet"
"mottled ","gevlekt "
"autobiography","autobiografie"
"(Wrestling) Cannot break grip","(Worstelen) Kan greep niet verbreken"
"Choose Y: ","Kies Y: "
"Here you can interact with the objects you are carrying.  Items can be dropped, worn, eaten, thrown, named, etc.  The icon tooltips describe your options for each item.  ","Hier kun je omgaan met de objecten die je bij je draagt. Voorwerpen kunnen worden neergelegd, gedragen, gegeten, gegooid, benoemd, enzovoort. De pictogramtips beschrijven je opties voor elk voorwerp.  "
"the use of a grid system in the creation of maps","het gebruik van een rastersysteem bij het maken van kaarten"
"believes that those that take leisure time are evil and finds the whole idea disgusting","gelooft dat mensen die vrije tijd nemen slecht zijn en vindt het hele idee weerzinwekkend"
"2 lost after mutual wounds","2 verloren na wederzijdse verwondingen"
"Outraged","Verontwaardigd"
"use","gebruiken"
" was offered"," werd aangeboden"
"Acknowledge lack of amusement","Gebrek aan amusement erkennen"
"Cannot generate random creatures -- missing body ","Kan geen willekeurige wezens genereren -- lichaam ontbreekt "
" is written from the perspective of "," is geschreven vanuit het perspectief van "
"Lever Operation","Hendelbediening"
"You must have at least as many of these highest volcanism points as you are requiring volcanos.  ","Je moet minstens zoveel punten met de hoogste vulkanische activiteit hebben als het aantal vulkanen dat je vereist.  "
"Site Government","Sitebestuur"
"a barrow","een grafheuvel"
"Skill 5","Vaardigheid 5"
"distracted by unmet needs","afgeleid door onvervulde behoeften"
"Plant gatherers","Plantenverzamelaars"
"The selected workshop will give items to here.","De geselecteerde werkplaats geeft voorwerpen hierheen."
"less assertive","minder assertief"
"It was great.","Het was geweldig."
" part of the problem."," deel van het probleem."
"The view is dark underground.  You can recenter on yourself with the ","Het zicht is ondergronds donker. Je kunt het beeld weer op jezelf centreren met de "
"fragile","kwetsbaar"
"Ability to fight with objects not covered by other skills.","Vaardigheid om te vechten met voorwerpen die niet door andere vaardigheden worden gedekt."
"Assign uniform","Uniform toewijzen"
"dining hall","eetzaal"
"No orders","Geen opdrachten"
"the computation of the volume of different pyramids","de berekening van het volume van verschillende piramides"
"Absolute zero","Absoluut nulpunt"
"right here","hier"
"Storage path decrease (barrel combine)","Opslagpad verlagen (vaten combineren)"
"a noted murderer","een beruchte moordenaar"
" Ice Floor"," IJsvloer"
"Insanity","Waanzin"
"You set a fire.","Je hebt brand gesticht."
"Close friend","Goede vriend"
"Toggle whether the squad will sleep here.","Schakelen of het eskadron hier zal slapen."
"Just think about it.","Denk er gewoon over na."
" Upward Track (SEW)"," Spoor omhoog (ZOW)"
"What will you say about the journey?","Wat wil je over de reis zeggen?"
"Eager","Gretig"
"losing ","het verliezen van "
"Amount of ","Hoeveelheid "
"short","kort"
"a pretty decent meal","een best behoorlijke maaltijd"
"be jumpy","schrikachtig zijn"
"Slam into an obstacle (blow apart)","Tegen een obstakel knallen (uiteenspatten)"
"time","tijd"
"Each [C:6:0:0]Track Stop[C:7:0:0] must be linked to a [C:6:0:0]Stockpile[C:7:0:0] for [C:6:0:1]Items[C:7:0:0] to be put on or removed from the [C:6:0:1]Minecart[C:7:0:0].","Elke [C:6:0:0]spoorhalte[C:7:0:0] moet aan een [C:6:0:0]voorraad[C:7:0:0] worden gekoppeld zodat [C:6:0:1]voorwerpen[C:7:0:0] op de [C:6:0:1]mijnkar[C:7:0:0] kunnen worden gelegd of ervan kunnen worden gehaald."
"Initiation","Inwijding"
"Glowing Floor","Gloeiende vloer"
"being frozen solid","bevroren tot een blok ijs"
"State minor feeling of acceptance","Lichte acceptatie uiten"
"jewels","edelstenen"
"Z Levels Above Ground","Z-niveaus boven de grond"
"Sand Collection","Zand verzamelen"
"fighting!","vechten!"
"Loading flow guides...","Stroomhulpen laden..."
"Burned up in magma","Verbrand in magma"
"How fleeting life is...","Hoe vergankelijk het leven is..."
"slayer in incident","doder in incident"
"There are not enough cages and chains.","Er zijn niet genoeg kooien en kettingen."
"played","gespeeld"
"livestock ownership","eigendom van vee"
"Fell into a deep chasm","In een diepe kloof gevallen"
"very large","zeer groot"
"certain lines ","bepaalde regels "
"A migrant has arrived, despite the danger.","Er is een migrant aangekomen, ondanks het gevaar."
"blissful","zalig"
"feels helping others is an imposition on ","vindt anderen helpen een belasting voor "
"fortresses","forten"
"Highest known in organization","Hoogst bekende in organisatie"
"become softer and softer","steeds zachter worden"
"Required to swim well without floundering.","Vereist om goed te zwemmen zonder te spartelen."
"'s presence in ","s aanwezigheid in "
"State feelings of great agitation","Sterke agitatie uiten"
"Minor River: ","Kleine rivier: "
"that a criminal could not be properly punished","dat een misdadiger niet behoorlijk kon worden gestraft"
"Harrowed","Gekweld"
"New parameter set","Nieuwe parameterset"
"When necessary","Wanneer nodig"
"the Gamble","de Weddenschap"
"not having any rooms","geen kamers hebben"
"nasal","nasaal"
"Not appointed","Niet aangesteld"
"Dangerous terrain","Gevaarlijk terrein"
"mathematics:notation:early symbols for operations","wiskunde:notatie:vroege symbolen voor bewerkingen"
"Sixth","Zesde"
"No food to cook or brew (are you in trouble?)","Geen voedsel om te koken of te brouwen (zit je in de problemen?)"
" goes"," gaat"
" near burning trunk"," bij brandende stam"
"I conducted an official meeting in a bedroom.","Ik hield een offici‰le vergadering in een slaapkamer."
"thick","dik"
"Say goodbye","Afscheid nemen"
"pasture","weide"
"Early afternoon","Vroege middag"
"closed","gesloten"
"Shield User","Schildgebruiker"
"The musician blows across a hole in the side of each pipe","De muzikant blaast over een gat in de zijkant van elke pijp"
"Winter has arrived on the calendar.","Volgens de kalender is de winter begonnen."
"right kicks","rechter trappen"
" has given birth to "," heeft het leven geschonken aan "
"the Ghost","de Geest"
"That's wrong.","Dat is verkeerd."
" couldn't be much worse."," kon nauwelijks erger zijn."
"Concealment","Verhulling"
"Dead Grass Upward Slope","Dood gras, helling omhoog"
"Deity","Godheid"
" accepts our tribute"," aanvaardt onze schatting"
" by a dead sibling"," door een overleden broer of zus"
"to request work","om werk te vragen"
