"more presumptious","anmaáender"
"Acknowledge lack of amusement","Fehlen von Belustigung anerkennen"
" is written from the perspective of "," ist aus der Perspektive geschrieben, von "
"Lever Operation","Bedienung des Hebels"
"You must have at least as many of these highest volcanism points as you are requiring volcanos.  ","Sie mssen mindestens so viele dieser h”chsten Vulkanismuspunkte haben, wie Sie Vulkane ben”tigen. "
"Site Government","St„tten-Regierung"
"a barrow","eine Schubkarre"
"Skill 5","F„higkeit 5"
"distracted by unmet needs","abgelenkt durch unerfllte Bedrfnisse"
"Plant gatherers","Pflanzensammler"
"The selected workshop will give items to here.","Die ausgew„hlte Werkstatt wird hier Items zur Verfgung stellen."
"less assertive","weniger durchsetzungsf„hig"
"It was great.","Das war toll."
" part of the problem."," ein Teil des Problems."
"The view is dark underground.  You can recenter on yourself with the ","Der Blick ist dunkel unter der Erde. Sie k”nnen sich wieder auf sich selbst konzentrieren mit dem "
"fragile","zerbrechlich"
"Ability to fight with objects not covered by other skills.","Die F„higkeit mit Objekten zu k„mpfen welche keiner anderen F„higkeit zugeordnet werden k”nnen."
"Assign uniform","Uniform zuweisen"
"No orders","Keine Auftr„ge"
"Absolute zero","Absuluter Nullpunkt"
"right here","genau hier"
"a noted murderer","ein gesuchter M”rder"
" Ice Floor"," Eisboden"
"You set a fire.","Du machst ein Feuer."
"Close friend","Enger Freund"
"Toggle whether the squad will sleep here.","Umschalten, ob die Truppe hier schlafen wird."
"Just think about it.","Denken Sie einfach darber nach."
"What will you say about the journey?","Was werden Sie ber die Reise erz„hlen?"
"Eager","Eifrig"
"losing ","verlieren "
"Amount of ","Anzahl der "
"short","kurz"
"a pretty decent meal","ein recht anst„ndiges Essen"
"be jumpy","nerv”s sein"
"Slam into an obstacle (blow apart)","Gegen ein Hindernis prallen (auseinanderfliegen)"
"Glowing Floor","Glhender Boden"
"being frozen solid","fest gefroren sein"
"State minor feeling of acceptance","Geringes Gefhl der Akzeptanz angeben"
"jewels","Juwelen"
"Z Levels Above Ground","Z Ebenen ber dem Boden"
"Sand Collection","Sand Sammlung"
"fighting!","am K„mpfen!"
"Loading flow guides...","Lade Str”mungsfhrungen..."
"How fleeting life is...","Wie verg„nglich das Leben ist..."
"slayer in incident","J„gerin im Einsatz"
"There are not enough cages and chains.","Es gibt nicht gengend K„fige und Ketten."
"played","gespielt"
"livestock ownership","Viehbesitz"
"Fell into a deep chasm","Strzte in einen tiefen Abgrund"
"very large","sehr groá"
"certain lines ","bestimmte Zeilen "
"A migrant has arrived, despite the danger.","Ein Migrant ist angekommen, trotz der Gefahr."
"blissful","glckselig"
"feels helping others is an imposition on ","empfindet es als eine Zumutung, anderen zu helfen "
"fortresses","Festungen"
"Highest known in organization","am bekanntesten in der Organisation"
"become softer and softer","weicher und weicher werden"
"Required to swim well without floundering.","Ben”tigt um gut Schwimmen zu k”nnen ohne sich zu qu„len."
"'s presence in ","'s Pr„senz in "
"State feelings of great agitation","Zustand der groáen Erregung"
"that a criminal could not be properly punished","dass ein Verbrecher nicht angemessen bestraft werden konnte"
"Harrowed","Geeggt"
"New parameter set","Neuer Parametersatz"
"not having any rooms","keine Zimmer zu haben"
"Not appointed","Nicht ernannt"
"Dangerous terrain","Gef„hrliches Gel„nde"
"Sixth","Sechste"
"No food to cook or brew (are you in trouble?)","Kein Essen zu kochen oder zu brauen (sind Sie in Schwierigkeiten?)"
" near burning trunk"," nahe brennendem Stamm"
"I conducted an official meeting in a bedroom.","Ich habe eine offizielle Sitzung in einem Schlafzimmer abgehalten."
"thick","dick"
"Say goodbye","Auf Wiedersehen sagen"
"pasture","Weide"
"Early afternoon","Frueher Nachmittag"
"closed","geschlossen"
"Shield User","Schildtr„ger"
"The musician blows across a hole in the side of each pipe","Der Musiker bl„st durch ein Loch in der Seite jedes Rohrs"
"Winter has arrived on the calendar.","Der Winter hat Einzug gehalten."
"right kicks","Rechtstritte"
" has given birth to "," hat folgende Kinder geboren "
"That's wrong.","Das ist falsch."
" couldn't be much worse."," k”nnte nicht viel schlimmer sein."
"Concealment","Verschleierung"
"Dead Grass Upward Slope","Abgestorbenes Grass Hang Aufw„rtsneigung"
"Deity","Gottheit"
" accepts our tribute"," akzeptiert unseren Tribut"
" by a dead sibling"," durch ein totes Geschwisterkind"
"to request work","Arbeit zu beantragen"
"prefix","Pr„fix"
"the clash between ","der Konflikt zwischen "
"dreams of falling in love","tr„umt davon, sich zu verlieben"
"State feelings of loneliness","Gefhle der Einsamkeit angeben"
"is has large muscles on a incredibly broad body","er hat groáe Muskeln an einem unglaublich breiten K”rper"
"(Combat) Gain/lose possession of item","(Kampf) Besitz eines Gegenstands erlangen/verlieren"
"Workers ignore minerals","Arbeiter ignorieren Mineralien"
"I am very hopeful.","Ich bin sehr zuversichtlich.."
"Tropical Moist Broadleaf Forest","tropischer feuchter Blattwald"
"Wonder","Wunder"
"northeastern","nord”stlich"
"Slate","Schiefer"
"Remove this work order.","Entfernen Sie diesen Arbeitsauftrag."
"blows ","bl„st "
"is quite polite","ist sehr h”flich"
" merchant company from "," Handelsgesellschaft aus "
" Swimming Preference"," Schwimmpr„ferenz"
"No workers","Keine Arbeiter"
"This is your deceased spouse.","Das ist dein/e verstorbene/r Gatte/Gattin"
"florid","blumig"
"Grab Ammunition for Building","Holen Sie sich Munition fr den Bau"
"Critical Thinker","Skeptiker"
"finds the acquisition and use of power abhorrent and would have all masters toppled","findet den Erwerb und die Ausbung von Macht abscheulich und wrde alle Herrscher strzen wollen"
"is long and thin with strong muscles","ist lang und dnn mit starken Muskeln"
"-Trained-","-geschult-"
"Persecution of ","Verfolgung von "
"the sound of ","das Ger„usch der "
"feeling alienated","sich entfremdet fhlend"
"west","Westen"
"items","Gegenst„nde"
"feeling servile","sich unterwrfig fhlend"
"This creature can be found in ","Diese Kreatur kann gefunden in "
"don't always receive a reply immediately.  The words of people that are talking to you will be highlighted.  ","nicht immer sofort eine Antwort erh„ltst. Die Worte von Personen, die mit dir sprechen, werden hervorgehoben. "
"caught in freakish weather","vom schlechten Wetter berrascht"
" justly slew "," einfach erschlagen "
"You failed to compose anything.","Du hast nicht alles zusammengestellt."
"I don't have enough armor stands.","Ich habe nicht gengend Rstungsst„nder."
"a very good","eine sehr gute"
"the fighting","die K„mpfenden"
"a sum of patience","eine Menge Geduld"
"Method","Methode"
"Ice Track (S)","Eisweg (S)"
"claimed artifact given away","beanspruchtes Artefakt verschenkt"
" was confiscated"," wurde beschlagnahmt"
"Select this option and any unassigned deceased pets will be buried here automatically.","Wenn Sie diese Option w„hlen, werden alle nicht zugewiesenen verstorbenen Haustiere automatisch hier begraben."
"No charge attack: target is mounted","Kein Ansturm m”glich: Dein Ziel reitet"
"metalcrafter","Metallberarbeiter"
"infamous flatterer","berchtigter Schmeichler"
"No longer overwhelmed","Nicht mehr berw„ltigt"
"no","Nein"
"Attempted to set world gen presets prior to dimensions","Versucht, die Voreinstellungen fr die Welt vor den Abmessungen zu setzen"
" on a "," in einem "
"Pressure Plate","Druckplatte"
"Melt a metal object","Ein Metallobjekt schmelzen"
"For lyrics, the composer has selected ","Fr den Liedtext hat der Komponist ausgew„hlt "
"State that listener had a good hunt","Angabe, dass der Zuh”rer eine gute Jagd hatte"
"heavy object hauler","Schwertransporter"
"the purchase of ","den Kauf von "
"Armor User","Rstungstr„ger"
"somewhere","irgendwo"
"Good with language","sprachbegabt "
"to provide opportunities for courage to rise","M”glichkeiten zu schaffen, um Mut zu entwickeln"
"Stockpiles can be placed using the stockpile menu at the bottom of the screen.","Vorratslager k”nnen ber das Vorratslager-Men am unteren Rand des Bildschirms platziert werden."
" currency of "," W„hrung des "
"State feelings of remorse","Gefhle der Reue angeben"
" in war if the latter did likewise."," im Krieg, wenn diese das Gleiche tun."
"disease resistance","Krankheitsresistenz"
"has a thin body with almost no fat on it","hat einen schlanken K”rper, der fast kein Fett aufweist"
"Refuse to yield","Sich weigern, nachzugeben"
"deal","Abmachung"
"a skilled bard","ein Qualifizierter Barde"
"passing through a hole in the ","geht durch ein Loch in der/dem/den "
"Train (to make a pet) or slaughter","Ausbilden (zum Haustier machen) oder Schlachten"
"the sword","das Schwert"
"The battle rages...","Der Kampf tobt..."
"Research","Forschung"
"you","du"
"position","Standort"
"Noted villain","Berhmter Schurke"
"would be very thin but has opted for some muscle and fat","w„re sehr dnn, hat sich aber fr etwas Muskeln und Fett entschieden"
"Humiliated","Gedemtigt"
"a piece","ein Stck"
" doesn't really care about anything anymore.  "," sorgt sich nicht mehr wirklich um irgendetwas. "
"Lava Mist","Lavanebel"
"Temperate","Gem„áigt"
"No commanders","Keine Kommandanten"
"Attack caught","Angriff abgefangen"
"infamous bully","berchtigter Tyrann"
"by pressing valves to route air through different tube","durch Drcken von Ventilen, um Luft durch verschiedene Rohre zu leiten"
"Ahhhhhhh!  No!","Ahhhhhhh!  Nein!"
" received"," erhalten"
"contemplating ","betrachten "
" ended the days of "," endeten die Tage von "
" own mortality and sought to extend "," eigene Sterblichkeit und versuchte, den "
"It really is a pleasure to speak with you again.","Es ist wirklich eine Freude, wieder mit Ihnen zu sprechen."
"State feelings of great relief","Gefhle der groáen Erleichterung angeben"
"Making Maps","Karten erstellen"
"Furnace","Schmelze"
"Smelt ","Schmelzen "
"the Mystery","das Mysterium"
"Place stockpiles for item storage.","Platziere Vorratslager zur Objekt Lagerung. "
"laughing","lachen"
"reunion","wiedervereinigung"
"dislikes abstract discussions and would much rather focus on practical examples","mag keine abstrakten Diskussionen und wrde sich lieber auf praktische Beispiele konzentrieren"
"Animal traps can be placed in the wild and baited with meat, plants, or gems, in order to catch small creatures.","Tierfallen k”nnen in der Wildnis aufgestellt und mit Fleisch, Pflanzen oder Edelsteinen bek”dert werden, um kleine Kreaturen zu fangen."
"object","Gegenstand"
"blocks... bricks...","Quader... Ziegelsteine..."
"Rebuilding more temporary information...","Wiederaufbau mehrerer tempor„rer Informationen..."
" chops"," H„ckseln"
"Dismiss minor feeling of misery","Geringfgiges Gefhl des Elends verwerfen"
"Dismiss minor feeling of being shaken","Geringes Gefhl der Erschtterung vernachl„ssigen"
"many nerves","viele Nerven"
"Acknowledge lack of euphoria","Fehlen von Euphorie anerkennen"
"State feelings of aggravation","Gefhle der Verschlimmerung angeben"
"Adventuring Agreement","Abenteuervereinbarung"
"Former slave","Ehemaliger Sklave"
" push"," drcken"
" laughs loudly when "," laut lacht, wenn "
"hunting animal","Jagdtier"
"chefs","Chefs"
"This creature is assigned to a specific workshop.","Diese Kreatur ist einer bestimmten Werkstatt zugeordnet."
"engineering:horology:conical water clock","technik:uhrmacherei:kegelf”rmige wasseruhr"
"specific shield","Spezifischer Schild"
"Is that a weapon?","Ist das eine Waffe?"
"I cannot find hope.","Ich finde keine Hoffnung."
"desert","Wste"
"Audio has been manually disabled.","Audio wurde manuell deaktiviert."
"You can be powerful or powerless.  The choice is yours, until somebody makes it for you.","Du kannst m„chtig oder machtlos sein.  Die Wahl liegt bei dir, bis jemand es fr dich macht."
"Inquire about listener's profession","Erkundigen Sie sich nach dem Beruf des Zuh”rers"
"I am not feeling sad right now.","Ich bin im Moment nicht traurig."
"has a broad body bearing impressive muscles and a great load of fat","hat einen breiten K”rper mit beeindruckenden Muskeln und einer groáen Ladung Fett"
"the Depths","die Tiefen"
"Grieving","Trauernd"
"discourse on the nature of beauty","Diskurs ueber die Natur der Sch”nheit"
"State minor feeling of passion","Zustand geringes Gefhl der Leidenschaft"
"Blacksmithing","Schmiedekunst"
"The whole idea of loyalty is pointless.  Acting purely out of loyalty implies acting against one's own best interest.","Die ganze Idee der Treue ist sinnlos.  Rein aus Loyalit„t zu handeln impliziert gegen die eigenen Interessen zu handeln."
"were","war"
"North and/or South","Norden und/oder Sden"
"The group","Die Gruppe"
"Contemptuous","Geringsch„tzig"
"Assign a patrol order.  The soldiers will walk a specified route repeatedly.","Weisen Sie einen Patrouillenauftrag zu. Die Soldaten werden eine bestimmte Route wiederholt ablaufen."
"an iffy memory","eine zweifelhafte Erinnerung"
