"more presumptious","ngÕo mÕn h½n"
" own wellbeing, having no interest in material goods"," phúc lşi cüa bän thân, không quan tâm ğªn cüa cäi v§t ch¤t"
"[C:2:0:1]Spring","[C:2:0:1]Mùa xuân"
"State feelings of great dislike","Cäm th¤y ghét bö mãnh li®t."
"I must let grief pass me by.","Ta phäi ğ¬ n²i ğau thß½ng qua ği."
"An important decision awaits your careful deliberation.","Mµt quyªt ğ¸nh quan tr÷ng ğang ch¶ ğşi sñ cân nh¡c kÛ lßŞng cüa ngß½i."
"subdued","b¸ khu¤t phøc"
"regretful","H¯i tiªc"
"vengefulness","lòng báo thù"
"tetrachord","tÑ hşp âm"
"the color ","màu s¡c "
"  Effective pressure to comply came from co-conspirators surrounding "," Áp lñc buµc tuân thü hi®u quä ğªn t× nhæng kë ğ°ng mßu vây quanh "
"A great beast threatens to bring ruin upon our people.","Mµt quái v§t vî ğÕi ğe d÷a mang lÕi sñ tàn phá cho dân tµc chúng ta."
"State minor feeling of worry","Bµc lµ thoáng chút lo l¡ng"
"A snow storm has come.","Mµt tr§n bão tuyªt ğã ğªn."
"<invalid start> ","<ği¬m b¡t ğ¥u không hşp l®> "
"Classic varied ground tiles","GÕch n«n ğa dÕng c± ği¬n"
"striking a triumphant pose","tÕo dáng chiªn th¡ng"
"Grab Weapon","L¤y Vû Khí"
"feel agitated","cäm th¤y b°n ch°n"
"Throwing tantrum","N±i c½n th¸nh nµ."
"gelder","Ngß¶i thiªn gia súc"
"would be lanky were it not for the massive muscles and slabs of lard","s¨ dong döng nªu không có c½ b¡p ğ° sµ và nhæng täng mŞ"
" refused an offer of peace from "," ğã t× ch¯i ğ« ngh¸ hòa bình t× "
"Site","Ğ¸a ği¬m"
" natural aversion to the adversary's inherent association with "," ác cäm tñ nhiên ğ¯i v¾i sñ liên kªt c¯ hæu cüa kë thù v¾i "
"finds those that engage in trade and commerce to be fairly disgusting","th¤y nhæng ngß¶i tham gia buôn bán và thß½ng mÕi là khá ghê t·m"
"the departure of","sñ r¶i ği cüa"
"Seriously injured","B¸ thß½ng n£ng"
"a shockingly profound feel for social relationships","mµt cäm nh§n sâu s¡c ğáng kinh ngÕc v« các m¯i quan h® xã hµi"
"Temperate Brackish Pool","Vûng nß¾c lş ôn ğ¾i"
"Make sure your parameters and presets can support mid-elevation, low-to-mid rainfall, high drainage, non-freezing areas.  ","Hãy ğäm bäo các tham s¯ và thiªt l§p sÇn cüa bÕn có th¬ h² trş các khu vñc có ğµ cao trung bình, lßşng mßa t× th¤p ğªn trung bình, ğµ thoát nß¾c cao và không ğóng bång. "
", where numbers indicate a refrain",", trong ğó các s¯ bi¬u th¸ ği®p khúc"
"Master","Sß phø"
"the distinction between motor and sensory nerves","Sñ phân bi®t giæa dây th¥n kinh v§n ğµng và cäm giác."
" is surprised"," ngÕc nhiên"
"in a circle","theo vòng tròn"
"Closed cases","Các vø án ğã khép lÕi."
"It is now summer.","Bây gi¶ là mùa hè."
"Food can be obtained in towns, from the environment, or by butchering corpses with a sharp object.  ","ThÑc ån có th¬ kiªm ğßşc · các th¸ tr¤n, t× môi trß¶ng, ho£c b¢ng cách m± xë xác chªt b¢ng mµt v§t s¡c nh÷n. "
"not distracted","Không xao nhãng"
"judge","Th¦m phán"
"parchment-producing ","tÕo ra gi¤y da "
"be spirited","hào hÑng"
"Failed to install mod:","Không cài ğ£t ğßşc mod:"
"to make a great discovery","thñc hi®n mµt khám phá vî ğÕi"
"Empty","Tr¯ng r²ng"
"Battle","Tr§n chiªn"
"Nobles and administrators","Quı tµc và quän tr¸ viên"
"crystal glass paste","Bµt nhão thüy tinh pha lê"
"This is your master.","Ğây là chü nhân cüa bÕn."
" begins to stalk and brood..."," b¡t ğ¥u theo dõi và ü rû..."
"the belief of","ni«m tin cüa"
" first"," thÑ nh¤t"
"These people carrying on about romance should be more practical.","Nhæng kë cÑ mãi ca tøng tình yêu lãng mÕn thì nên thñc tª h½n."
"Gather fruit and vegetables from shrubs in this zone.","Thu hoÕch trái cây và rau cü t× bøi cây trong khu vñc này."
"Block ","Ch£n "
"swamp","Vùng l¥y"
"This creature dwells underground.","Sinh v§t này trú ngø dß¾i lòng ğ¤t."
"the surgical method of scraping","Phß½ng pháp phçu thu§t nÕo."
"unfavorable ","b¤t lşi "
"Inveigh Against ","Chï trích gay g¡t "
"the state of demands","Tình trÕng các yêu c¥u"
"the Map","Bän Ğ°"
"Move the camera","Di chuy¬n camera"
"Dodge","Né tránh"
"Pitches are densely packed in clusters as music moves from chord to chord.  ","Các cao ğµ ğßşc ğóng gói dày ğ£c thành cøm khi âm nhÕc chuy¬n t× hşp âm này sang hşp âm khác. "
"medicine:method:fracture immobilization","Y h÷c: Phß½ng pháp: C¯ ğ¸nh gãy xß½ng"
"Visitor cap","Gi¾i hÕn khách tham quan"
"Siege Engineer","KÛ sß công thành"
"straight scar.  ","vªt s©o thÆng. "
"Mountain: ","Núi: "
" was the "," là "
"Randomize appearance","Ngçu nhiên hóa ngoÕi hình"
"the Lever","Chiªc ğòn b¦y"
"Place the well in an open space above water to provide a relatively safe area for your citizens to draw water.  Requires mechanisms, blocks, a chain or rope, and a bucket.","Ğ£t giªng trong mµt không gian tr¯ng phía trên m£t nß¾c ğ¬ cung c¤p mµt khu vñc tß½ng ğ¯i an toàn cho công dân cüa bÕn l¤y nß¾c. Yêu c¥u c½ c¤u, kh¯i, mµt sşi xích ho£c dây th×ng, và mµt cái xô."
"Ninth","ThÑ chín"
"DOOR TAKEN BY INVADERS","C¼A B˜ KË XÂM L¿”C CHIŠM GIÿ"
"Designating items for melting","Chï ğ¸nh v§t ph¦m ğ¬ n¤u chäy"
"can assign and edit the routines your soldiers will follow. ","có th¬ chï ğ¸nh và chïnh sØa các thói quen mà binh lính cüa bÕn s¨ tuân theo. "
"The thirst for knowledge some residents have can be satisfied at the [C:1:0:1]Library[C:7:0:0]. ","C½n khát tri thÑc cüa mµt s¯ cß dân có th¬ ğßşc thöa mãn tÕi [C:1:0:1]Thß Vi®n[C:7:0:0]. "
"refugees calling themselves ","nhæng ngß¶i t¸ nÕn tñ xßng là "
"[C:6:0:0].Overlapping fracture (in traction)","[C:6:0:0].Gãy ch°ng xß½ng (ğang n©p kéo giãn)"
"soap maker","Ngß¶i làm xà phòng"
"Say something about your family","Nói ği«u gì ğó v« gia ğình cüa bÕn"
"  A foolhardy soul might try to rescue the "," Mµt linh h°n dÕi dµt có th¬ thØ giäi cÑu "
" was seen being stolen!"," ğã b¸ nhìn th¤y b¸ ğánh c¡p!"
"beat somebody up","Ğã ğánh ğ§p ai ğó"
"Carpentry","Ngh« mµc"
"Burial Chamber","H¥m Mµ"
"Overall, ","Nhìn chung, "
"a armorsmith's shop","Mµt cØa hàng rèn giáp"
"Armorsmithing Workshop","Xß·ng Rèn Giáp"
"a large animal","mµt ğµng v§t l¾n"
"Already interviewed","Ğã phöng v¤n xong"
"It has started raining.","Tr¶i ğã b¡t ğ¥u mßa."
"Will Tell","S¨ k¬"
"Set plant gathering orders.  Some plants require fruit or other growths to be present.","Thiªt l§p l®nh thu th§p thñc v§t. Mµt s¯ loài cây yêu c¥u phäi có quä ho£c các ph¥n tång trß·ng khác."
"One must always carefully consider the correct course of action.","Phäi luôn cân nh¡c kÛ lßŞng con ğß¶ng hành ğµng ğúng ğ¡n."
", but they had nothing left to give",", nhßng h÷ không còn gì ğ¬ c¯ng nÕp"
"Perhaps they are all still here, unwilling to leave the magnificent fortress you prepared for them. ","Có l¨ t¤t cä h÷ vçn còn · ğây, không mu¯n r¶i bö pháo ğài tráng l® mà bÕn ğã chu¦n b¸ cho h÷. "
"melted.","b¸ tan chäy."
"history:sourcing:role of state bias and propaganda","L¸ch sØ:Thu th§p ngu°n:Vai trò cüa thiên v¸ nhà nß¾c và tuyên truy«n"
" a mesmerizing tale!"," mµt câu chuy®n mê ho£c!"
"stonecutter","thş c¡t ğá"
"A ballista's orientation cannot be changed","Hß¾ng cüa máy b¡n cung l¾n không th¬ thay ğ±i"
"Affects trap detection, ambusher detection, charge defense, and provides enemy attack information.","Änh hß·ng ğªn khä nång phát hi®n bçy, phát hi®n kë phøc kích, phòng thü trß¾c xung phong và cung c¤p thông tin t¤n công cüa kë ğ¸ch."
" boxes"," hµp"
"Unnamed tomb","H¥m mµ không tên"
"This is the butchering and crafting menu.","Ğây là menu m± xë và chª tÕo."
"-line stanza","#NAME?"
"death","cái chªt"
" spin"," xoay tròn"
"an empty population","Mµt qu¥n th¬ không ngß¶i"
"to smooth the operation of ","ğ¬ làm cho hoÕt ğµng cüa... trôi chäy "
"Seek Dressing Cloth","Tìm Väi Bång Bó"
"It's very interesting.","Th§t r¤t thú v¸."
"a poor","mµt [ch¤t lßşng] t®"
" and it is controlled by "," và nó ğßşc ki¬m soát b·i "
"finds eloquence and artful speech off-putting","Th¤y sñ hùng bi®n và l¶i l¨ trau chu¯t th§t khó ch¸u."
"jutting-chin","c¢m nhô ra"
"Camera controls","Ği«u khi¬n camera"
"paper-slurry ","bµt gi¤y "
"urging love between ","thúc giøc tình yêu thß½ng giæa "
"be used for burial.","ğßşc dùng ğ¬ chôn c¤t."
"screw ","¯c vít "
"The dead!","Kë ğã chªt!"
"boulder graphics","ğ° h÷a ğá täng"
"the method of compiling several biographies to compare and contrast the subjects' character and to gain insight into history","phß½ng pháp biên soÕn nhi«u ti¬u sØ ğ¬ so sánh và ğ¯i chiªu tính cách cüa các nhân v§t và ğ¬ hi¬u sâu h½n v« l¸ch sØ"
"sees working hard as a foolish waste of time","coi vi®c làm vi®c chåm chï là mµt sñ phí phÕm th¶i gian ngu xu¦n"
"Buried alive","B¸ chôn s¯ng"
"Unmet need: ","Nhu c¥u chßa ğßşc ğáp Ñng: "
"This nameless being","thñc th¬ vô danh này"
"Only farmers harvest","Chï nông dân thu hoÕch"
"molten crystal glass","Thüy tinh pha lê nóng chäy"
"speaks in a monotone when ","nói ğ«u ğ«u khi "
"infiltrate society","thâm nh§p xã hµi"
"Resets","Ğ£t lÕi"
"the Mausoleum","Lång mµ"
"the classification of disease","Vi®c phân loÕi b®nh t§t."
"High Precision","Ğµ chính xác cao"
"the reproductive behavior of creatures","hành vi sinh sän cüa sinh v§t"
"spear","giáo"
"Loading image sets...","Ğang täi bµ hình änh..."
"Value of temple complex","Giá tr¸ khu phÑc hşp ğ«n th¶"
"Workers save shells","Công nhân thu h°i vö"
"when full","khi ğ¥y"
"Site Map:  Extra Item Occupancy ","Bän ğ° ğ¸a ği¬m: Chiªm døng v§t ph¦m b± sung "
" was the place to perform research."," là n½i ğ¬ thñc hi®n nghiên cÑu."
"yield","Nhßşng bµ"
"Bowyer","Thş làm cung"
"Take me away from here.","Ğßa tôi r¶i khöi ğây."
"outside","Bên ngoài"
"kill ","giªt "
"legendary villain","Ác nhân huy«n thoÕi"
"Tropical Shrubland","Vùng cây bøi nhi®t ğ¾i"
"You can prepare in advance with ","BÕn có th¬ chu¦n b¸ trß¾c b¢ng "
" (vial)"," (l÷)"
"the acceptance","sñ ch¤p nh§n"
"The story of ","Câu chuy®n v« "
"You feel uneasy.","BÕn cäm th¤y b¤t an."
"the Assumption","Giä ğ¸nh"
" which was said to permeate "," ğßşc cho là th¤m nhu¥n kh¡p "
", Pressed",", Ép"
" with the presentation of "," b¢ng vi®c trao t£ng "
"State that you hate light poems","Tuyên b¯ r¢ng bÕn ghét th½ nh© nhàng"
"Yes!  It'll be great to perform with you.","Vâng! S¨ th§t tuy®t khi ğßşc bi¬u di­n cùng các bÕn."
"is very muscular and incredibly long","r¤t vÕm vŞ và vô cùng dài."
"Dungeon Commander","Chï huy H¥m ngøc"
" a friend."," mµt ngß¶i bÕn."
"after communing with ","Sau khi giao hòa v¾i "
"Acknowledge lack of grouchiness","Th×a nh§n không có sñ cáu kïnh"
"What stories you tell!  It's such an honor to have you here.","Nhæng câu chuy®n ngài k¬ th§t tuy®t v¶i! Th§t là vinh dñ khi ngài có m£t tÕi ğây."
"modulates frequently","chuy¬n tông thß¶ng xuyên"
" neck bowl"," b¥u c¥n"
"investigate","ği«u tra"
" available"," có sÇn"
"Open","M·"
"gives a feeling of compassion here and there","mang lÕi cäm giác tr¡c ¦n ğôi ch²"
"Civilized World Population","Dân s¯ Thª gi¾i Vån minh"
"Workers dump bones","Công nhân vÑt bö xß½ng"
"yarn ","sşi "
"Analogy","Phép loÕi suy"
"A wrestling competition","Mµt cuµc thi ğ¤u v§t"
"The instrument has flue pipes and reed pipes.  ","NhÕc cø này có các ¯ng sáo và ¯ng lßŞi gà. "
"sad","bu°n"
"tax","ğánh thuª"
"Make sure your parameters and presets can support mid-elevation, very low rainfall, non-freezing areas.  ","Hãy ğäm bäo các tham s¯ và thiªt l§p sÇn cüa bÕn có th¬ h² trş các khu vñc có ğµ cao trung bình, lßşng mßa r¤t th¤p và không ğóng bång. "
"Bad script! #2","L²i t§p l®nh! #2"
"I was in a snow storm.","Tôi ğã · trong mµt tr§n bão tuyªt."
"State feelings, somewhat expectant","Bày tö cäm xúc, ph¥n nào mong ğşi"
" property was confiscated"," tài sän ğã b¸ t¸ch thu"
"Geld ","Thiªn "
"Somebody up to no good...","Ai ğó ğang có ı ğ° x¤u..."
"You unyield","BÕn không nhßşng bµ"
"medicine:method:surgery incision","Y h÷c: Phß½ng pháp: Phçu thu§t rÕch"
"It is still shrouded in mystery.  ","Nó vçn còn chìm trong bí ¦n. "
"worship","th¶ cúng"
"the Duel","Cuµc Ğ¤u Tay Ğôi"
"I brought up the lack of jobs in a meeting.","Tôi ğã nêu ra v¤n ğ« thiªu vi®c làm trong mµt cuµc h÷p."
"Crossbowman","XÕ thü nö"
"prefers to present ","thích th¬ hi®n "
" been stunned again!"," lÕi b¸ choáng!"
"Activity section change","Thay ğ±i phân ğoÕn hoÕt ğµng"
"Cage Vermin","Nh¯t Sâu B÷ Vào L°ng"
"I killed somebody in a sparring accident.","Tôi ğã giªt ai ğó trong mµt tai nÕn ğ¤u t§p."
"I have been so wronged!","Ta ğã b¸ oan Ñc quá nhi«u!"
"has a long, thin body with very little fat","s· hæu thân hình dài, g¥y, v¾i r¤t ít mŞ."
" shot and killed "," b¸ b¡n và giªt chªt "
"Austere","Kh¡c kh±"
"and ","và "
" fighting with "," ğang chiªn ğ¤u v¾i "
"It is a","Nó là mµt"
" (quantitative "," (ğ¸nh lßşng "
"iguana","kÏ ğà"
"the area around ","khu vñc quanh "
"Balancing","Sñ cân b¢ng"
"has a short, broad body with very little fat","s· hæu thân hình th¤p, b« thª, v¾i r¤t ít mŞ."
"mottled ","l¯m ğ¯m "
"autobiography","tñ truy®n"
"(Wrestling) Cannot break grip","(V§t lµn) Không th¬ phá vŞ thª giæ"
"Choose Y: ","Ch÷n Y: "
"Here you can interact with the objects you are carrying.  Items can be dropped, worn, eaten, thrown, named, etc.  The icon tooltips describe your options for each item.  ","TÕi ğây bÕn có th¬ tß½ng tác v¾i các v§t ph¦m mình ğang mang. V§t ph¦m có th¬ ğßşc thä, m£c, ån, ném, ğ£t tên, v.v. Các chú giäi bi¬u tßşng s¨ mô tä các tùy ch÷n cüa bÕn cho t×ng v§t ph¦m. "
"the use of a grid system in the creation of maps","Vi®c sØ døng h® th¯ng lß¾i khi l§p bän ğ°."
"believes that those that take leisure time are evil and finds the whole idea disgusting","tin r¢ng nhæng ngß¶i dành th¶i gian ränh r²i là kë x¤u và th¤y toàn bµ ı tß·ng ğó th§t ghê t·m"
"2 lost after mutual wounds","2 ngß¶i tØ vong sau khi cä hai bên ch¸u thß½ng tích"
"Outraged","Phçn nµ"
"Perfectionist","C¥u toàn"
"use","sØ døng"
" was offered"," ğã ğßşc hiªn dâng"
"Acknowledge lack of amusement","Xác nh§n sñ thiªu v¡ng giäi trí"
"Cannot generate random creatures -- missing body ","Không th¬ tÕo sinh v§t ngçu nhiên -- thiªu thân th¬ "
" is written from the perspective of "," ğßşc viªt t× góc nhìn cüa "
"Lever Operation","V§n Hành Ğòn B¦y"
"You must have at least as many of these highest volcanism points as you are requiring volcanos.  ","BÕn phäi có s¯ ği¬m có hoÕt ğµng núi lØa cao nh¤t ít nh¤t b¢ng s¯ núi lØa bÕn yêu c¥u. "
"Site Government","Chính quy«n ğ¸a phß½ng"
"a barrow","Mµt gò mµ"
"Skill 5","KÛ nång 5"
"distracted by unmet needs","b¸ phân tâm b·i các nhu c¥u chßa ğßşc ğáp Ñng"
"Plant gatherers","Ngß¶i hái lßşm thñc v§t"
"The selected workshop will give items to here.","Xß·ng ğã ch÷n s¨ cung c¤p v§t ph¦m ğªn ğây."
"less assertive","ít quyªt ğoán h½n"
"It was great.","Nó th§t tuy®t häo."
" part of the problem."," mµt ph¥n cüa v¤n ğ«."
"The view is dark underground.  You can recenter on yourself with the ","Góc nhìn dß¾i lòng ğ¤t t¯i tåm. BÕn có th¬ ğ¸nh tâm lÕi vào bän thân b¢ng phím nóng "
"Ability to fight with objects not covered by other skills.","Khä nång chiªn ğ¤u b¢ng các v§t th¬ không ğßşc kÛ nång khác bao quát."
"Assign uniform","Chï ğ¸nh quân phøc."
"dining hall","ğÕi sänh ån u¯ng"
"No orders","Không có m®nh l®nh"
"the computation of the volume of different pyramids","tính toán th¬ tích cüa các hình chóp khác nhau"
"Absolute zero","Ğµ không tuy®t ğ¯i"
"right here","ngay ğây"
"Storage path decrease (barrel combine)","Giäm chi phí ğß¶ng ği ğªn kho (kªt hşp thùng)"
"a noted murderer","mµt kë sát nhân có tiªng"
" Ice Floor"," Sàn bång"
"Insanity","Sñ Ğiên LoÕn"
"You set a fire.","BÕn ğ¯t mµt ng÷n lØa."
"Close friend","BÕn thân"
"Toggle whether the squad will sleep here.","Chuy¬n ğ±i li®u ğµi hình có ngü · ğây hay không."
"Just think about it.","Hãy suy nghî kÛ v« ği«u ğó."
" Upward Track (SEW)"," Ğß¶ng ray ği lên (Nam-Ğông-Tây)"
"What will you say about the journey?","BÕn s¨ nói gì v« chuyªn ği?"
"Eager","Háo hÑc"
"losing ","ğang th¤t bÕi "
"Amount of ","Lßşng "
"short","th¤p"
"a pretty decent meal","mµt bæa ån khá tß½m t¤t"
"be jumpy","gi§t cøc"
"Slam into an obstacle (blow apart)","Ğâm vào chß¾ng ngÕi v§t (vŞ tan)"
"time","Th¶i gian"
"Each [C:6:0:0]Track Stop[C:7:0:0] must be linked to a [C:6:0:0]Stockpile[C:7:0:0] for [C:6:0:1]Items[C:7:0:0] to be put on or removed from the [C:6:0:1]Minecart[C:7:0:0].","M²i [C:6:0:0]Track Stop[C:7:0:0] phäi ğßşc liên kªt v¾i mµt [C:6:0:0]Stockpile[C:7:0:0] ğ¬ [C:6:0:1]Items[C:7:0:0] ğßşc ğ£t lên ho£c l¤y ra khöi [C:6:0:1]Minecart[C:7:0:0]."
